Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,0.04773042,-0.9140374,-1.3132416,0.20021552
Subject_2,1.404566,0.26199296,-0.021138038,-0.54834723
Subject_3,-1.2952789,0.5650163,1.0710114,0.9458697
Subject_4,0.43668753,1.8793665,-0.7787812,0.5212901
Subject_5,0.44161215,-1.8127029,-1.4247338,-1.0728852
Subject_6,-1.7228298,-0.793563,-0.91018707,0.8711024
Subject_7,-1.3962353,-2.0649498,0.2216809,0.89077723
Subject_8,0.04050816,-1.0620779,0.035909496,-0.18044417
Subject_9,4.183723,-0.09871963,-0.06578583,1.6788203
Subject_10,0.6190351,-0.7082823,-0.59144187,-0.1645843
Subject_11,0.16984291,-1.2209598,-0.0456401,0.92249155
Subject_12,-2.208534,1.2275047,1.5554571,-1.005918
Subject_13,4.870337,0.47535554,-1.4910525,-0.10792736
Subject_14,-1.7001125,0.946066,0.30977905,-1.2933639
Subject_15,-1.1483958,-0.21044877,1.3990381,0.37308443
Subject_16,1.615501,-1.4386473,-0.83046246,0.8138738
Subject_17,1.825599,0.42751262,1.0639253,-0.2701183
Subject_18,-10.262502,-0.4508124,2.1342142,-0.5689432
Subject_19,-3.2572694,-0.4979877,-0.5151452,-1.1710248
Subject_20,1.9802674,-2.125037,-0.99408406,-1.8244656
Subject_21,-1.7086889,0.016247073,0.8251625,0.23633876
Subject_22,-0.5788781,0.84585536,0.28698617,-0.3698282
Subject_23,-2.5525954,1.6737996,-0.16089293,-0.13480455
Subject_24,0.7576816,-0.2332425,1.0311981,1.7510563
Subject_25,2.5068502,0.113085225,-0.55773115,0.899309
Subject_26,-1.2354572,1.3565098,-0.40202358,0.1468259
Subject_27,1.8707392,-1.0305656,-0.61766636,-0.7055757
Subject_28,-1.9445659,0.322305,-1.5977806,-0.12163493
Subject_29,0.33305004,-0.0021048228,0.13452928,-1.1698437
Subject_30,2.5842426,-0.56949675,1.1155539,-1.0659056
Subject_31,-1.714572,0.3091527,-0.16399491,-0.67912656
Subject_32,-0.9452179,-1.1205457,1.2519097,-0.9902295
Subject_33,-1.49753,-0.55888975,-1.8507967,-0.73671967
Subject_34,-2.5472825,1.8579187,-0.44903103,0.5845826
Subject_35,-1.2077477,-1.9424244,-0.87847334,-1.3111788
Subject_36,1.7866147,0.90565145,0.28090048,0.64893234
Subject_37,0.90629023,-0.61278313,-0.28094617,-0.83536154
Subject_38,2.8780348,0.37975195,-0.08840699,1.7720768
Subject_39,0.97152877,-0.7560072,-0.660587,1.5388603
Subject_40,0.63844234,0.9122025,-2.3557513,-0.03833002
Subject_41,-1.3949683,1.383255,0.0967765,1.3142748
Subject_42,0.9717001,-0.80269647,1.9780197,-0.70706385
Subject_43,1.3102422,-1.0717762,-0.47235098,1.5878266
Subject_44,0.26902625,0.020621039,1.2450184,0.06899297
Subject_45,1.5604038,-1.9499658,1.0604625,0.27654314
Subject_46,2.6782665,-1.0759228,-0.28393948,-0.0628645
Subject_47,-0.49758372,0.89020264,0.060489547,-0.1237776
Subject_48,2.9927702,0.7015068,2.331655,-0.32162842
Subject_49,1.2456228,-0.13140772,-0.86502707,0.5396868
Subject_50,-3.7404518,0.29779667,0.34234685,-0.3229072
Subject_51,-2.7501545,-1.3490727,-0.1139075,-0.65926
Subject_52,-0.41982868,0.46133658,0.8123429,-0.82495046
Subject_53,-1.4250445,0.87873995,-0.35908988,-1.7082691
Subject_54,-2.5207212,-1.5833127,-0.40248996,1.6642934
Subject_55,3.9474998,-0.78180414,-1.628814,0.41051885
Subject_56,-0.97540957,-0.07166627,-1.8411263,1.0429846
Subject_57,-0.76493126,2.2668579,-0.09719677,-0.43962097
Subject_58,4.244099,-1.4481877,-1.0756994,-0.6346084
Subject_59,-0.88173985,-0.5279191,-0.43900716,-0.05433786
Subject_60,-0.11692078,1.3606671,-0.055212244,0.40192893
Subject_61,0.5010241,0.98435384,0.49031648,-1.4636941
Subject_62,-3.3857746,0.22778432,-1.502028,0.30281237
Subject_63,-0.2309038,-0.29219002,1.0537964,1.381887
Subject_64,2.3695688,-1.8719058,-0.42408115,0.24829234
Subject_65,1.0214255,-1.6299114,-0.20074551,-0.5385446
Subject_66,-0.6246562,-1.2017905,0.7031177,-0.14644799
Subject_67,0.21671183,-0.7993679,0.47133425,-0.60507995
Subject_68,-2.8869545,2.7543762,-0.78158754,0.11954271
Subject_69,-5.6267776,0.6054224,-0.5635573,-0.12681197
Subject_70,1.004019,-1.1899464,-0.6612374,0.58635545
Subject_71,1.3701226,-0.7320538,-0.81513685,1.0264815
Subject_72,1.3004856,-1.643671,-1.7203801,0.80288047
Subject_73,-0.76720214,1.3774658,2.086082,0.7274929
Subject_74,0.92296773,0.35878623,2.0742655,1.2097436
Subject_75,1.0823833,-0.24400844,1.2541405,0.09966721
Subject_76,2.4573612,0.73086727,-0.522422,-0.5766861
Subject_77,-0.7065176,-3.3059905,0.7095619,1.8176013
Subject_78,2.0473247,1.2061719,0.73038435,-0.16964956
Subject_79,-3.7064312,1.4022052,-0.9863458,-0.044439632
Subject_80,4.5268545,-1.5298873,0.75327474,-0.44260815
Subject_81,-0.73579025,-0.7738912,-0.04362467,1.414219
Subject_82,-2.103441,0.15573569,0.77718407,0.4285545
Subject_83,-1.8377566,2.2191575,-0.57489544,-0.23988287
Subject_84,0.69605815,2.2057915,0.6350385,-0.364483
Subject_85,4.2017198,-0.87192965,-1.4560676,0.4951819
Subject_86,-1.4548106,1.4223564,-2.0943723,2.0453029
