Subject_ID,Factor_1,Factor_2
Subject_1,0.35977542,0.6639757
Subject_2,1.6920077,-0.5986813
Subject_3,0.24658278,-0.6916509
Subject_4,1.957011,-1.3816599
Subject_5,0.14765206,0.7842762
Subject_6,0.44686282,1.3947544
Subject_7,0.7416087,-0.09413994
Subject_8,0.49833283,-0.089452684
Subject_9,1.2296056,0.45554334
Subject_10,0.7882111,0.21758108
Subject_11,-0.5269269,-0.11756195
Subject_12,-0.71781975,1.0921181
Subject_13,1.6428232,0.6896104
Subject_14,-0.90519434,-1.1917903
Subject_15,-0.9085128,-0.672237
Subject_16,-0.4620577,0.63124615
Subject_17,-0.35594684,0.6019049
Subject_18,-3.0019066,1.8069221
Subject_19,-1.3484513,0.10063729
Subject_20,-0.99271774,1.2621583
Subject_21,-0.68361706,-0.12212611
Subject_22,-0.72684324,1.87302
Subject_23,-1.690286,-0.80634004
Subject_24,-0.8870559,1.3776962
Subject_25,1.4297966,-1.7244823
Subject_26,-0.2868434,2.0931368
Subject_27,1.060455,-0.38693523
Subject_28,-1.0522665,-0.52215946
Subject_29,0.86519027,-0.48352623
Subject_30,0.77716774,-2.1679204
Subject_31,0.52884597,-0.64627635
Subject_32,-0.9824338,-0.7171373
Subject_33,0.88477004,1.4758191
Subject_34,-1.1785445,0.17908674
Subject_35,-0.69529206,-0.8321663
Subject_36,-0.25718567,0.677103
Subject_37,0.2816946,-1.0439116
Subject_38,0.7208116,-0.47238272
Subject_39,-0.582936,-1.7239256
Subject_40,0.5678796,0.66340286
Subject_41,1.0692455,-0.6822343
Subject_42,0.20954496,0.27088958
Subject_43,0.6920677,-2.4786365
Subject_44,-0.54260594,1.2615184
Subject_45,1.3016227,-1.2434471
Subject_46,1.0009117,-0.91452515
Subject_47,0.38462588,-1.1506318
Subject_48,-1.5411276,0.27492067
Subject_49,0.9498246,-0.18004714
Subject_50,-1.9122593,0.11561791
Subject_51,-1.0390499,0.50742483
Subject_52,1.1108112,-1.0719936
Subject_53,-0.42445502,-1.9558165
Subject_54,0.7198744,1.4533988
Subject_55,1.0756495,-0.80221
Subject_56,-1.1059549,0.8255657
Subject_57,-0.33878842,1.8780229
Subject_58,2.6002681,-0.59940726
Subject_59,-0.34704638,1.4434263
Subject_60,-0.8433452,-0.3886363
Subject_61,-0.9943673,-0.5069473
Subject_62,-1.3243433,-0.266913
Subject_63,0.1538708,1.3749756
Subject_64,0.8075158,1.2542648
Subject_65,-1.5245283,0.25880435
Subject_66,-1.7002293,0.661197
Subject_67,0.12983085,-0.5347989
Subject_68,-1.72516,-0.2191181
Subject_69,-1.7331911,-2.2952745
Subject_70,0.32621658,-0.45738262
Subject_71,0.99665064,-1.2416617
Subject_72,1.1072185,-0.13696547
Subject_73,0.38734248,1.0664432
Subject_74,0.6394905,-0.5108014
Subject_75,-0.031180056,-0.76458174
Subject_76,1.6908644,1.1769745
Subject_77,0.99795604,0.12145584
Subject_78,0.72841537,0.8276436
Subject_79,-1.7493958,0.60704607
Subject_80,1.8644369,-1.3274659
Subject_81,1.5385466,0.09196212
Subject_82,1.6528398,0.41678676
Subject_83,-0.60423493,-0.60148853
Subject_84,0.2362321,1.1456903
Subject_85,1.8402979,-0.13757874
Subject_86,-0.37364304,-0.7479733
