Subject_ID,Factor_1,Factor_2
Subject_1,-0.3483772,0.16681318
Subject_2,-0.9881237,0.096766144
Subject_3,-0.18574661,2.1016927
Subject_4,-1.4462351,-1.9241085
Subject_5,0.5679369,-0.1761278
Subject_6,-0.27498728,0.032976694
Subject_7,0.42300183,1.2040813
Subject_8,0.00091836724,0.09731344
Subject_9,1.5513444,-1.0041604
Subject_10,-0.5191984,-0.016414126
Subject_11,0.45084667,0.67006195
Subject_12,-1.1341795,0.40678996
Subject_13,0.9686636,-0.2236327
Subject_14,-1.2639402,1.1410917
Subject_15,-0.7552893,1.8377576
Subject_16,0.42283133,-0.11179689
Subject_17,1.2715238,1.4842955
Subject_18,0.50475335,-0.9075002
Subject_19,-0.3609311,-1.0623657
Subject_20,3.38608,-1.7529374
Subject_21,0.030941818,-0.1150788
Subject_22,1.1680882,-0.0018561855
Subject_23,-3.0556254,1.7992847
Subject_24,-0.522944,0.20066023
Subject_25,-0.3679283,2.2499897
Subject_26,-0.6525992,0.5041462
Subject_27,1.1939689,-0.39908844
Subject_28,-1.2831233,0.74557793
Subject_29,-0.048576374,0.033430915
Subject_30,-0.94619304,-0.57082766
Subject_31,-1.5605197,0.041007623
Subject_32,-0.79590034,-0.20828998
Subject_33,0.26904455,1.9884001
Subject_34,-1.4453427,-0.5856267
Subject_35,-0.19728722,-0.12540069
Subject_36,-1.9091008,-1.285894
Subject_37,1.4373126,0.02181825
Subject_38,0.46841133,0.35331306
Subject_39,-0.43474784,-0.04911915
Subject_40,-0.029658092,-1.0084814
Subject_41,0.76001555,-0.039731164
Subject_42,0.3634789,-0.06723421
Subject_43,1.6883136,-1.5050601
Subject_44,0.8302062,-0.27373296
Subject_45,0.71832556,-0.016613837
Subject_46,1.8028549,-0.40453058
Subject_47,-3.7699583,-0.4625036
Subject_48,1.2415874,0.11137829
Subject_49,-1.8336593,-3.2578096
Subject_50,0.3235209,0.09507397
Subject_51,0.3015181,-0.20867112
Subject_52,-1.6674643,-0.8902033
Subject_53,-1.2534996,0.07182331
Subject_54,0.3326028,0.52107537
Subject_55,1.5389102,-0.09989763
Subject_56,0.8536463,0.21416731
Subject_57,-1.4114411,0.4764725
Subject_58,1.8444654,-0.18429683
Subject_59,-0.56967074,0.13013794
Subject_60,-1.4168463,0.039996076
Subject_61,0.85312444,-0.7776365
Subject_62,-0.3245971,-0.08743521
Subject_63,-0.62540776,0.32963982
Subject_64,1.6881752,-0.28807297
Subject_65,0.12214426,-0.338159
Subject_66,0.7167211,0.061453365
Subject_67,-1.4814029,-1.5992509
Subject_68,-1.0455106,-0.9570674
Subject_69,-0.63089675,0.6855685
Subject_70,0.029384645,0.08896071
Subject_71,-0.32931152,0.24903011
Subject_72,-0.4011943,-0.09310524
Subject_73,-0.8925008,0.16485699
Subject_74,0.38327566,-0.63980263
Subject_75,0.8822368,-0.9791083
Subject_76,1.2606761,-0.6401192
Subject_77,1.4528849,-0.2446546
Subject_78,-0.49356213,-0.8892625
Subject_79,-2.243445,2.0079231
Subject_80,1.4812448,-0.11040993
Subject_81,-0.851038,0.35112813
Subject_82,-0.88747925,0.5382054
Subject_83,-2.309291,-2.1157258
Subject_84,0.095272884,-0.13314648
Subject_85,1.0467445,-0.08451044
Subject_86,0.80059856,-0.15655784
