Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,-0.1819869,-0.23960404,1.8034371,-0.42849538
Subject_2,-0.6971795,-0.117891744,-0.14288045,0.0017843314
Subject_3,0.63660353,1.1699908,-0.16421239,0.19180873
Subject_4,-0.0404445,-0.5636443,0.8799601,0.5578073
Subject_5,-0.7608071,-0.7354842,-1.3000747,1.9855404
Subject_6,0.2929537,-0.25064775,-0.19804347,-0.08112756
Subject_7,0.8046933,0.5782213,0.026620442,-1.7047894
Subject_8,-0.059147302,-0.5093639,-1.1452191,-1.0976254
Subject_9,-1.9771969,0.3623083,-0.93562484,-0.06498684
Subject_10,-0.40928122,-0.10568773,0.6308608,-1.0031961
Subject_11,-0.18360686,-1.2400479,-2.888738,0.019637417
Subject_12,2.9007246,-0.5420782,0.418748,1.7918437
Subject_13,-2.5326862,0.46611106,-0.066008,1.3960248
Subject_14,0.91237986,1.3918457,-0.8875771,-0.10836163
Subject_15,0.31315553,-0.26300618,-0.024786193,1.4908236
Subject_16,-0.03343415,-0.7697245,0.1318763,-0.5570907
Subject_17,0.2440769,-1.8333256,-1.2344962,0.26352847
Subject_18,3.1299589,1.1520307,-0.43477458,-0.67493504
Subject_19,1.2143945,-0.6034272,-0.9513453,-0.5703656
Subject_20,-1.1123784,-0.4544917,-0.10327641,0.3381398
Subject_21,0.74464256,-0.8736549,1.716783,0.24121197
Subject_22,-0.46222886,0.64864254,-1.3714125,0.104013406
Subject_23,1.1053284,0.5694097,0.9379291,-1.1477528
Subject_24,-1.1708285,-0.22965747,0.14406523,-0.06668102
Subject_25,-1.1537435,1.6955458,-0.97454387,1.960564
Subject_26,-0.6669973,-0.67660475,-1.6466435,-1.2575661
Subject_27,-0.79681987,-0.6085432,-0.3196019,0.6774849
Subject_28,0.83868325,0.20490308,-1.4364095,-0.561166
Subject_29,0.6723587,0.94473577,1.2598773,-1.4539323
Subject_30,-1.1872272,-0.27642176,-0.42484474,0.39353597
Subject_31,0.45235515,-1.2940904,-0.07350563,0.81091225
Subject_32,0.21398677,-2.9593856,-0.09993803,1.0690292
Subject_33,0.7708422,0.7205829,0.3941787,-0.024043396
Subject_34,1.2450657,-0.7323074,0.34146982,-1.4759833
Subject_35,0.43467814,-0.4281594,-0.6259649,0.8732318
Subject_36,-0.87342215,-0.5869801,0.9000405,0.016847888
Subject_37,-0.37808096,-0.20263655,0.5651281,1.2029444
Subject_38,-1.3832618,0.11441043,-0.35591584,0.8640632
Subject_39,-0.97948307,-0.2781894,0.075221896,0.90912825
Subject_40,-0.25562674,-0.6762737,-1.0950344,0.7404878
Subject_41,-0.75242263,-1.1092137,0.17581704,-1.2709371
Subject_42,-1.3992356,0.5085371,-0.28695267,0.4887839
Subject_43,-1.3032341,-0.9944993,-1.2235378,-0.34308743
Subject_44,-0.12793653,-0.31238818,0.035302263,-0.050020248
Subject_45,-0.8653233,-0.7656217,0.8860529,-2.774191
Subject_46,-1.421554,-1.4782473,1.0171206,0.07795531
Subject_47,0.30311713,-1.3945936,-0.47458264,1.7397372
Subject_48,0.7163084,-0.5357287,-1.2007043,-0.65535975
Subject_49,-0.48130277,-0.4521665,1.2487224,-0.41333637
Subject_50,2.276375,-0.87296146,-0.38530064,-1.175958
Subject_51,0.8922909,0.21288227,0.6215128,-0.1619472
Subject_52,1.6685667,-1.2885445,1.2618504,0.54586434
Subject_53,-0.40924504,1.7271699,0.17816654,0.9995613
Subject_54,0.92680216,0.4927502,-0.2343454,0.30020154
Subject_55,-1.8914474,1.083218,1.5748258,0.8820193
Subject_56,0.56960636,-1.1870247,0.5504984,0.64199656
Subject_57,0.50281185,-1.2281473,-0.5506241,0.5181125
Subject_58,-2.0693383,-0.83962244,1.7991834,0.55222714
Subject_59,0.3244949,-0.29975942,0.14683525,1.3143948
Subject_60,0.069796465,-0.52422893,2.0237646,0.07243741
Subject_61,-0.21085198,0.049081817,-1.0926678,0.47054526
Subject_62,1.642509,-0.61077964,0.22520964,0.8656234
Subject_63,0.5619917,0.20042253,-0.15327202,-1.5677651
Subject_64,-1.4082355,-2.5955014,-0.2949904,-0.24283995
Subject_65,0.6125146,-0.4086148,1.4019859,-1.8379073
Subject_66,-0.26027438,-0.28158966,1.1350137,0.95236963
Subject_67,-1.5993173,-0.17563853,-0.11327245,0.8994149
Subject_68,1.4792484,2.0152035,-0.21551962,-0.076285504
Subject_69,2.1995013,0.3266125,-0.45377606,0.41480565
Subject_70,-0.43523297,0.64191663,2.0535336,-0.9402869
Subject_71,-0.002230866,-2.0825887,-0.27948856,0.66077596
Subject_72,-0.73415446,0.08589712,0.9645208,0.88638693
Subject_73,0.83656365,0.104178384,-0.02307513,-0.34298202
Subject_74,-0.39787167,0.47112346,0.5417997,0.48223975
Subject_75,-0.11042796,-1.7704242,0.45865154,-0.41281635
Subject_76,-1.0720488,-1.6331568,-0.55906284,1.3157715
Subject_77,-1.2819039,1.1777487,-1.0120869,1.6615835
Subject_78,0.37921622,1.9718844,-0.411033,0.2852641
Subject_79,1.9747823,-0.67148376,1.2190894,-0.91682804
Subject_80,-2.182964,-0.7295915,1.1102409,-0.43301728
Subject_81,-1.4186602,0.043482363,-0.0018349866,1.0056608
Subject_82,0.82760054,-0.4741788,0.8062434,1.3437972
Subject_83,-1.177884,-0.6406096,-1.32265,0.8772815
Subject_84,0.89501375,0.76413375,0.073708534,-1.1856444
Subject_85,-1.681186,-0.7396031,0.8561198,0.7941464
Subject_86,0.54773897,-0.49650177,0.17583504,-1.649644
