Subject_ID,Factor_1,Factor_2
Subject_1,-0.30906394,-0.11100169
Subject_2,-0.78865916,0.08056833
Subject_3,0.9903567,0.65505135
Subject_4,0.8444303,-0.2670096
Subject_5,-1.8686825,-0.82869256
Subject_6,0.05629612,0.30600998
Subject_7,-0.8516558,1.56032
Subject_8,0.19899778,-1.2149076
Subject_9,-0.861012,-1.2702979
Subject_10,-0.6800345,0.9942045
Subject_11,-0.6398983,0.3071956
Subject_12,0.15040164,-0.124806166
Subject_13,0.13865964,0.70104927
Subject_14,1.2094632,0.10339247
Subject_15,-0.86911786,0.6105662
Subject_16,-1.359859,0.04139944
Subject_17,-0.61060876,-0.6748417
Subject_18,0.69516367,1.3749098
Subject_19,0.27084345,-1.3311607
Subject_20,1.2327305,0.22365062
Subject_21,0.8188951,1.7247066
Subject_22,0.2296538,-0.505671
Subject_23,1.1414217,1.6740973
Subject_24,-0.46614715,-0.9016609
Subject_25,-0.600973,0.14626834
Subject_26,0.92815083,1.3614464
Subject_27,-0.54375947,0.05632127
Subject_28,1.8227637,-0.38840315
Subject_29,0.24027888,0.775403
Subject_30,-0.7180296,-0.7894897
Subject_31,0.7608916,-0.061918598
Subject_32,1.2804587,-0.022953315
Subject_33,1.080744,0.7276415
Subject_34,1.3792793,-0.09464724
Subject_35,-1.7542644,1.4048868
Subject_36,-1.1417623,-0.22305855
Subject_37,-0.35247332,-1.5924624
Subject_38,-0.87632823,-1.2306509
Subject_39,-1.1942352,-0.2850939
Subject_40,0.052470963,0.010898958
Subject_41,0.70873386,0.6091938
Subject_42,-1.4483294,0.49012238
Subject_43,-1.4102116,1.2703896
Subject_44,-0.04592375,0.9324575
Subject_45,-1.051819,-0.8507797
Subject_46,-2.073452,0.26564807
Subject_47,0.46000722,0.088388376
Subject_48,1.2008142,-0.52065945
Subject_49,-0.20120308,-0.6491775
Subject_50,0.92853713,0.14404096
Subject_51,0.11438479,-0.32030657
Subject_52,0.30419046,0.3506454
Subject_53,0.7681399,-0.7036057
Subject_54,1.7821021,-1.0765355
Subject_55,-1.5015706,-0.28180587
Subject_56,-1.0649666,-0.8603697
Subject_57,0.5731061,0.6785966
Subject_58,-1.695218,1.2164916
Subject_59,-0.33373356,-0.22772716
Subject_60,0.51571584,-0.4573515
Subject_61,0.53326595,1.3850677
Subject_62,1.3938228,-0.30689907
Subject_63,0.7592101,0.36147773
Subject_64,-2.1533864,1.5229236
Subject_65,-0.96646374,-1.2987509
Subject_66,-1.2433791,0.43780386
Subject_67,-1.359311,0.43341726
Subject_68,1.568839,0.38070247
Subject_69,3.739024,2.498816
Subject_70,-0.726591,-0.12840918
Subject_71,-0.2629297,-1.2371054
Subject_72,-1.0574262,0.46294978
Subject_73,1.0399959,-0.7308669
Subject_74,-1.1232706,0.68153167
Subject_75,-0.24758472,-0.41028967
Subject_76,-0.9972508,0.78878075
Subject_77,-1.3386366,1.3051844
Subject_78,0.48362234,-0.64531577
Subject_79,1.5526681,-0.0026646252
Subject_80,-1.7672576,-1.0348964
Subject_81,-0.34070215,-0.27525446
Subject_82,1.2147504,0.39746854
Subject_83,1.1697116,-1.9179981
Subject_84,-0.2919281,1.2548598
Subject_85,-1.9534327,1.8589364
Subject_86,0.8799756,-0.55408376
