Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,-0.43820828,0.5758059,0.23138556,0.27253968
Subject_2,-3.2718813,1.4415115,0.54805505,0.060100023
Subject_3,1.2386607,-0.11964314,-1.1766187,0.31386513
Subject_4,1.0511403,-0.5032005,0.034047045,-0.70252573
Subject_5,-2.961998,-0.36417836,-2.378069,-0.2113953
Subject_6,1.0422635,-0.4607138,0.3441698,-1.4513927
Subject_7,-1.4807556,0.6117493,-1.9451339,1.1275189
Subject_8,0.47076407,0.3053,-0.41466218,0.7525336
Subject_9,-8.585505,2.879429,-0.86846,-0.16175619
Subject_10,-3.0604436,0.8351701,-0.18582934,1.6970323
Subject_11,-1.521653,1.6359327,0.05245878,-0.68961847
Subject_12,2.5310926,-0.91773605,0.053030495,-0.15477435
Subject_13,-9.696333,4.0597763,1.3911575,-1.0074836
Subject_14,5.414429,-1.9703507,0.10723329,0.015598537
Subject_15,1.2353014,0.028996017,-2.2104778,-0.72841775
Subject_16,-4.6251354,1.0769662,0.5963867,0.79586184
Subject_17,0.37360027,0.4676725,0.005973347,0.64897704
Subject_18,6.7939143,-0.74866116,-1.4657196,0.08474341
Subject_19,3.7971437,-1.1549596,0.21574298,-1.4959319
Subject_20,-7.0287094,2.1818988,0.058916118,-1.5774384
Subject_21,3.3225183,-0.87512475,-0.6113091,-0.2226011
Subject_22,-0.5173746,0.8457645,1.0568386,-0.021778109
Subject_23,4.9921093,-1.3807596,-0.38170424,-0.013726624
Subject_24,-1.8722807,0.54033434,-0.07127213,1.9517419
Subject_25,-5.2320566,2.0832536,-0.24269758,-2.7123618
Subject_26,4.122412,-1.6638013,0.5768536,-0.41245225
Subject_27,-3.6033006,1.3740346,0.26321432,-0.71332777
Subject_28,3.2696617,-1.9164213,-1.4991418,-0.81035966
Subject_29,0.34014496,0.13216843,0.48566854,0.1894056
Subject_30,-4.981619,2.669448,-0.39059612,0.8110224
Subject_31,-0.99596286,0.12110431,-0.6159628,-0.6461072
Subject_32,-0.7923465,-0.124252066,1.0763357,-1.2549249
Subject_33,4.9009657,-2.304531,1.2706592,-1.6605772
Subject_34,7.010581,-2.1325684,1.036248,-0.44212922
Subject_35,-0.55915064,0.7547494,0.75483453,0.062622316
Subject_36,-5.189345,2.2304115,-0.982475,-1.2699779
Subject_37,-1.7021965,0.20195748,-0.63290113,-0.5190939
Subject_38,-6.026437,2.5959244,0.20254731,0.67312515
Subject_39,-3.1631124,0.80763155,1.4405793,-0.9068612
Subject_40,-0.38149765,-0.75247145,-0.3508017,-0.5282587
Subject_41,-1.8172048,0.9362656,0.9443189,-1.0205193
Subject_42,-2.2182062,0.45153943,-0.557911,-0.8883275
Subject_43,-4.0975766,1.2997378,1.0890894,-0.8557337
Subject_44,-0.48684865,0.5065601,0.55517244,-0.9415411
Subject_45,-4.3797235,1.3948935,0.29167947,-1.7835877
Subject_46,-7.0275793,2.757501,0.16876347,-1.2200546
Subject_47,1.8142014,-1.1379219,-0.5210847,-0.86676437
Subject_48,-3.7937038,-1.2703755,-0.57495373,-0.52208835
Subject_49,-1.6336378,1.0534014,0.40264857,0.19704801
Subject_50,5.1488523,-1.8182476,0.29176605,0.9974329
Subject_51,3.6034977,-1.7681136,-0.43134603,-0.7355764
Subject_52,0.035441913,-0.4355003,0.6033808,1.1469642
Subject_53,4.243613,-1.7718079,2.007715,0.92256796
Subject_54,3.6896112,-1.468923,1.1552227,0.52866143
Subject_55,-10.031979,4.1235123,1.1885954,0.12960215
Subject_56,1.1297302,-0.8081069,-1.2820017,0.9449442
Subject_57,2.5326471,-1.1374763,-1.4010499,0.21153566
Subject_58,-10.7866125,-1.0033334,-1.4791452,0.20160346
Subject_59,1.4428446,-0.27397963,-1.1434143,-1.3384008
Subject_60,0.88720036,-0.23866202,-1.8804969,-0.13158435
Subject_61,-1.0451683,-0.95377445,0.21412832,-1.9395757
Subject_62,7.119713,-2.4337976,-0.51613563,-0.59856296
Subject_63,2.1297424,-0.5860678,1.5470263,-0.90568954
Subject_64,-8.872754,4.612901,0.18129133,0.5293237
Subject_65,0.51179445,0.33964702,0.7603373,-0.56460625
Subject_66,0.23750977,-0.2105679,1.0743881,-1.9816818
Subject_67,-1.9622022,1.4876903,0.012717012,-0.7760748
Subject_68,8.389234,-2.9691632,-0.027450979,1.5356041
Subject_69,8.8336,-2.6748848,0.6927115,-0.2673843
Subject_70,-2.3181043,0.82203716,0.8985997,-0.030141205
Subject_71,-0.14003459,1.7103852,0.6743535,-1.9176929
Subject_72,-4.5075674,1.9879317,0.044609185,0.17504552
Subject_73,3.317674,-1.2461776,0.19666106,0.4049556
Subject_74,-0.76914626,0.52826154,0.33706868,1.0142732
Subject_75,-0.60143286,0.28068715,-0.29139706,-0.25341976
Subject_76,-4.479157,2.0887203,0.321302,-0.05103108
Subject_77,-7.0207505,2.721937,0.66463155,0.41775215
Subject_78,2.095129,-2.3019028,0.6008672,0.09645634
Subject_79,10.325641,-4.390489,-0.13793369,-0.6937387
Subject_80,-12.18603,4.4863605,-1.5456674,-1.2615414
Subject_81,0.055505622,-0.9564559,1.0859257,-1.1384381
Subject_82,3.6630332,-2.0377724,-0.9032041,0.52908826
Subject_83,6.114486,-1.9594254,-1.3610046,-0.55183166
Subject_84,-0.5617742,0.46787187,1.7590017,0.27991983
Subject_85,-8.629647,3.2925994,1.0219378,0.45407915
Subject_86,2.68126,-1.0805649,0.29459634,0.06562461
