Subject_ID,Factor_1,Factor_2
Subject_1,0.40290162,0.29822955
Subject_2,1.2932886,-0.021516101
Subject_3,0.37641206,-0.57978296
Subject_4,-2.7506254,1.6607
Subject_5,-0.4137197,-0.14624967
Subject_6,0.50778276,0.26751062
Subject_7,0.2997188,-0.07394891
Subject_8,0.13746682,-0.7481719
Subject_9,-0.18378316,-0.9642673
Subject_10,-0.0027366388,1.3005038
Subject_11,0.18178508,-0.7008458
Subject_12,0.5824939,2.5421193
Subject_13,0.09210331,-0.3549894
Subject_14,1.3440217,-0.9113703
Subject_15,0.7951405,1.5779911
Subject_16,-0.85676575,0.5905696
Subject_17,1.957865,-0.37711054
Subject_18,0.06719204,0.11017783
Subject_19,-0.7577504,1.7477952
Subject_20,-1.5652946,-0.29712626
Subject_21,-0.6029525,1.0701667
Subject_22,0.66690505,-0.5293053
Subject_23,1.162391,3.4005952
Subject_24,0.6568526,-0.63156885
Subject_25,0.6993381,-0.60253114
Subject_26,0.17946783,1.2427267
Subject_27,-0.8793378,-0.8866273
Subject_28,1.4850084,0.6005227
Subject_29,0.49547568,0.007825257
Subject_30,-0.26711327,-0.5927286
Subject_31,0.42278814,-0.45751068
Subject_32,-0.6898042,1.3824819
Subject_33,0.531047,-0.6129552
Subject_34,-1.2443904,-0.6040831
Subject_35,-0.8580297,0.5954977
Subject_36,-1.5863726,-0.20315577
Subject_37,0.38337496,-0.5566025
Subject_38,0.24267344,-0.29317063
Subject_39,-1.1779555,0.77962345
Subject_40,-1.4023455,1.0168872
Subject_41,-1.0410861,-1.582367
Subject_42,-0.118087366,-1.0472933
Subject_43,-2.031661,-0.84857
Subject_44,-0.75908184,-0.5268939
Subject_45,-0.03444146,-0.9801146
Subject_46,-0.23546852,-1.0359546
Subject_47,-1.1466496,0.42389795
Subject_48,0.23021075,-1.3197013
Subject_49,-1.5308074,1.9920512
Subject_50,0.9199024,-0.99071646
Subject_51,-1.2487885,-0.64822155
Subject_52,-1.1406574,0.5603773
Subject_53,0.01235586,0.99625033
Subject_54,0.7407268,-0.123807594
Subject_55,-0.41444013,-0.91835266
Subject_56,0.43870214,-0.88059276
Subject_57,0.99628615,1.0569484
Subject_58,-1.7779008,-0.864721
Subject_59,1.487625,-0.6936031
Subject_60,0.9376278,-1.8845923
Subject_61,-0.8375153,1.1256546
Subject_62,-0.28258187,0.7793675
Subject_63,-0.68660456,2.1396606
Subject_64,-0.5994658,-0.83312726
Subject_65,-0.7097647,0.2529151
Subject_66,0.48787645,-0.7867705
Subject_67,-1.9002144,0.70231277
Subject_68,-0.16399364,1.7873865
Subject_69,0.360445,1.989678
Subject_70,1.4646403,-1.0907613
Subject_71,1.8898828,0.6880769
Subject_72,-0.62857294,-0.6279931
Subject_73,0.36546937,0.44731385
Subject_74,-0.5123176,0.25404868
Subject_75,-1.5955471,-1.1951358
Subject_76,-0.48421377,-0.42367804
Subject_77,-0.46331763,0.2352315
Subject_78,-1.3842975,0.7654938
Subject_79,0.7842839,1.52347
Subject_80,-0.3423223,-0.6325578
Subject_81,0.422011,0.6803727
Subject_82,0.7985386,0.45281744
Subject_83,-1.2307394,1.3132104
Subject_84,-0.9256891,0.034673695
Subject_85,0.04252353,-0.7636697
Subject_86,0.08204923,-0.66138875
