Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,-0.23421122,0.23845139,1.1951624,-1.9333826
Subject_2,-0.028028833,1.4561775,0.602223,-0.23980938
Subject_3,-0.11641151,-0.07944352,0.8240312,0.57782954
Subject_4,2.3122547,2.1417148,-0.47016624,-0.4224813
Subject_5,0.023932353,-0.13721126,0.5032515,1.2821045
Subject_6,-1.051216,-1.2986462,1.1633034,-0.4694105
Subject_7,-0.1700393,-0.59233624,1.131365,0.54939556
Subject_8,0.27745897,-1.1966391,-0.2268113,-1.028226
Subject_9,-0.5369481,-0.077689074,0.078891814,0.9510303
Subject_10,-0.04578492,-2.3991086,0.6842173,0.6771569
Subject_11,0.75570905,-0.54834646,-0.3286198,-1.9718547
Subject_12,1.3367542,0.1954707,1.0824392,1.8257483
Subject_13,0.18177864,-0.44410905,-2.163129,1.3127657
Subject_14,-0.13631558,-0.94888616,1.004376,1.5220962
Subject_15,-0.48399568,0.07545944,-0.5386719,-2.001483
Subject_16,0.1910274,-0.8812365,-1.6482389,-2.0662725
Subject_17,-0.004606016,-0.38632357,-1.4311138,-1.2304804
Subject_18,-0.48670715,-0.1386308,-0.121027075,-0.26378578
Subject_19,0.46856737,-0.9968919,0.5497102,-0.7356122
Subject_20,3.133322,-1.6004173,0.68420506,1.0542258
Subject_21,-0.025332179,-0.5563573,-1.11801,1.2596228
Subject_22,-0.056875866,0.70607984,1.5373731,-1.9010617
Subject_23,0.36689138,1.1106211,-0.45954245,-0.19287258
Subject_24,-0.16032644,-0.17083576,-1.0546529,-0.65180093
Subject_25,-1.1839609,1.1930804,-2.1913831,1.4418105
Subject_26,0.9376808,0.9345103,0.03074515,-1.084585
Subject_27,0.44039482,0.3147752,-0.67452514,0.9447172
Subject_28,0.5089153,-1.4997424,-1.0846334,0.009038221
Subject_29,0.19680989,-0.049943745,1.5077758,-0.8921647
Subject_30,-0.29987922,-1.2130797,1.704254,-1.6391686
Subject_31,-1.9515351,1.6577289,-0.7478158,0.21703283
Subject_32,-0.38183102,-1.0047042,-0.58882135,-0.9778233
Subject_33,-0.030976087,0.6810504,2.5050578,0.45030853
Subject_34,0.20818642,-1.0045149,-0.17323893,-0.3477907
Subject_35,0.41447648,0.84211725,-0.18440644,-1.0078278
Subject_36,1.2339904,-1.1099929,-1.2209864,-0.28756738
Subject_37,-0.09246873,1.2517841,1.725726,1.0135996
Subject_38,-0.0853795,-0.40596533,-2.0087364,1.3740382
Subject_39,2.218543,0.59550977,0.25665656,0.89319086
Subject_40,1.4773622,-1.0091535,0.111601435,0.50722015
Subject_41,-0.20827739,-1.813507,1.3913298,-0.575052
Subject_42,0.33894527,1.6856277,-0.8677719,-0.02505026
Subject_43,-0.8446544,0.19524227,-1.926351,1.5106561
Subject_44,0.17096066,0.35554492,-0.30897084,1.1459515
Subject_45,-0.18333636,-0.5754446,-2.0598938,-1.5991448
Subject_46,-0.17601049,0.24948573,-0.85745823,0.45855755
Subject_47,1.1573339,0.12534885,0.1519369,-0.6851612
Subject_48,-0.15644796,-0.2754742,0.15103742,-1.4150652
Subject_49,4.0590177,-1.1901227,-1.6724675,-1.5966672
Subject_50,0.29764095,-1.1132618,-0.47154033,-1.8801283
Subject_51,0.6381375,-1.1247512,-0.8209319,1.2575942
Subject_52,-0.2078135,-0.7333606,-1.0286634,0.8103622
Subject_53,0.0954365,1.3909065,-1.3155328,1.2451515
Subject_54,-0.30075777,1.587297,-0.051402792,-0.46002507
Subject_55,0.035863005,-0.59900963,0.009895909,0.84156156
Subject_56,-0.17192656,0.49731702,0.18194863,-0.80214167
Subject_57,2.3108613,1.30006,-0.7789668,-0.8296317
Subject_58,0.64749515,-0.13506842,0.06688497,-1.074738
Subject_59,0.19963789,1.6317525,1.6698716,0.6644049
Subject_60,-0.12952586,-0.037106905,-0.66917604,-0.20487058
Subject_61,0.842274,-1.7143443,0.0037989875,1.3920882
Subject_62,-0.11847935,-0.78412765,-0.8643978,0.6161559
Subject_63,-0.7268438,1.142675,-0.706022,0.6662851
Subject_64,0.017499566,0.0052829674,-0.84927535,-0.12721072
Subject_65,-0.019155573,0.5573244,1.500793,-1.8236029
Subject_66,-0.0037203627,-0.16953942,0.69358426,-0.55812377
Subject_67,1.6548091,0.98711914,-1.254357,0.9590206
Subject_68,-0.15762085,1.3035512,0.22049539,0.94133884
Subject_69,-0.6461545,-0.6398519,0.96926963,-0.40705487
Subject_70,-0.023785418,-0.390769,-1.2949361,-0.8426841
Subject_71,-0.56441873,2.8097928,-0.26400462,-1.8789209
Subject_72,-0.08607984,-0.35947368,0.95942163,-0.14760233
Subject_73,0.18577231,0.911121,0.59747493,0.084415466
Subject_74,1.4254664,1.9648021,-0.37470236,1.4565471
Subject_75,0.8345894,-0.6666877,-0.7617209,2.0883749
Subject_76,-1.0068692,-1.3268565,1.3472022,-0.5444567
Subject_77,-0.15598874,0.070681736,1.5562407,0.0007169602
Subject_78,-0.7249697,-0.9930125,-0.16870664,2.8200417
Subject_79,-0.4499588,-0.3202532,0.77160645,-0.088778436
Subject_80,0.23221068,0.038040042,1.1230909,-1.9421538
Subject_81,0.12432999,-0.7845511,-1.1762106,0.5370349
Subject_82,-0.21913455,0.27106142,0.5078656,0.59377944
Subject_83,4.0938716,-0.73089784,-0.08717626,-0.099945754
Subject_84,-0.22018886,-1.1217234,-0.9081226,0.42491823
Subject_85,-0.17241178,0.19743443,-0.9079895,1.5561371
Subject_86,-0.56506777,0.2041908,1.04079,0.58816457
