Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
-0.2964808,-1.3964251,-0.89696497,-0.4370646,0.031602614
0.657386,0.59625864,1.2898316,1.9089226,-0.08688793
-1.1705627,0.45298427,0.12284148,0.33497247,0.24027467
0.5292983,-0.6362727,-1.0970917,-0.032690577,-0.40065944
-1.0728842,-0.14410113,0.93292856,0.98596364,-0.08734348
-0.03924604,0.021908319,-0.75634,-0.7362378,-1.0257424
0.23417237,-0.37587556,-0.33769992,0.17031519,-1.5587565
-0.38447106,-0.22106776,1.0771072,-0.274372,-0.4941703
-0.0062826034,-1.3713577,-1.0653408,-0.6749883,-0.25710627
0.8976905,0.84241253,-0.25872773,-0.7078948,1.4172391
-0.608908,0.418208,-1.1690212,-0.028691579,-0.35384414
-1.006157,0.69132924,0.57563245,-0.41963232,-1.3571666
-1.4315076,0.27248755,-2.012917,-0.16043484,0.7661365
0.15761891,-0.0070981886,1.5830923,-0.23111033,0.39283034
