Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
0.35049486,-2.0390704,0.062640026,0.36773667,-0.26314476,1.7752806,0.13219412,0.8527632,-2.4460368,0.28053522,-0.3004973,-0.5944696,-1.5573035,0.6309974,0.44438133,-0.57629627,-0.71129286,-0.810337,-1.3817276,0.7475469
-0.86280847,2.0829968,1.4868525,-1.3584121,0.50530493,-1.5687858,-0.3201775,0.4493188,0.07946527,0.9320453,-0.86312795,-0.105495445,-0.71412075,1.6999187,0.87106395,0.63189507,1.6078783,1.6293715,-0.9858287,-1.2642833
-1.1033558,-0.5160721,0.14950398,-0.013228803,1.0117218,-0.25569624,1.1732956,-0.15762974,-0.86148244,-0.7670888,0.41702852,0.26494935,0.92476004,2.08792,0.5581085,-0.19403562,0.69441277,-0.5864729,-0.06689496,0.07091545
-1.6406598,2.1951957,1.7921519,0.8723769,1.3300003,1.2922754,0.14939825,-1.1876782,-0.010579254,-1.1015074,-0.6401609,0.65980715,-0.4784496,0.6196132,0.49992505,0.45111868,-0.60566735,-1.805814,-0.35162714,-0.96074545
1.2878646,-0.71826017,1.8851384,0.07609383,-0.58989525,0.7387436,-1.2419611,-0.08018898,-0.91589236,-0.015766859,1.9322066,-0.020836823,-0.8374097,-0.17628813,-0.42107722,0.008935455,-0.58028376,1.1330218,-0.39530593,0.17202953
0.22688495,1.9155359,0.69539833,0.2077034,-1.1356872,1.3566866,-0.06836914,0.8422454,0.28162217,1.2964137,0.44309118,0.93410766,-0.97384566,-1.0903311,0.61926913,0.12059609,1.0867456,-1.5055422,2.3083642,-0.41807345
0.48009786,1.5420212,-1.4517322,0.21525778,0.452853,-0.4581187,-1.7502136,-0.81207705,-1.131594,0.5834178,0.32230744,-2.737714,0.04820767,2.7266273,0.25685635,0.03618352,-0.520742,-0.22909765,0.4281729,-1.8329086
-1.9195939,-1.4919597,0.7064098,0.20522912,-0.26532003,-0.4008144,-2.3017838,-1.1965153,-0.43615764,1.3329458,-0.655745,-0.7557557,0.25806326,-0.21591099,0.7594039,-0.60314375,0.30517435,0.9582751,-0.7132644,1.3376133
-0.94547874,-0.5496141,1.1563308,0.5121653,0.42477056,-0.94914645,-0.19841918,0.3216449,-1.1413649,-0.055021375,0.8405219,1.2021165,-1.4492832,0.24883907,0.44257295,0.14273489,0.078863405,0.1284046,-0.48463538,-0.48627555
1.1291474,-0.5766768,-0.61305094,0.8972499,0.13767803,0.23850232,0.34374726,0.8346585,1.39102,0.0893385,-0.71822876,0.103110254,0.030960994,0.9559841,-0.16665342,-0.5021632,0.4676228,-0.80775094,-0.95201814,-1.2406286
-0.30958796,-1.1051768,1.2534184,-2.2178137,-2.1908965,0.07964998,-0.14140432,1.6095852,-0.5614991,0.5523055,0.4949288,-0.6856805,0.27261618,-0.20695616,-0.79195726,-0.2984771,-0.20576379,0.13111009,1.1404986,0.08176442
0.90013164,-0.19840327,-0.28300548,0.35976753,-1.0723399,-0.12428213,0.1383912,-0.5803941,0.3543701,0.2736757,0.48493668,1.4999701,-1.9008558,0.44398963,1.1248091,-1.8856678,0.4192281,0.748341,-0.6625712,0.47261298
-0.56400055,2.0249865,0.47892466,-0.47129202,-0.65135586,-0.02772552,-1.1739496,-0.69950444,0.091211125,0.48571712,0.5944879,1.3206232,-0.7966717,0.6041743,0.7266491,-0.48225883,0.20737909,1.0785681,0.57399184,1.442693
