Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_1,-2.6911452,0.5320701,0.8864894,0.037350483,0.5862208,-0.9948328,0.016004791,0.9576889,1.694858,0.7613139,-0.06793811,-0.81011057,-0.13936053,0.4687785,0.73553765,0.09516369,0.10735081,0.8118735,-0.70896435,0.2316767
Subject_2,-0.23534852,0.32703477,0.9063363,0.08102881,-0.5199801,0.056377146,0.36556408,-1.7042627,-1.1978706,-0.36574903,-0.8467514,1.6648962,-0.98668915,0.64556736,-3.0159955,0.25533488,-0.74347025,-0.8100835,0.43663606,1.1230234
Subject_3,1.3990704,-1.254182,0.5031632,-0.9814365,1.7052685,0.6918634,-0.76570886,0.02293961,0.18274073,-0.049684703,0.11738467,-1.1960984,-0.30954522,1.568962,1.3941655,0.8701219,0.14136857,-0.24756776,-0.49937612,1.5870914
Subject_4,2.3255155,0.24214987,-0.5943686,1.7576518,-2.194552,0.9036609,-1.4359928,-0.19929,-1.554045,-1.0196414,-0.1949272,-0.36786753,0.3145564,-1.2274176,0.25190175,-2.6382732,0.5905665,0.13549723,-0.7193707,1.1336027
Subject_5,1.6515167,0.31385386,-0.71665496,-0.047778565,-2.0174208,-0.592593,1.0700753,1.6493677,1.4402897,-0.0146157015,1.7686772,-1.2474611,0.5298639,0.15742485,-0.34275883,-0.7946023,-0.8560474,-0.7149484,-0.7723678,0.11967471
Subject_6,0.24434876,0.43253627,-1.573919,-1.6845406,-0.07636982,2.8844044,-1.7150975,0.021088926,0.63093376,-0.5343555,-2.1596606,0.42245325,1.4738852,0.2610405,0.8761844,-0.33341524,-0.06683114,0.06617107,0.30665654,0.7439664
Subject_7,1.3866144,-0.24173325,-0.7455938,-0.94181895,0.6363369,-0.5649987,-1.2590415,-1.0771363,0.5746284,1.9820073,0.11746421,0.5369918,-0.32673854,0.7305407,-0.42536554,1.361278,0.8003839,0.73492396,-0.2144924,-0.5112113
Subject_8,-0.8701933,-0.32925725,1.6634742,-1.0255897,0.35647985,-0.2030054,-0.22746369,-1.413227,-0.98017275,1.7917099,0.14310963,0.8200642,0.11216773,-0.85074747,1.2204839,0.039061863,0.18400872,0.58263355,0.5413551,-0.636436
Subject_9,1.0290775,-0.6561845,-0.037867103,-0.30423322,-0.047270905,0.31553388,-0.10805817,0.8447866,0.15480088,0.02443629,1.1486379,-0.33791795,-1.217528,-0.8856732,0.45196393,-0.28352246,0.03775942,-0.89992636,0.63183844,-1.5804039
Subject_10,-0.056342863,1.0728042,-1.5678233,0.08736682,0.056242645,-0.16702347,-0.37788188,-1.0598427,-1.8177816,-0.9199927,-0.09708309,-0.3548263,-0.55829734,0.94123596,-0.93553287,-0.004453092,-0.3380299,-1.6810004,-1.0462326,-0.20732346
