Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
rigidity_left,0.00023480044910684228,-0.0006928496295586228,-0.0010913864243775606,-0.0002156709088012576,0.001812419737689197,-0.0019118125783279538,0.0031672115437686443,-0.0010459587210789323,0.0011309213005006313,-0.00017173793457914144
rigidity_right,-0.00011965408339165151,-0.00041041377699002624,-0.0005606138147413731,0.0009559566387906671,-0.002654443960636854,-0.0016156615456566215,-0.0002722511999309063,-0.0015763684641569853,-0.0017586051253601909,0.0007026772364042699
tremor_rest_left,0.0002980986319016665,-0.001087414100766182,-0.00010465144441695884,-0.0010702289873734117,0.0008224744233302772,0.0019122931407764554,0.0032134167850017548,0.0018513437826186419,0.001933845691382885,-0.0020394788589328527
tremor_rest_right,0.00036859529791399837,-0.00068618543446064,7.630929030710831e-05,-0.000499387679155916,-0.001475730910897255,0.0009946634527295828,0.0007261713035404682,0.0014852893073111773,-0.0019969986751675606,-0.0028203343972563744
tremor_postural_left,-0.00037504249485209584,-0.0013568673748522997,-0.0005650095990858972,-0.0012410813942551613,0.0019040955230593681,0.001565942307934165,0.0009219060302712023,0.0006885264883749187,0.0022819279693067074,0.00032474007457494736
tremor_postural_right,0.0001477337791584432,-7.146074494812638e-05,0.0013642704579979181,0.00012023552699247375,-0.003280750708654523,0.0008697526645846665,-0.00270690000616014,0.0012353765778243542,-0.002082094782963395,-0.0015187724493443966
bradykinesia_speed_left,0.0004437320167198777,0.00024072625092230737,0.00017775363812688738,0.0005584453465417027,0.0021693364251405,-0.0013437343295663595,0.002481678035110235,-0.000638870638795197,0.0017418967327103019,0.001250816392712295
bradykinesia_speed_right,-7.613844900333788e-06,0.00024282986123580486,-0.0004597138613462448,0.0013916485477238894,-0.0021346984431147575,-0.0002539878187235445,-0.002129962667822838,0.0015624999068677425,-0.0026745181530714035,-0.0013483153888955712
bradykinesia_amplitude_left,0.0005320480559021235,-5.5824348237365484e-06,3.605407982831821e-05,-0.0001728605420794338,0.002606241498142481,-0.0016218542587012053,0.0019991619046777487,-0.001435434678569436,0.001783217303454876,0.0017003766261041164
bradykinesia_amplitude_right,-0.00011409910075599328,4.168272062088363e-05,-0.00038505170959979296,0.001260052202269435,-0.001920798560604453,-0.0007034902810119092,-0.002525842282921076,0.000992261921055615,-0.0028026560321450233,-0.0006974227144382894
bradykinesia_rhythm_left,0.00032804335933178663,0.00025682663545012474,-6.10855349805206e-05,0.00029630702920258045,0.0009213389130309224,-0.0017722424818202853,-0.0004963090759702027,-0.0021712910383939743,0.0029861012008041143,0.00022222123516257852
bradykinesia_rhythm_right,0.00032260973239317536,0.00016684808360878378,0.00020346560631878674,0.0008029623422771692,-0.0019859333988279104,-0.0032932045869529247,-0.004113633651286364,-0.0007120606605894864,-0.0027916794642806053,0.0016772610833868384
mirrormovement_left,-0.0008016545325517654,-0.000704619160387665,-0.0008164702448993921,0.003708121832460165,-0.005766585469245911,-0.0022033501882106066,0.0003646212280727923,0.001791924936696887,-0.002260638400912285,-0.005622998811304569
mirrormovement_right,0.0005951416678726673,0.00014546734746545553,0.0009248187416233122,0.001587473670952022,0.005066205747425556,-0.0020258883014321327,0.0044609070755541325,-0.00010114397446159273,0.003423187881708145,-0.00014021086099091917
