factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,0.0008,0.0004,0.0004,0.0001,0,0.0,False
1,0.0013,0.0004,0.0003,0.0003,0,0.0,False
2,0.0013,0.0004,0.0003,0.0003,0,0.0,False
3,0.0033,0.0004,0.0003,0.0003,0,0.0,False
4,0.0054,0.0004,0.0003,0.0003,0,0.0,False
5,0.0031,0.0003,0.0003,0.0003,0,0.0,False
6,0.0041,0.0003,0.0002,0.0003,0,0.0,False
7,0.0021,0.0003,0.0003,0.0003,0,0.0,False
8,0.0031,0.0004,0.0003,0.0003,0,0.0,False
9,0.0051,0.0004,0.0003,0.0003,0,0.0,False
