Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
rigidity_left,0.00015913093,-0.00049378414,-0.0009648353,-0.00015452772,0.0016840277,-0.0016909275,0.0028733453,-0.0009905873,0.000980828,-0.00016297691
rigidity_right,-0.00025502022,-0.00033121713,-0.00056867406,0.0007792552,-0.0023957961,-0.0015601439,-0.0001573316,-0.0015073975,-0.001737551,0.000687637
tremor_rest_left,0.00029017113,-0.0010056567,-9.5631476e-05,-0.0010114363,0.0007009739,0.0018579952,0.0029747323,0.0016497882,0.0016789266,-0.0019137196
tremor_rest_right,0.0004738379,-0.00063254376,0.00011695204,-0.00038711773,-0.0013677425,0.0009341797,0.00077144295,0.0014080863,-0.0017688156,-0.0026364026
tremor_postural_left,-0.00031819052,-0.001224467,-0.00057837437,-0.0011026678,0.0017453817,0.001484317,0.000857302,0.0007061306,0.0020243407,0.0003604656
tremor_postural_right,0.00014573729,-5.6650144e-05,0.001263465,8.233738e-05,-0.0030802693,0.00079596625,-0.002452279,0.0011570269,-0.0019958594,-0.0014807156
bradykinesia_speed_left,0.00038113186,0.00021572363,0.00018583506,0.0004905964,0.0020612124,-0.0011221812,0.0023120365,-0.0004928088,0.0016417307,0.001129181
bradykinesia_speed_right,4.6615045e-05,0.00017315008,-0.0003403054,0.0012239726,-0.0020243544,-0.00025013703,-0.0020211036,0.0013208345,-0.0025268244,-0.0011548923
bradykinesia_amplitude_left,0.00045439543,-5.4141183e-05,0.000108507105,-0.00014873277,0.0024834,-0.0015014602,0.0018196689,-0.0014260366,0.0016746256,0.0014774428
bradykinesia_amplitude_right,-0.00020982302,-5.031317e-07,-0.000335249,0.0011475511,-0.0018486636,-0.00060028856,-0.002166547,0.00087053224,-0.0025639914,-0.00069169444
bradykinesia_rhythm_left,0.0002080908,0.00027443114,-0.00017903754,0.00037454214,0.000881155,-0.0015381469,-0.0004249854,-0.0020886369,0.0027321826,0.00021111745
bradykinesia_rhythm_right,0.00022320235,7.0403614e-05,0.00018039327,0.000694074,-0.0019495331,-0.003141966,-0.003828344,-0.0007971742,-0.0024880983,0.0015654194
mirrormovement_left,-0.0007206036,-0.0006242982,-0.00068082643,0.003336756,-0.005377147,-0.0021027222,0.00035411387,0.0016638321,-0.0019303688,-0.0050681955
mirrormovement_right,0.00062649767,0.000112135815,0.00087183446,0.0014992516,0.0045410995,-0.0018111157,0.004102426,-9.714001e-05,0.003145241,-0.00015610561
