Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
volume_sn_voxels::v0,0.00016401641187258065,-0.00035314218257553875,0.00019038532627746463,0.0003191837458871305,9.732540638651699e-05,-0.00018714369798544794,0.0008505969308316708,0.00028456986183300614,-3.4569264244055375e-05,-0.0002739543851930648
volume_sn_voxels::v1,0.00020743806089740247,-0.00029464520048350096,0.00041711085941642523,0.0003840434073936194,0.00024410354671999812,-0.00024023131118156016,0.0010162561666220427,0.00028784581809304655,-8.025510760489851e-05,-0.0001813046692404896
volume_sn_voxels::v2,0.00018697109771892428,-0.0004351844545453787,3.058352740481496e-05,0.00035434484016150236,0.0001393230486428365,-0.00019164486730005592,0.0007341760792769492,0.000426693819463253,-0.00026891156448982656,-0.0003853165835607797
volume_sn_voxels::v3,0.00023377999605145305,-0.00043598085176199675,0.00016077574400696903,0.00039892856148071587,0.0002758356276899576,-0.00026022919337265193,0.0007913853041827679,0.000511565653141588,-0.00029161584097892046,-0.0003025639452971518
volume_sn_voxels::v4,0.0003072685794904828,-0.00040836725383996964,0.0003523179912008345,0.0004085504333488643,0.0004175437497906387,-0.00028972793370485306,0.0008998705307021737,0.0005298424512147903,-0.00031915976433083415,-0.00021020260464865714
volume_sn_voxels::v5,0.00021190650295466185,-0.0004641938430722803,-9.7853277111426e-05,0.00035237325937487185,0.00019974140741396695,-0.00018980017921421677,0.0005058071692474186,0.0003200786013621837,-0.00048795429756864905,-0.000377791904611513
volume_sn_voxels::v6,0.0002657197474036366,-0.0004818199959117919,-2.1277519408613443e-05,0.00038132950430735946,0.000348346889950335,-0.00023577707179356366,0.0005220288294367492,0.0004947337438352406,-0.0005224359920248389,-0.00031378198764286935
volume_sn_voxels::v7,0.00032229835051111877,-0.0005025809514336288,8.477959636365995e-05,0.0004438516916707158,0.0004966593696735799,-0.0002688808017410338,0.0006029052892699838,0.0006611590506508946,-0.000549333868548274,-0.0002934943186119199
volume_sn_voxels::v8,0.0004173750930931419,-0.0005006507853977382,0.0002686695661395788,0.00046733260387554765,0.0005974166560918093,-0.00031523825600743294,0.0006847911281511188,0.0007918445044197142,-0.0005589745123870671,-0.0002402830868959427
volume_sn_voxels::v9,0.00025661609834060073,-0.00036320590879768133,-0.00025463823112659156,0.0002749202831182629,8.939630060922354e-05,3.255038336646976e-06,0.00039819825906306505,-0.00022481974156107754,-0.00047871857532300055,-0.0002915678487624973
volume_sn_voxels::v10,0.0002670318935997784,-0.0004281870787963271,-0.000265572831267491,0.00032689800718799233,0.00018159010505769402,-0.00010594118793960661,0.0003869518404826522,-0.00012339677778072655,-0.0005740210763178766,-0.0003388600598555058
