Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v0,0.0001475769,-0.00034774988,0.00019119855,0.00031519623,0.00012305316,-0.00019596495,0.0007947476,0.00026257217,1.16654e-06,-0.00026572068,4.766676e-05,-0.0011471881
volume_sn_voxels::v1,0.00021330403,-0.0002725688,0.00042878924,0.00036746217,0.00023816114,-0.00022640417,0.0010084591,0.00028952962,-7.015829e-05,-0.00019080531,-1.7346176e-05,-0.0006627515
volume_sn_voxels::v2,0.00019078555,-0.0004287199,1.556243e-05,0.00034306917,0.00013633826,-0.000201374,0.0007294908,0.00041270026,-0.00026148354,-0.0003537508,4.9811504e-05,-0.0014468369
volume_sn_voxels::v3,0.00022520912,-0.0004105335,0.00014324751,0.00038212835,0.00027802004,-0.00025923544,0.0007743526,0.0004779542,-0.00030658877,-0.00032585234,0.00014621152,-0.001259844
volume_sn_voxels::v4,0.00029671437,-0.00038655623,0.00032556616,0.0004256388,0.00040063242,-0.0002888207,0.0009533123,0.00053912756,-0.00030569817,-0.00020847163,0.00012911532,-0.00056190306
volume_sn_voxels::v5,0.00023117624,-0.00048082072,-9.6612544e-05,0.00032182538,0.00020453875,-0.00016851735,0.00052149803,0.0003327907,-0.00045958266,-0.00040456143,-7.348526e-05,-0.0015129923
volume_sn_voxels::v6,0.00023485978,-0.0005247671,-4.7010097e-05,0.00036315309,0.00034029622,-0.0001994153,0.00047239757,0.00045433224,-0.00048365144,-0.00031499373,3.666817e-05,-0.0012472555
volume_sn_voxels::v7,0.00032192463,-0.00052803813,6.97356e-05,0.00042289315,0.00044672829,-0.0002540458,0.00059765397,0.0006732774,-0.0005498525,-0.00029161715,0.00013453365,-0.0010175376
volume_sn_voxels::v8,0.00038641042,-0.0004890644,0.00023300311,0.00046439376,0.0006103406,-0.0003085851,0.0006334886,0.0007704491,-0.0005825657,-0.00022871232,0.00018658162,-0.00037720054
volume_sn_voxels::v9,0.00027067328,-0.00033011907,-0.00023315246,0.00026867495,7.001072e-05,-9.826822e-06,0.00037419458,-0.00022022553,-0.00046446596,-0.00030042592,-0.00010387004,-0.0014702376
volume_sn_voxels::v10,0.0002665533,-0.00045282603,-0.00027171712,0.0002985327,0.00016461265,-0.0001148319,0.0003683718,-0.00013528638,-0.00048166938,-0.00031178351,-0.00016929333,-0.0016090039
volume_sn_voxels::v11,0.00024004416,-0.00046250416,-0.0002081851,0.00029187382,0.00028857615,-0.00020802446,0.00034565123,4.795236e-05,-0.0006126388,-0.00028085228,-0.000176097,-0.0014794471
volume_sn_voxels::v12,0.00028102417,-0.0005779973,-0.00018094928,0.00038043124,0.00041269488,-0.0002412504,0.00030307207,0.0002795345,-0.00065539224,-0.00023345365,-0.00019353912,-0.0012663929
volume_sn_voxels::v13,0.00033131507,-0.00054195034,-7.617127e-05,0.00039009762,0.00056202983,-0.00022257077,0.00024520606,0.00042955123,-0.0005534338,-0.00015073376,-6.315363e-05,-0.0010278634
volume_sn_voxels::v14,0.00034578415,-0.00052539294,2.1096805e-05,0.00040661095,0.0005954144,-0.00021596186,0.00029316868,0.00060507644,-0.00056142645,-0.00012471949,6.0222344e-05,-0.0005621453
volume_sn_voxels::v15,0.000438058,-0.00054255454,0.00013513502,0.00046437816,0.00062928314,-0.00027390762,0.00040458454,0.0007686083,-0.0006626948,-0.00015260479,0.0001476902,-8.416679e-05
volume_sn_voxels::v16,0.00031107827,-0.00014944708,-0.00010938931,0.00019296282,0.0002884915,0.00036332203,0.000116082,-0.00068330206,-0.0006286329,9.0265414e-05,0.00012340989,-0.0007463202
volume_sn_voxels::v17,0.00032066283,-0.0002574032,-0.00022151518,0.00026198692,0.00019926472,0.00015099434,0.000121068384,-0.0006151442,-0.0004929526,-1.6795473e-06,-1.7955643e-05,-0.0011455722
volume_sn_voxels::v18,0.00034083854,-0.00044413423,-0.00031743498,0.00027803154,0.00026707703,6.454509e-08,0.00015208682,-0.0006675168,-0.00058172166,-0.00017555754,-0.00019861336,-0.001481748
volume_sn_voxels::v19,0.00029861555,-0.0005056123,-0.0003088313,0.00031573296,0.0003271786,-0.00012396996,0.00016791049,-0.000363139,-0.000608037,-0.00020098653,-0.0002614499,-0.0014070445
volume_sn_voxels::v20,0.00030488678,-0.00058184034,-0.00024601995,0.0003694156,0.00039692156,-0.00023918982,0.00014426364,-0.00012321571,-0.00059276464,-0.00012206839,-0.00032002546,-0.0013362129
volume_sn_voxels::v21,0.00033168332,-0.0006151688,-0.00020068664,0.0004242572,0.0005959397,-0.00026539367,7.0009664e-05,0.00016481106,-0.0005967253,-5.984208e-05,-0.00029065335,-0.001000897
volume_sn_voxels::v22,0.00039346432,-0.0006267301,-9.665719e-05,0.00041662177,0.00067659566,-0.00024105552,6.482191e-05,0.00041579246,-0.00057802105,3.0231906e-05,-0.0001747734,-0.000581634
volume_sn_voxels::v23,0.00041048523,-0.00061989325,-3.8163893e-05,0.000456081,0.00079572015,-0.00019230018,6.424505e-05,0.0006136281,-0.000572086,-5.579903e-09,-4.528114e-05,-0.00025649546
volume_sn_voxels::v24,0.0004487595,-0.00057695014,0.00013310157,0.00043893277,0.0008893508,-0.00021169319,0.00022517004,0.00074833917,-0.0006061807,-7.039915e-05,6.501405e-05,0.00027135608
volume_sn_voxels::v25,0.0003627371,-0.0002098135,-8.225561e-05,0.00017661572,0.0003764777,0.00036800746,-1.9103674e-05,-0.0009507867,-0.00058186485,0.0003253216,-5.9272123e-05,-0.00060220587
volume_sn_voxels::v26,0.00034897868,-0.0003353837,-0.00017151069,0.00016018843,0.00036873715,0.00018539815,1.2168288e-05,-0.0008845273,-0.00049049547,0.00011253965,-0.00016381631,-0.001051932
