Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v0,0.00015253692981787026,-0.00033482463913969696,0.00019022196647711098,0.00032358747557736933,0.00011476010695332661,-0.00018418370746076107,0.0008729637484066188,0.0003056545974686742,-4.64185286546126e-05,-0.00024597434094175696,3.918295988114551e-05,-0.0011993645457550883
volume_sn_voxels::v1,0.00020947481971234083,-0.0002869678137358278,0.00040792161598801613,0.0003666423144750297,0.0002495442167855799,-0.00023743633937556297,0.0010133817559108138,0.0002941226994153112,-6.412654329324141e-05,-0.00018637751054484397,-1.7707479855744168e-05,-0.0006828655023127794
volume_sn_voxels::v2,0.00017935763753484935,-0.0004200126859359443,2.4476023099850863e-05,0.0003455125552136451,0.00013094692258164287,-0.00020516372751444578,0.000719294126611203,0.0004239880363456905,-0.00026361760683357716,-0.00036168249789625406,5.1209161028964445e-05,-0.0014339650515466928
volume_sn_voxels::v3,0.00024710444267839193,-0.0004107356653548777,0.00014665329945273697,0.000393155962228775,0.0002825668198056519,-0.0002557401021476835,0.0007826713263057172,0.0004810362006537616,-0.0002965832536574453,-0.0003097851003985852,0.00011879707017214969,-0.0011790029238909483
volume_sn_voxels::v4,0.0003097643202636391,-0.0003874530375469476,0.00033414893550798297,0.00042664987267926335,0.0003792930510826409,-0.00030392821645364165,0.0008783659432083368,0.000554928439669311,-0.00029360511689446867,-0.00019182785763405263,0.0001222459541168064,-0.000547921983525157
volume_sn_voxels::v5,0.0002286509406985715,-0.0004790182283613831,-0.0001185784421977587,0.0003400496207177639,0.00020066037541255355,-0.00018076907144859433,0.0005270217661745846,0.00033145572524517775,-0.0004804464115295559,-0.00039479744737036526,-7.398509478662163e-05,-0.0015273892786353827
volume_sn_voxels::v6,0.0002563987218309194,-0.0004992227186448872,-4.3151543650310487e-05,0.00036412366898730397,0.0003387460019439459,-0.00021027078037150204,0.00048446664004586637,0.0004466765094548464,-0.00047478085616603494,-0.00031082515488378704,7.212136097223265e-06,-0.001338035799562931
volume_sn_voxels::v7,0.0003309153253212571,-0.0005177709390409291,6.81462261127308e-05,0.00044764322228729725,0.00047348852967843413,-0.00025886125513352454,0.0005759616615250707,0.0006648896960541606,-0.0005183761240914464,-0.00028155779000371695,0.00013339845463633537,-0.0010399374878033996
volume_sn_voxels::v8,0.00038512429455295205,-0.0004902664222754538,0.0002612527459859848,0.0004637686943169683,0.0006071686511859298,-0.00031811813823878765,0.000682959274854511,0.0007624260033480823,-0.0005579065182246268,-0.00022636237554252148,0.00018101921887136996,-0.00038595538353547454
volume_sn_voxels::v9,0.00027657061582431197,-0.00035996900987811387,-0.0002414073096588254,0.0002542126749176532,8.56319529702887e-05,-6.013681286276551e-06,0.0003813411167357117,-0.0002375688054598868,-0.0004697735421359539,-0.00028317238320596516,-0.00010657505481503904,-0.001478591002523899
