Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
rigidity_left,0.021152867004275322,0.007962084375321865,0.03768441081047058,-0.010610343888401985,-0.01342148520052433,-0.01883639767765999,0.0016106506809592247,0.0002784407406579703,0.0147169204428792,-0.1800217628479004,-0.06336750090122223,0.09797478467226028
rigidity_right,0.009166699834167957,-0.012736967764794827,0.11898493766784668,0.03366173431277275,0.00013896753080189228,-0.0673523098230362,0.03939592093229294,0.0071336072869598866,-0.034032467752695084,0.007679063361138105,-0.13712972402572632,-0.0541134774684906
tremor_rest_left,0.016769295558333397,0.00845084898173809,-0.4706413447856903,-0.04911762848496437,-0.00042576156556606293,-0.049361906945705414,-0.05543036386370659,-0.03205391392111778,0.05163917317986488,-0.006142706610262394,-0.026502471417188644,0.025785772129893303
tremor_rest_right,-0.04817658290266991,-0.0066635687835514545,-0.08463526517152786,-0.04369335249066353,-0.016913505271077156,-0.021055148914456367,-0.05641315132379532,0.012740816920995712,0.05710267275571823,0.044830381870269775,0.013359779492020607,-0.05039936304092407
tremor_postural_left,-0.016404712572693825,-0.02573823742568493,-0.2669009268283844,0.024547485634684563,0.006649480201303959,-0.024372819811105728,-0.0028168843127787113,-0.00127226032782346,0.005443439353257418,-0.009699566289782524,0.035953279584646225,0.12298166751861572
tremor_postural_right,0.051508549600839615,0.014980912208557129,0.0172754917293787,-0.01590789668262005,0.00012317486107349396,0.010143058374524117,0.0019600195810198784,-0.049795545637607574,0.00360936694778502,0.4909563958644867,0.08988211303949356,-0.1075872927904129
bradykinesia_speed_left,-0.007752744480967522,-0.006502712611109018,0.04199044033885002,-0.024598803371191025,-0.02297819033265114,0.030547726899385452,-0.018337702378630638,-0.012277414090931416,-0.013597486540675163,-0.07877800613641739,-0.19791996479034424,0.0725998505949974
bradykinesia_speed_right,0.031068265438079834,-0.011465146206319332,0.04797140881419182,0.01268285233527422,0.021233197301626205,-0.10179837048053741,0.009287801571190357,-0.025882195681333542,0.09506851434707642,0.11086508631706238,-0.009959155693650246,-0.1291428506374359
bradykinesia_amplitude_left,-0.06565051525831223,-0.004493691027164459,0.10003218054771423,-0.04760543629527092,0.020005274564027786,0.07823726534843445,-0.006021164823323488,0.04877908155322075,0.03835431486368179,-0.08422894030809402,-0.027596231549978256,0.05978528410196304
bradykinesia_amplitude_right,-0.0625750944018364,-0.014401021413505077,0.12764757871627808,-0.008280687034130096,0.007095983251929283,-0.06890904903411865,0.01740647293627262,-0.06592932343482971,0.015379844233393669,0.03310828655958176,0.012759333476424217,-0.010722124017775059
bradykinesia_rhythm_left,0.03120909444987774,-0.02649707905948162,0.13734278082847595,-0.03434709832072258,-0.045323967933654785,0.008310049772262573,0.002455100417137146,0.16618235409259796,-0.021807963028550148,-0.04328937083482742,-0.04897405952215195,0.039370957762002945
bradykinesia_rhythm_right,0.06566374748945236,0.0004516731423791498,1.8581879138946533,-0.027004677802324295,0.03710803762078285,0.010667694732546806,0.059477485716342926,0.010091103613376617,-0.018894970417022705,0.04858462139964104,0.060135260224342346,-0.07839567959308624
mirrormovement_left,0.11833946406841278,-0.010707221925258636,1.2072707414627075,0.031492020934820175,-0.0501551479101181,-2.4438118934631348,-0.3405112028121948,-0.4242910146713257,0.028762180358171463,2.2718746662139893,-0.15166832506656647,-0.6199150085449219
mirrormovement_right,-0.05455208569765091,-0.04932704195380211,0.05709746107459068,-0.019374143332242966,-0.05108310654759407,0.18540465831756592,-0.07019776850938797,0.04088616743683815,-0.02574761025607586,-0.2560020387172699,-0.30441972613334656,1.4385260343551636
