Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v0,-314.59991455078125,7.626881122589111,-1.4089919328689575,0.08242512494325638,-3.0187995433807373,-0.7412592172622681,-0.108112633228302,-0.3952440023422241,-5.86535120010376,0.7352380156517029,-24.201173782348633,-0.5942192077636719
volume_sn_voxels::v1,-307.2513427734375,4.344496250152588,-1.2036889791488647,-0.023780958727002144,-6.4093523025512695,-0.17751066386699677,-0.1008424460887909,-0.7442952394485474,-3.1862895488739014,0.9593926668167114,-33.16135787963867,1.3002046346664429
volume_sn_voxels::v2,-400.91729736328125,9.520642280578613,-1.3435779809951782,0.08101101964712143,4.400835037231445,-1.2370038032531738,-0.2054741382598877,-1.0141193866729736,-6.939522743225098,0.358722984790802,-16.14984130859375,-1.8045014142990112
volume_sn_voxels::v3,-437.5892639160156,7.4331488609313965,-1.0247632265090942,0.02282026596367359,-1.5568232536315918,-0.9684110283851624,-0.08031074702739716,-1.02345871925354,-5.459414958953857,0.6360844969749451,-19.670141220092773,-0.7660966515541077
volume_sn_voxels::v4,-419.9981994628906,6.120464324951172,-0.7420681715011597,-0.13787564635276794,-12.422262191772461,-0.4100377857685089,-0.0446743369102478,-1.0464060306549072,-2.294454574584961,0.9576160907745361,-28.177806854248047,1.272734522819519
volume_sn_voxels::v5,-413.5715637207031,8.615458488464355,-1.0082236528396606,0.029955096542835236,19.099441528320312,-1.4560165405273438,-0.14488913118839264,-1.697144865989685,-6.779697418212891,-0.2943105101585388,-10.274014472961426,-1.8653355836868286
volume_sn_voxels::v6,-459.6127624511719,7.4868245124816895,-0.7367483973503113,-0.01762588508427143,9.109975814819336,-1.2870780229568481,-0.04476381838321686,-1.703173041343689,-5.649782180786133,-0.08558554202318192,-9.892462730407715,-1.0061655044555664
volume_sn_voxels::v7,-521.4932861328125,3.369807004928589,-0.5929936766624451,-0.0841960534453392,-3.0391685962677,-1.0698022842407227,-0.01982499659061432,-1.5923540592193604,-3.9545254707336426,0.3627220690250397,-11.806353569030762,-0.03069295920431614
volume_sn_voxels::v8,-519.0740356445312,2.065890073776245,-0.3616742491722107,-0.2748855650424957,-16.68621253967285,-0.6303430199623108,-0.13226795196533203,-1.7512117624282837,-0.9441183805465698,0.8337576985359192,-19.33814239501953,1.5428581237792969
volume_sn_voxels::v9,-300.5975036621094,-4.6645827293396,-1.1637918949127197,-0.007810203358530998,60.942562103271484,-1.368727684020996,0.07940149307250977,-0.8021284937858582,-6.801733493804932,-1.2751058340072632,-10.19240665435791,-1.9856644868850708
volume_sn_voxels::v10,-348.0752258300781,0.6801890730857849,-0.9418385028839111,0.03881779685616493,60.69700622558594,-1.5216827392578125,0.0341566726565361,-1.4700393676757812,-7.036243915557861,-1.4251670837402344,-9.563291549682617,-1.78317129611969
volume_sn_voxels::v11,-375.0932922363281,3.3422529697418213,-0.5871668457984924,-0.0045075975358486176,47.86491394042969,-1.4826561212539673,0.08950395882129669,-1.8457627296447754,-6.2621283531188965,-1.2152488231658936,-7.103363513946533,-1.118722677230835
