Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.7849938571453094
1,3,75.0,Robust,0.7776313908398151
2,1,25.0,Unstable,0.5636955872178078
3,1,25.0,Unstable,0.583867684006691
4,2,50.0,Unstable,0.6342513486742973
5,1,25.0,Unstable,0.5858195275068283
6,2,50.0,Unstable,0.6773313507437706
7,1,25.0,Unstable,0.5306201130151749
8,1,25.0,Unstable,0.6539048105478287
9,1,25.0,Unstable,0.7759020924568176
10,1,25.0,Unstable,0.6495997980237007
11,1,25.0,Unstable,0.5557296946644783
