Feature,Factor_2,Factor_4,Factor_7,Factor_8,Factor_13,Factor_15,Factor_18
volume_sn_voxels_feature_0,-0.4576733410358429,-0.7582058310508728,-0.1924618035554886,-0.7148991227149963,-0.06321648508310318,0.2275102585554123,0.42782461643218994
volume_sn_voxels_feature_1,-0.45536884665489197,-0.5302652716636658,0.06850650161504745,-0.7817011475563049,-0.08917299658060074,-0.6281188130378723,0.5159531235694885
volume_sn_voxels_feature_2,-0.12890008091926575,-0.7373502850532532,0.3318523168563843,-0.30933424830436707,-0.08073314279317856,0.5164376497268677,-0.08932465314865112
volume_sn_voxels_feature_3,-0.01925881765782833,-0.38019755482673645,0.666907787322998,-0.7335882186889648,-0.16817204654216766,-0.2429400235414505,-0.2501213848590851
volume_sn_voxels_feature_4,0.10675498098134995,-0.05483395978808403,0.8814510703086853,-0.12345702201128006,-0.07493949681520462,0.18529276549816132,-0.3767198622226715
volume_sn_voxels_feature_5,-0.30102846026420593,-1.0277131795883179,-0.9939942359924316,-0.6072118878364563,-0.04739201441407204,-1.175606369972229,-0.7252770066261292
volume_sn_voxels_feature_6,-0.3858553469181061,-0.936089813709259,-0.8464452624320984,-0.226939395070076,0.39717841148376465,-0.5254953503608704,-0.06897538900375366
volume_sn_voxels_feature_7,-0.1627630889415741,-1.1905083656311035,-0.4553426504135132,-0.6496523022651672,-0.9437201619148254,-1.090274453163147,0.07065802067518234
volume_sn_voxels_feature_8,0.15339064598083496,0.04411531984806061,0.4197840392589569,0.00032133268541656435,-1.0105968713760376,0.28615835309028625,1.068703532218933
volume_sn_voxels_feature_9,0.2660138010978699,0.5196424126625061,0.8669984936714172,0.326896607875824,-1.2070504426956177,0.48411765694618225,1.0539896488189697
volume_sn_voxels_feature_10,0.1817450076341629,0.7170276641845703,0.8804616928100586,0.3895359933376312,-1.3976140022277832,-0.16860492527484894,1.1789755821228027
volume_sn_voxels_feature_11,-0.39080265164375305,-0.4161287844181061,-0.6557057499885559,-0.16322322189807892,-0.035689353942871094,-0.8030079007148743,0.8333157896995544
volume_sn_voxels_feature_12,0.006903400178998709,-0.2378121018409729,-0.029476210474967957,-0.220503568649292,-0.009414345026016235,-0.25674697756767273,0.04790015146136284
volume_sn_voxels_feature_13,0.13376973569393158,0.21911823749542236,0.16278541088104248,0.14317858219146729,-0.011823877692222595,0.2188020497560501,-0.325419545173645
volume_sn_voxels_feature_14,0.49325528740882874,0.2917903959751129,0.734424889087677,-0.29361677169799805,0.011205479502677917,-0.6244072318077087,-0.8373775482177734
volume_sn_voxels_feature_15,-0.09691822528839111,0.4476381242275238,-0.7433283925056458,0.4882054626941681,0.3727438449859619,0.9039843678474426,-0.026830390095710754
volume_sn_voxels_feature_16,0.23746418952941895,0.7297309041023254,0.2091730684041977,0.6581931710243225,0.13279156386852264,0.6575745940208435,-0.3799761235713959
volume_sn_voxels_feature_17,-0.08667664974927902,0.39932775497436523,-0.9376023411750793,0.3978416919708252,0.5297034382820129,0.40209439396858215,-0.2803851366043091
volume_sn_voxels_feature_18,0.08515142649412155,0.873948335647583,-0.26518476009368896,0.7481756210327148,0.2853836119174957,0.7635826468467712,-0.05724760890007019
volume_sn_voxels_feature_19,0.004247157368808985,-0.392679899930954,-1.0976505279541016,-0.4263935089111328,-0.4150184690952301,-0.5934242606163025,-0.261453241109848
volume_sn_voxels_feature_20,0.24260060489177704,0.8294009566307068,-0.6950892806053162,0.19670848548412323,0.15605629980564117,0.42899397015571594,-0.12135898321866989
volume_sn_voxels_feature_21,-0.4831874370574951,-0.947026252746582,-0.39881935715675354,-0.46459290385246277,-1.3148928880691528,-0.8379775881767273,0.2116602212190628
volume_sn_voxels_feature_22,-0.07705258578062057,-0.24180175364017487,0.41732585430145264,-0.14922651648521423,-1.1014395952224731,0.33617281913757324,0.34150195121765137
volume_sn_voxels_feature_23,-0.038059305399656296,0.08477412909269333,0.8451249003410339,0.04925062134861946,-1.1472995281219482,0.8439568877220154,0.571240246295929
volume_sn_voxels_feature_24,0.005864394828677177,0.5759666562080383,0.8884910941123962,0.23240382969379425,-1.357049584388733,-0.3021029233932495,1.1286602020263672
volume_sn_voxels_feature_25,0.13477617502212524,0.14734268188476562,-0.44932469725608826,0.5372945666313171,-0.07394320517778397,-1.053383231163025,0.5748515725135803
volume_sn_voxels_feature_26,0.33283737301826477,0.6477934718132019,-1.1180280447006226,0.30971911549568176,0.7148216366767883,-0.019534340128302574,-1.0107899904251099
volume_sn_voxels_feature_27,-0.8788204193115234,-0.5751920342445374,-0.2399166375398636,-1.071074366569519,-1.2132704257965088,-1.0287232398986816,-0.25676754117012024
volume_sn_voxels_feature_28,-0.322309285402298,-0.5673949122428894,-0.308635413646698,-0.44955602288246155,-1.095608115196228,-0.3808995187282562,0.07895904779434204
volume_sn_voxels_feature_29,-0.5442133545875549,0.15551303327083588,0.4770190417766571,-0.8534238338470459,-1.0723941326141357,0.42570701241493225,-0.1748751401901245
volume_sn_voxels_feature_30,-0.08599359542131424,-0.05821135640144348,0.5888223052024841,-0.22680683434009552,-1.322333812713623,0.7676886916160583,0.18467895686626434
volume_sn_voxels_feature_31,0.04054095223546028,0.09039073437452316,0.7529557347297668,-0.415370374917984,-1.5540367364883423,0.9560267329216003,0.16119974851608276
volume_sn_voxels_feature_32,-0.25955912470817566,0.14331717789173126,0.5002241730690002,-0.6906717419624329,-1.487998366355896,-0.7255179286003113,0.060741156339645386
volume_sn_voxels_feature_33,-0.008117198944091797,-0.4011138379573822,-0.45062828063964844,-0.15829122066497803,-1.3147953748703003,0.1309177428483963,0.015704920515418053
volume_sn_voxels_feature_34,-0.1993565708398819,1.4445449113845825,0.47366228699684143,0.5410987734794617,0.7346404194831848,-0.5458413362503052,-1.110662817955017
volume_sn_voxels_feature_35,0.05011371895670891,1.3513740301132202,0.7447479367256165,0.5309330821037292,0.599755585193634,-1.090227484703064,-1.308027744293213
volume_sn_voxels_feature_36,0.514802873134613,0.21649163961410522,0.31458723545074463,0.37745460867881775,0.19948320090770721,-0.37701138854026794,0.19313563406467438
