factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.5253,0.4147,0.285,0.3778,521,0.972,True
1,1.3806,0.5699,0.5113,0.4144,529,0.9869,True
2,1.6412,0.3775,0.2392,0.3813,527,0.9832,True
3,1.595,0.3989,0.2708,0.3832,519,0.9683,True
4,1.5631,0.525,0.3889,0.4265,532,0.9925,True
5,1.8073,0.4736,0.3106,0.4459,520,0.9701,True
6,1.794,0.393,0.2385,0.4098,522,0.9739,True
7,1.5007,0.6106,0.5602,0.4216,527,0.9832,True
8,1.6294,0.5116,0.3164,0.4541,525,0.9795,True
9,1.515,0.5585,0.4643,0.4068,529,0.9869,True
10,1.5862,0.5849,0.498,0.418,531,0.9907,True
11,1.9207,0.5088,0.3561,0.4324,526,0.9813,True
12,1.6787,0.4876,0.3258,0.4504,526,0.9813,True
13,1.775,0.477,0.3019,0.4422,519,0.9683,True
14,1.683,0.5291,0.4215,0.4089,528,0.9851,True
15,1.4752,0.6798,0.7102,0.3719,533,0.9944,True
16,1.514,0.5141,0.4406,0.3867,524,0.9776,True
17,1.7601,0.5783,0.4533,0.4581,525,0.9795,True
18,1.634,0.4713,0.2878,0.4548,522,0.9739,True
19,1.7474,0.3492,0.2082,0.3809,521,0.972,True
