Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
rigidity_left,0.005130328,0.056369655,0.05170769,-0.2501415,0.04413456,0.104012094,0.12628146,-0.5009201,0.08857452,-0.09253806,-0.11694699,-0.0997155,-0.019991439,-0.036281627,-0.12593621,0.16083884,-0.44249916,0.15176505,-0.26445177,-0.048034135
rigidity_right,-0.051227964,-0.13022909,-0.15161957,0.053182762,-0.09593955,-0.2900472,-0.03494695,0.04921361,0.26020402,0.37808937,-0.2708575,0.2098628,0.31221068,-0.04918685,-0.11741409,0.21225542,-0.0724635,-0.015932282,0.17539164,0.0020799001
tremor_rest_left,0.080571316,-0.13731688,-0.12268514,0.11245577,0.0071448614,0.10725521,0.06390968,-0.30297393,-0.08822583,-0.103801206,-0.016261991,-0.27639693,-0.08425629,-0.33148235,0.20155168,0.1152569,0.085376196,-0.19220759,-0.14561957,-0.28851068
tremor_rest_right,-0.048375916,-0.17011115,-0.3259873,-0.16602437,-0.049708165,-0.0592633,-0.12929663,0.13094844,-0.17715046,-0.23374736,0.21241534,0.23845832,0.078934655,-0.15551473,0.06392672,0.16950181,0.33250007,-0.0010010956,-0.12659448,-0.2886904
tremor_postural_left,-0.08873162,0.08179824,0.3573095,0.014699262,0.09750785,0.025951318,-0.056179926,-0.28279746,0.17177606,-0.2985422,-0.1202443,-0.21672486,-0.02084185,-0.08579756,-0.2881833,-0.02718122,0.36783028,-0.21498701,-0.21213262,0.12537144
tremor_postural_right,-0.033200268,-0.25420353,-0.016110996,0.046950147,0.09847457,-0.0021687394,-0.0060383226,0.43245104,-0.17005001,0.04628318,0.31697312,0.09712326,0.17736177,-0.6103239,0.1853906,0.1569057,0.13809672,0.11484642,0.050522752,0.057504546
bradykinesia_speed_left,-0.288119,0.16595827,-0.32187584,-0.08763348,0.1745711,0.043255176,0.12491686,-0.2592845,0.0758178,-0.17810784,0.2825653,-0.09768701,-0.22156172,-0.11482367,-0.063239194,0.1590122,-0.13114177,0.057967614,-0.16990755,-0.2270857
bradykinesia_speed_right,-0.08541959,-0.30372015,0.10341604,-0.009190056,-0.027468951,-0.32753834,0.21849672,0.12141875,-0.06365655,0.16571605,0.16319852,0.019083677,0.25575665,-0.21602617,-0.09586594,-0.12023765,0.13095698,0.020456394,0.6207366,0.056909118
bradykinesia_amplitude_left,-0.1999797,0.10028299,-0.33410457,-0.10622358,-0.013497479,0.37940383,0.24653757,-0.23909926,-0.1375563,-0.06821939,0.13149963,0.016064411,-0.05561148,0.013621462,0.7238085,-0.28440934,-0.454764,0.17743409,-0.19093165,0.08793145
bradykinesia_amplitude_right,-0.3847881,0.081511796,0.047453422,-0.14403206,0.20854485,-0.18726672,0.01798667,0.04263253,-0.0043639597,-0.21496558,0.011278479,0.02112991,0.087824576,-0.11378211,-0.32044652,-0.16008821,-0.10624547,-0.03375597,0.26185092,-0.033152193
bradykinesia_rhythm_left,-0.055376325,0.061792213,-0.03566911,-0.013295038,0.039188094,-0.14738132,-0.025641657,-0.09211787,0.0098001575,-0.12568608,0.16286571,0.09664299,0.02771692,0.031360578,0.027764468,-0.17245427,-0.5337881,-0.054218486,-0.045374654,-0.07523327
bradykinesia_rhythm_right,-0.36057535,-0.120589696,0.053680938,-0.038107827,-0.09705311,-0.08265494,0.18833384,0.48228297,0.11856314,0.26838973,-0.11936713,0.11756011,-0.28538224,-0.27195108,-0.23305759,-0.11964342,-0.85857725,-0.029628806,0.8445699,0.07972277
mirrormovement_left,-0.04612134,-0.05809388,0.4203729,-0.026656881,-0.036798738,-1.9896383,-0.09521352,0.44668058,-0.15007031,0.5430387,-0.039124817,0.030084759,-0.0034632804,-0.70923835,-0.54342246,0.59794706,0.2646129,-0.30757314,-0.104677506,0.12025482
mirrormovement_right,0.0211055,0.010426538,0.101105526,-0.13018641,0.03695721,1.0715293,-0.05292463,-0.99815685,0.17663988,-0.16265145,0.8364708,-0.17913376,-0.12845048,0.09507143,0.5335938,0.004407474,-0.2737048,0.5471439,-0.6480604,0.27181712
