Feature,Factor_12,Factor_13,Factor_19
volume_sn_voxels_feature_0,0.6648855805397034,0.30668559670448303,0.7303317785263062
volume_sn_voxels_feature_1,0.7349591255187988,0.1073412224650383,0.3893733322620392
volume_sn_voxels_feature_2,0.31218644976615906,0.2812764644622803,0.09470579773187637
volume_sn_voxels_feature_3,0.012875311076641083,-0.19557756185531616,-0.1705651581287384
volume_sn_voxels_feature_4,-0.0625910684466362,-0.1625596433877945,-0.884811520576477
volume_sn_voxels_feature_5,-1.0465089082717896,0.5545089244842529,-0.2392609566450119
volume_sn_voxels_feature_6,-0.195059135556221,-0.09072483330965042,-0.11724942922592163
volume_sn_voxels_feature_7,-0.6187322735786438,0.1416383534669876,0.18132394552230835
volume_sn_voxels_feature_8,0.8214781880378723,-0.24706204235553741,0.14981497824192047
volume_sn_voxels_feature_9,1.0833944082260132,-0.30116233229637146,0.13230493664741516
volume_sn_voxels_feature_10,1.1415740251541138,-0.0785927101969719,0.13537146151065826
volume_sn_voxels_feature_11,0.9954285025596619,0.1892562061548233,1.092010498046875
volume_sn_voxels_feature_12,0.19578534364700317,-0.3338049650192261,0.6781313419342041
volume_sn_voxels_feature_13,-0.30061477422714233,-0.30585137009620667,-0.15743990242481232
volume_sn_voxels_feature_14,-0.6846489906311035,-0.9880096316337585,-0.45671096444129944
volume_sn_voxels_feature_15,0.4526193141937256,0.3009961247444153,-0.19723200798034668
volume_sn_voxels_feature_16,-0.17738096415996552,0.05340733751654625,-0.8045347929000854
volume_sn_voxels_feature_17,0.11397133022546768,-0.11846697330474854,-0.5798038840293884
volume_sn_voxels_feature_18,0.055725451558828354,0.07653509825468063,-0.9538318514823914
volume_sn_voxels_feature_19,-0.26473692059516907,-0.07682352513074875,-0.05036940053105354
volume_sn_voxels_feature_20,0.12580783665180206,-0.15867507457733154,-0.701973021030426
volume_sn_voxels_feature_21,-0.12993009388446808,0.1258184313774109,0.46163633465766907
volume_sn_voxels_feature_22,0.8577213287353516,0.026755033060908318,0.3904434144496918
volume_sn_voxels_feature_23,1.1870121955871582,0.15160305798053741,0.5745270848274231
volume_sn_voxels_feature_24,1.089408278465271,-0.05323399603366852,0.12776823341846466
volume_sn_voxels_feature_25,0.9590466618537903,-0.154569610953331,1.1017096042633057
volume_sn_voxels_feature_26,0.054348450154066086,0.216961070895195,-0.48366430401802063
