Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v0,0.00018404248112346977,-0.00039448332972824574,0.00022553763119503856,0.0003826430765911937,0.00013287525507621467,-0.00022517966863233596,0.0010082746157422662,0.00033790693851187825,-3.375091546331532e-05,-0.0003296842332929373,3.957129592890851e-05,-0.001391133526340127,-0.00038590002804994583,0.0007799833547323942,-0.00018441675638314337,-4.854077997151762e-05,0.0008329867268912494,-0.0012948072981089354,-0.00047220528358593583,-0.0010234920773655176
volume_sn_voxels::v1,0.0002531417412683368,-0.00034627452259883285,0.0004700614372268319,0.0004371451504994184,0.00028720524278469384,-0.0002855917264241725,0.0011688811937347054,0.0003957721346523613,-0.00010125197877641767,-0.00022627311409451067,-2.253147613373585e-05,-0.000820582383312285,-0.00011070551408920437,0.0008018244989216328,-0.0005584234604611993,-0.00028072280110791326,0.0008765871170908213,-0.0016662072157487273,-0.0005402556271292269,-0.0008744759252294898
volume_sn_voxels::v2,0.00024124124320223927,-0.0005089498008601367,3.790362461586483e-05,0.0003949762904085219,0.00014280971663538367,-0.00023682568280491978,0.0008486431906931102,0.0004954522009938955,-0.00031083464273251593,-0.00043959860340692103,6.272667087614536e-05,-0.0018322826363146305,-0.0006104055792093277,0.0008354317396879196,0.0001543004036648199,-6.823315197834745e-05,0.0006405406747944653,-0.0009803547291085124,-0.0004174719506409019,-0.0011534857330843806
volume_sn_voxels::v3,0.0002804566465783864,-0.0005109129124321043,0.00018370714678894728,0.00048586828052066267,0.00033351435558870435,-0.00029886499396525323,0.0009163102367892861,0.0006279394729062915,-0.0003518982557579875,-0.000348040513927117,0.00014595249376725405,-0.0014640140580013394,-0.0005035437061451375,0.0010697870748117566,-0.0001268475316464901,-0.00021537681459449232,0.0007130227168090641,-0.001420407323166728,-0.0006349959294311702,-0.001195751829072833
volume_sn_voxels::v4,0.0003740748215932399,-0.00047007377725094557,0.0004194699868094176,0.0005068198661319911,0.00047632117639295757,-0.0003837844997178763,0.001087601063773036,0.0006189490668475628,-0.00039035931695252657,-0.0002518232795409858,0.00015473926032427698,-0.0006779875257052481,-0.00014899212692398578,0.0009764357819221914,-0.0005563240265473723,-0.00029878568602725863,0.0007436183514073491,-0.001683525275439024,-0.0007830166723579168,-0.0009035530965775251
volume_sn_voxels::v5,0.0002781333460006863,-0.0005622499738819897,-0.00014094181824475527,0.00040767452446743846,0.00024276574549730867,-0.00022814319527242333,0.0006231128936633468,0.00036617956357076764,-0.000574472825974226,-0.00041089809383265674,-7.372414984274656e-05,-0.0018591496627777815,-0.0007089368882589042,0.0008825213881209493,0.0003747774753719568,-0.00019060118938796222,0.00043433590326458216,-0.0006139951874502003,-0.0004402643535286188,-0.0011595631949603558
volume_sn_voxels::v6,0.00030887292814441025,-0.0005991706857457757,-8.131074719130993e-05,0.00046411549556069076,0.00046298434608615935,-0.00027985271299257874,0.000562502013053745,0.0005543351289816201,-0.0006233169697225094,-0.0003611930296756327,3.162544817314483e-05,-0.0016601114766672254,-0.0006560645997524261,0.000981043092906475,0.00022653883206658065,-0.0003223053354304284,0.0002880850515794009,-0.000873575743753463,-0.00044907850679010153,-0.0011459016241133213
volume_sn_voxels::v7,0.0003947560035157949,-0.0006014026002958417,8.470923057757318e-05,0.0005322722136043012,0.0006046576309017837,-0.0003507585497573018,0.0007002566708251834,0.0008139560231938958,-0.0006299514207057655,-0.00031830804073251784,0.00015116638678591698,-0.0012612902792170644,-0.0004917769110761583,0.0011362878140062094,-4.4438060285756364e-05,-0.00033197738230228424,0.0003032548411283642,-0.0012125258799642324,-0.0005182797322049737,-0.0010524644749239087
volume_sn_voxels::v8,0.0004654202493838966,-0.0005749202682636678,0.0002866994764190167,0.0005493818316608667,0.0006877204868942499,-0.0003878090647049248,0.0008386324625462294,0.0009553762502036989,-0.0007093640742823482,-0.00031112684519030154,0.00023935087665449828,-0.00046504990314133465,-0.00015240917855408043,0.000979734817519784,-0.0005261666374281049,-0.0002552630612626672,0.000433203560533002,-0.0012713901232928038,-0.000680936558637768,-0.0008811433799564838
volume_sn_voxels::v9,0.0003061805618926883,-0.0004481615324039012,-0.00028191375895403326,0.0003451162192504853,0.00011559325503185391,1.1903625818376895e-06,0.00046481407480314374,-0.00029552116757258773,-0.0005605258629657328,-0.0003195216995663941,-0.00011875801283167675,-0.0018143643392249942,-0.0005682262708432972,0.00046391921932809055,0.0002255908475490287,-0.0004077127086929977,0.0006922114407643676,0.0006938143633306026,-0.000770539918448776,-0.0016308723716065288
