Feature,Factor_0,Factor_2,Factor_4,Factor_8,Factor_10,Factor_16,Factor_18,Factor_19
volume_sn_voxels_feature_0,1.4271129369735718,0.4445517063140869,0.8000240325927734,0.3307467997074127,0.2143568992614746,0.36066409945487976,-0.17431294918060303,-0.022032490000128746
volume_sn_voxels_feature_1,1.1866124868392944,0.4819955825805664,0.664122998714447,0.4459267556667328,-0.6845455169677734,-1.0460755825042725,0.09257711470127106,-0.12300020456314087
volume_sn_voxels_feature_2,1.4482941627502441,0.11289211362600327,0.6156153678894043,0.1952974945306778,0.5918920040130615,1.0245510339736938,0.37937209010124207,-0.14816667139530182
volume_sn_voxels_feature_3,1.340716004371643,-0.025677427649497986,0.4822402894496918,0.05403069779276848,-0.4003463089466095,-0.13448069989681244,0.6505230665206909,-0.2068341225385666
volume_sn_voxels_feature_4,1.508048176765442,-0.10353635251522064,-0.08775327354669571,-0.2586855888366699,0.18020083010196686,0.275434285402298,0.9372072219848633,-0.2868688404560089
volume_sn_voxels_feature_5,1.3677116632461548,0.27051952481269836,1.040448784828186,-0.059548694640398026,-1.1146239042282104,0.5980684757232666,-0.979456901550293,-0.021659651771187782
volume_sn_voxels_feature_6,1.2628450393676758,0.34737807512283325,0.5240128040313721,-0.15939606726169586,-0.5306176543235779,0.5720812678337097,-0.848873496055603,0.5672421455383301
volume_sn_voxels_feature_7,1.4876203536987305,0.19538575410842896,1.1118441820144653,0.7043433785438538,-1.065637230873108,0.19603420794010162,-0.5014734268188477,-0.9425246715545654
volume_sn_voxels_feature_8,1.2213081121444702,-0.2042403668165207,-0.247780442237854,0.35787105560302734,0.15586161613464355,0.17516452074050903,0.4393766224384308,-1.0512117147445679
volume_sn_voxels_feature_9,1.4352389574050903,-0.26920267939567566,-0.7796299457550049,0.3820338249206543,0.4542246162891388,0.5241687893867493,0.8330911993980408,-1.1966396570205688
volume_sn_voxels_feature_10,1.2731831073760986,-0.29985666275024414,-0.8172792792320251,0.3379570245742798,-0.3444812595844269,0.9085333943367004,0.7035467624664307,-1.1322096586227417
volume_sn_voxels_feature_11,1.6799408197402954,0.38309940695762634,0.6960013508796692,0.3099585771560669,-0.7728644013404846,-0.9137601852416992,-0.5551127195358276,-0.17134417593479156
volume_sn_voxels_feature_12,1.4922043085098267,0.021158289164304733,0.3280855417251587,0.12329760193824768,-0.3428633213043213,0.08162970095872879,0.02116992510855198,0.07697578519582748
volume_sn_voxels_feature_13,1.1960450410842896,-0.2235409915447235,-0.3148948848247528,0.058820709586143494,0.1419888734817505,0.6188841462135315,0.3512871265411377,0.05999758839607239
volume_sn_voxels_feature_14,1.2939727306365967,-0.4330693781375885,-0.2246578186750412,-0.364591121673584,-0.708966076374054,-0.61766517162323,0.7364952564239502,-0.03187963366508484
volume_sn_voxels_feature_15,1.3987709283828735,0.15331794321537018,-0.7628809809684753,-0.020246127620339394,0.834481418132782,0.875529944896698,-0.7004002332687378,0.43289002776145935
volume_sn_voxels_feature_16,1.4179657697677612,-0.2171912044286728,-0.7052817344665527,-0.26621338725090027,0.587016761302948,0.40997448563575745,0.22418181598186493,0.08558496087789536
volume_sn_voxels_feature_17,1.3961811065673828,0.08371707797050476,-0.6749886870384216,-0.11495059728622437,0.34719571471214294,0.18130452930927277,-1.1213948726654053,0.5127491354942322
volume_sn_voxels_feature_18,1.432623028755188,-0.0823240578174591,-0.9132917523384094,-0.35431337356567383,0.6995489597320557,0.011081148870289326,-0.2715548872947693,0.23124130070209503
volume_sn_voxels_feature_19,1.2128496170043945,0.11815489828586578,0.034320730715990067,0.13104818761348724,-0.5890558362007141,-0.36584123969078064,-0.9683570861816406,-0.605414867401123
volume_sn_voxels_feature_20,1.3913553953170776,-0.23445269465446472,-1.0187345743179321,-0.24200399219989777,0.31578338146209717,-0.36064064502716064,-0.58749920129776,-0.06666015833616257
volume_sn_voxels_feature_21,1.1421781778335571,0.40148043632507324,0.9223098158836365,0.5786212086677551,-0.8340191841125488,-0.35275042057037354,-0.37589702010154724,-1.3817081451416016
volume_sn_voxels_feature_22,0.8450139164924622,0.15493035316467285,0.2886803448200226,0.4690115749835968,0.3043000400066376,-0.18170978128910065,0.41450071334838867,-1.4701437950134277
volume_sn_voxels_feature_23,0.6069089770317078,-0.007150139659643173,-0.161754310131073,0.5964526534080505,0.7666416168212891,0.3469872772693634,0.8023789525032043,-1.3139586448669434
volume_sn_voxels_feature_24,0.9973773956298828,0.06176218017935753,-0.5004836916923523,0.2886952757835388,-0.34080442786216736,0.9085941910743713,0.7735846042633057,-1.3386578559875488
volume_sn_voxels_feature_25,1.3406568765640259,-0.13321693241596222,0.06677497178316116,0.10065150260925293,-1.0973960161209106,-1.2152024507522583,-0.23622958362102509,-0.08596030622720718
volume_sn_voxels_feature_26,1.3497735261917114,-0.18245236575603485,-0.7794271111488342,0.015536685474216938,0.00403175363317132,-0.6683580875396729,-1.2547768354415894,0.6777397990226746
volume_sn_voxels_feature_27,-0.01734176278114319,0.8582115769386292,0.8526554703712463,0.11710689216852188,-1.0656723976135254,-0.44656527042388916,-0.18577921390533447,-1.381778597831726
volume_sn_voxels_feature_28,0.6401512622833252,0.2287040650844574,0.5747987031936646,0.18774603307247162,-0.321228951215744,-0.4632687568664551,-0.32744449377059937,-0.9358213543891907
volume_sn_voxels_feature_29,-0.6421073079109192,0.561812698841095,-0.13288424909114838,0.3428525924682617,0.22504182159900665,-0.4468251168727875,0.5363129377365112,-1.2277026176452637
volume_sn_voxels_feature_30,0.04811020568013191,-0.03907928615808487,0.135548397898674,0.38660308718681335,0.838911771774292,-0.04131808504462242,0.44573068618774414,-1.0502780675888062
volume_sn_voxels_feature_31,-0.4070293605327606,0.14245440065860748,-0.1641121655702591,0.58969646692276,0.8886231780052185,0.22580766677856445,0.8018300533294678,-1.3916702270507812
volume_sn_voxels_feature_32,-0.8050649166107178,0.21857842803001404,-0.083128921687603,0.6282625198364258,-0.7535767555236816,0.823936939239502,0.6484825015068054,-1.1747498512268066
volume_sn_voxels_feature_33,-0.19923709332942963,0.005527629517018795,0.5084714293479919,0.12740781903266907,-0.0068983458913862705,-0.528567910194397,-0.543919563293457,-1.2752498388290405
volume_sn_voxels_feature_34,1.2325297594070435,0.2073127031326294,-1.2132879495620728,-0.7948830723762512,-0.8185414671897888,-0.8855281472206116,0.774386465549469,0.7920276522636414
volume_sn_voxels_feature_35,1.3909144401550293,0.09106761962175369,-1.2767904996871948,-0.7470231652259827,-1.0850509405136108,-1.0166910886764526,0.8864685893058777,0.677987277507782
volume_sn_voxels_feature_36,1.1928614377975464,-0.44843703508377075,0.04685662314295769,-0.40009602904319763,-0.5715031623840332,0.0325135700404644,0.061829693615436554,-0.03609994426369667
