Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,3,75.0,Robust,0.7532339617609978
1,1,25.0,Unstable,0.5184959284961224
2,4,100.0,Robust,0.952687531709671
3,1,25.0,Unstable,0.4363490492105484
4,3,75.0,Robust,0.7769176699221134
5,2,50.0,Unstable,0.5867496803402901
6,2,50.0,Unstable,0.5631338842213154
7,1,25.0,Unstable,0.4414325915277004
8,3,75.0,Robust,0.7472230568528175
9,2,50.0,Unstable,0.6044389419257641
10,3,75.0,Robust,0.7791646160185337
11,2,50.0,Unstable,0.5934722423553467
12,2,50.0,Unstable,0.6234728768467903
13,2,50.0,Unstable,0.5880572162568569
14,1,25.0,Unstable,0.4121881350874901
15,1,25.0,Unstable,0.6070413663983345
16,3,75.0,Robust,0.7314714770764112
17,2,50.0,Unstable,0.6119331754744053
18,4,100.0,Robust,0.9720726907253265
19,3,75.0,Robust,0.9006386548280716
