Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
rigidity_left,0.3806716,-0.085058235,0.005399277,-0.17384145,-0.068355456,-0.54220027,-0.09673423,-0.07475649,-0.041466717,0.030737,-0.14620045,-0.28043473,-0.18321463,-0.16172695,-0.2677636,-0.022109522,-0.15562418,0.018442878,0.14952157,-0.020475307
rigidity_right,0.035468694,0.22157872,-0.04870019,-0.07254343,0.08924483,0.07663429,-0.25145456,-0.06020927,0.018520918,-0.11165845,0.08339616,-0.0399219,-0.0988261,-0.20014025,0.048715837,0.060184576,-0.25424233,0.033954702,-0.19490223,-0.07805808
tremor_rest_left,0.06196222,0.33630314,-0.2783971,-0.06560146,-0.30408704,0.16887164,0.13877007,-0.09474075,0.03874344,-0.3020951,0.15395765,-0.0995362,-0.07615096,0.11852869,0.14047627,0.21801277,0.15574251,0.090028,0.04972057,0.0027869486
tremor_rest_right,-0.1071261,0.10093305,-0.18967907,0.062186774,0.003759634,-0.07355326,-0.056545977,-0.104074344,0.3070116,-0.24629124,0.077541426,-0.20161548,0.14673091,0.21624985,-0.062804446,-0.17317688,-0.15823394,0.20806767,0.16476296,-0.21085376
tremor_postural_left,0.11007063,0.29291973,0.24828915,-0.017343823,-0.120464176,-0.23646346,0.092753775,-0.1269053,-0.10619358,0.20808376,-0.17294319,-0.07168844,-0.25350338,-0.09039308,0.015324767,0.076288864,0.18689226,-0.08556015,0.056900904,-0.31997362
tremor_postural_right,0.03264833,0.011610158,0.0481781,0.24072449,0.06530504,0.18433607,0.10617395,-0.0069393003,0.6026684,-0.14582485,0.041987758,-0.13199814,0.49264282,0.12701401,0.09011461,0.07954064,-0.12723058,-0.091625236,-0.03287026,-0.037998777
bradykinesia_speed_left,-0.21074253,-0.63058025,0.05093813,-0.048680887,-0.110795446,-0.13321848,0.049480993,-0.1327149,0.025091091,0.234913,-0.08383495,-0.05222414,-0.007066038,-0.021930503,-0.009510085,0.07070145,-0.03445586,-0.17873338,-0.07504095,-0.09377831
bradykinesia_speed_right,-0.12283562,0.13693042,-0.045134526,-0.21838295,-0.153089,0.22783834,-0.23846054,-0.13573682,0.40481037,-0.013074648,-0.07906531,0.17825814,0.028418902,-0.05575802,-0.2015864,-0.06757479,-0.023817956,0.06341765,-0.15693721,0.23033753
bradykinesia_amplitude_left,0.151894,-0.8158225,0.17736262,-0.018491557,-0.07104852,-0.08673135,0.23431596,-0.008197166,-0.118309446,-0.055408604,-0.030649323,-0.21695727,-0.3308879,-0.3248981,-0.10807888,0.16171525,0.19365957,-0.11892562,0.15116963,-0.10970742
bradykinesia_amplitude_right,-0.06369187,0.06627441,0.07897546,0.04637314,-0.19254401,0.024113657,-0.34218588,0.066567905,0.111912146,0.018925637,-0.047328316,0.26412076,-0.022529699,-0.06940708,-0.08582604,0.19507776,-0.03488282,0.10016842,0.021121357,0.03155807
bradykinesia_rhythm_left,-0.2052072,-0.09101507,0.08286017,-0.23249254,0.12091896,-0.024541575,0.10801013,0.035522755,0.028756695,0.15722258,0.045878828,0.042587604,-0.1604356,-0.36233404,0.0139378905,-0.04226636,-0.08175194,0.16446617,0.14385487,0.00708893
bradykinesia_rhythm_right,0.16743688,-0.08138446,-0.101223126,-0.9723839,0.0861604,0.2193125,-0.056717433,0.040232707,0.2723334,-0.16234572,-0.089703,0.15936065,0.12735374,-0.47614628,-0.14622636,0.014467146,-0.085895725,0.12794626,-0.47934887,0.38303724
mirrormovement_left,-0.3092717,0.88518476,0.08889787,-0.37570748,-1.4863544,0.3637437,-1.3493456,-5.745423e-05,0.9621703,0.018371502,0.030792773,0.14012383,0.09839324,0.036558274,0.059647094,0.20743899,-0.15146838,0.90650886,-0.02253421,0.21650642
mirrormovement_right,-0.28637418,-1.3283066,-0.07111737,0.39488748,-0.09403339,-1.1538184,0.9052579,0.03516414,-0.4502546,0.45175746,0.06607426,-0.8705949,0.16900508,-0.13415143,-0.1078962,-0.053158924,0.32387602,-0.48139024,0.035684336,0.06330477
