Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v0,0.00023288673,0.0005057513,-0.00018934965,8.975489e-05,-0.0004844788,0.0012800631,-5.4989363e-05,-0.0018255537,0.0005521334,0.0006745347,-0.0013967108,0.0011043379,0.0013283917,6.984949e-05,-0.00016445362,0.0011602102,-0.0010257065,-0.00035712053,-0.0015298808,-0.0007470491,0.0015111226,2.4054515e-07
volume_sn_voxels::v1,0.00029228462,0.00068805023,7.213505e-05,0.00024027402,-0.0007996107,0.0012431121,-0.000102439655,-0.0018923982,0.0005180718,0.00067394244,-0.0010030948,0.00042308655,0.0013826217,-0.000443403,-2.3451194e-05,0.0017522397,-0.00086268806,-0.001199766,-0.0019762092,-0.00086391706,0.0012122903,0.0012091195
volume_sn_voxels::v2,0.00030261299,0.00046278353,-0.0004942664,-0.00010387715,-0.0006279668,0.0010626934,0.00010544502,-0.0020923177,0.00073830836,0.00051043613,-0.002071328,0.0014811831,0.001680484,0.00032313226,-9.576844e-05,0.000726206,-0.0014287385,2.144471e-05,-0.001053017,-0.0015615768,0.00079376297,-0.0006353675
volume_sn_voxels::v3,0.00033393037,0.0005431953,-0.00035265027,2.6692187e-06,-0.0007946167,0.0010543852,4.05773e-05,-0.0019441138,0.0009331172,0.00028486174,-0.0012442571,0.0012971625,0.0018119403,-5.212305e-05,-5.626813e-05,0.0012197645,-0.0012118054,-0.0005539906,-0.0017195083,-0.0015055619,0.0011737582,-3.520888e-05
volume_sn_voxels::v4,0.00045859808,0.00072233356,9.6397725e-06,5.6860106e-05,-0.0010360919,0.00138626,0.000121411154,-0.002070862,0.0010384476,0.00019828849,-0.001061359,0.0007100072,0.0022528176,-0.0006104042,0.00019108717,0.0020565367,-0.00044354974,-0.0015145857,-0.0017240905,-0.0011422151,0.0010769779,0.0018124735
volume_sn_voxels::v5,0.000312611,0.00028925846,-0.0005310278,-0.00019477143,-0.00082674396,0.00086260936,0.0003804748,-0.0018769491,0.000713217,0.00031518948,-0.002045193,0.0014888698,0.001251288,0.00049514015,0.00021485768,0.0005425841,-0.0010212366,0.00035253665,-0.00015892852,-0.001425564,0.00045392313,-0.0010161371
volume_sn_voxels::v6,0.00037446493,0.0003782265,-0.0005097688,-0.00026128028,-0.0008772662,0.0009530644,0.00029424406,-0.0019160429,0.0007038171,-6.4256026e-05,-0.0019215095,0.0016365586,0.0017766729,0.00021622921,0.00046419483,0.0007230213,-0.00082003715,-5.76297e-05,-0.00080194674,-0.0018744427,0.0007598954,-0.00061034656
volume_sn_voxels::v8,0.000573125,0.000658354,-0.00032635868,-0.00010241355,-0.0013091236,0.0011066668,0.00022729675,-0.0019955356,0.0014438648,-0.00045683418,-0.00089165743,0.0010533357,0.0023590005,-0.00047476645,0.00045877582,0.0017560379,-0.00012823852,-0.0017682143,-0.001731203,-0.0012385922,0.00080645486,0.0017535045
volume_sn_voxels::v11,0.00037417124,0.00016592139,-0.0007370134,-0.00052663404,-0.00094343023,0.0004955018,0.00058454036,-0.001697353,0.00043366803,-4.6133202e-05,-0.0018935248,0.0010856498,0.0012479469,0.0003833684,0.0006801579,3.323721e-05,-0.0011488708,0.0005333114,0.00069926085,-0.0013912929,-0.00020596624,-0.0009069195
volume_sn_voxels::v12,0.00041885336,0.00027803148,-0.00074162235,-0.0005045984,-0.0011533701,0.0007405873,0.00069025025,-0.0018019441,0.0007343432,-0.0003522344,-0.0019658545,0.0017214161,0.0015286204,0.00028427504,0.000805666,0.00043123303,-0.0011533529,9.653015e-05,0.0001918807,-0.0015352061,1.2215971e-05,-0.0007938633
