Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v0,0.00020307711383793503,0.0005382965318858624,-0.00018031876243185252,6.295302591752261e-05,-0.0005593676469288766,0.001214099582284689,-0.00010971138544846326,-0.001807153457775712,0.00043370178900659084,0.0007315243710763752,-0.0014215970877557993,0.001071370206773281,0.0012269431026652455,0.0001136613282142207,-0.00022274446382652968,0.0009714125189930201,-0.0011064648861065507,-0.0003413697413634509,-0.0016347200144082308,-0.0006420759600587189,0.001469529583118856,4.866697963734623e-06
volume_sn_voxels::v1,0.0002746466489043087,0.0006830780184827745,8.586712647229433e-05,0.0002425195707473904,-0.0007348789367824793,0.001261228579096496,-3.9384343835990876e-05,-0.0017869279254227877,0.0004730721120722592,0.0006020672153681517,-0.0009784463327378035,0.0004044102970510721,0.0013892488786950707,-0.0004400419711600989,-3.165936141158454e-05,0.0016250840853899717,-0.0008366807596758008,-0.001180820632725954,-0.001928027137182653,-0.0008293585269711912,0.0014234652044251561,0.0015065509360283613
volume_sn_voxels::v2,0.00027663991204462945,0.0004340028390288353,-0.0004642997810151428,-8.832965249894187e-05,-0.000622955325525254,0.0010883014183491468,7.860928599257022e-05,-0.0018080729059875011,0.000704572070389986,0.0005230899550952017,-0.001898554852232337,0.0014700787141919136,0.0017300551990047097,0.000367856613593176,-3.634178574429825e-05,0.0007109505822882056,-0.0013438236201182008,4.503045784076676e-05,-0.001125623588450253,-0.0011752722784876823,0.00084078119834885,-0.000694120186381042
volume_sn_voxels::v3,0.00033102600718848407,0.000537692685611546,-0.000337475910782814,-1.8741837266134098e-05,-0.0007927261176519096,0.0011993860825896263,8.200571028282866e-05,-0.0018728527938947082,0.0009011960355564952,0.00032633330556564033,-0.001412434154190123,0.0011866807471960783,0.0018488416681066155,-2.1768511942354962e-05,4.481612268136814e-05,0.0012332908809185028,-0.0010855660075321794,-0.0006259883521124721,-0.0015873666852712631,-0.0013213198399171233,0.0010548317804932594,-2.016967482632026e-05
volume_sn_voxels::v4,0.00040954005089588463,0.0007109535508789122,-6.955358003324363e-06,8.084279397735372e-05,-0.0009680675575509667,0.001250605215318501,2.6247174901072867e-05,-0.0019678014796227217,0.0010496361646801233,0.00018211147107649595,-0.0009378393879160285,0.0007329081417992711,0.0018989653326570988,-0.0006057566497474909,0.00018638905021362007,0.001965378178283572,-0.0005378310452215374,-0.001386494841426611,-0.0018389637116342783,-0.0011021692771464586,0.001182497595436871,0.0016254250658676028
volume_sn_voxels::v5,0.00030946102924644947,0.00028426077915355563,-0.0005910092731937766,-0.0002608371141832322,-0.0007466442184522748,0.0008449510205537081,0.0003383939038030803,-0.00179701903834939,0.0007406524964608252,0.00023959821555763483,-0.0018993309931829572,0.0013413779670372605,0.0012422035215422511,0.0005295823211781681,0.00023391110880766064,0.0003951275139115751,-0.0012486358173191547,0.0003450173535384238,-0.0002002344117499888,-0.0014175723772495985,0.00040730822365731,-0.000970103545114398
volume_sn_voxels::v6,0.0003412851947359741,0.00036827375879511237,-0.0005149128846824169,-0.0002213995612692088,-0.0008676498546265066,0.0009534199489280581,0.00029995443765074015,-0.0017481737304478884,0.000845105096232146,-1.3995865629112814e-05,-0.001674669561907649,0.0015413840301334858,0.0016681925626471639,0.00023758740280754864,0.0003861922596115619,0.0007267908076755702,-0.0010974542237818241,-0.00013344039325602353,-0.0007090447470545769,-0.0016186404973268509,0.00048071893979795277,-0.0006829651538282633
volume_sn_voxels::v8,0.0005340337520465255,0.0006616971222683787,-0.00019754476670641452,-6.469726940849796e-05,-0.0012104882625862956,0.001182587118819356,0.0001836963783716783,-0.001843230682425201,0.0013495874591171741,-0.00042587530333548784,-0.0008083349093794823,0.0008621764136478305,0.0022614290937781334,-0.0004723582533188164,0.000378672790247947,0.0015067297499626875,-0.00014526450831908733,-0.0017776165623217821,-0.00158678088337183,-0.0011580046266317368,0.0008735109004192054,0.0017758547328412533
volume_sn_voxels::v11,0.00032594584627076983,0.00017892388859763741,-0.0006814036751165986,-0.0003859389398712665,-0.0009734781342558563,0.0005858541699126363,0.0005549821071326733,-0.0016824672929942608,0.0004028597613796592,-6.949529051780701e-05,-0.0019840740133076906,0.001191793940961361,0.0011575424578040838,0.00044694202370010316,0.0006920538144186139,3.471661693765782e-05,-0.0010463343933224678,0.0003690237062983215,0.000729764811694622,-0.0012200498022139072,-0.00013536284677684307,-0.000907566340174526
volume_sn_voxels::v12,0.00041360879549756646,0.0002791809674818069,-0.0007171643665060401,-0.00048205413622781634,-0.0011547715403139591,0.0007482004002667964,0.0005797618068754673,-0.0016897403402253985,0.0007115193293429911,-0.0003767531015910208,-0.0017801369540393353,0.0015580211766064167,0.0013505544047802687,0.0003250532317906618,0.0007220141706056893,0.0003481777384877205,-0.0009038670687004924,8.02266804384999e-05,0.0002162688906537369,-0.001733277691528201,-3.878958978020819e-06,-0.0007309173815883696
