Feature,Factor_0,Factor_1
volume_sn_voxels_feature_0,-0.5822116,-0.49996522
volume_sn_voxels_feature_1,-0.7784447,-0.5740664
volume_sn_voxels_feature_2,-0.3947012,-0.4397703
volume_sn_voxels_feature_3,-0.45694032,-0.56873184
volume_sn_voxels_feature_4,-0.3539951,-0.6239286
volume_sn_voxels_feature_5,0.037780505,-0.73066044
volume_sn_voxels_feature_6,0.06033099,-0.66960627
volume_sn_voxels_feature_7,0.08975695,-0.7846067
volume_sn_voxels_feature_8,-0.007878905,-0.8991622
volume_sn_voxels_feature_9,-0.0903126,-0.8160984
volume_sn_voxels_feature_10,-0.16690919,-0.69009364
volume_sn_voxels_feature_11,-0.7098944,-0.4294488
volume_sn_voxels_feature_12,-0.4519873,-0.52120626
volume_sn_voxels_feature_13,-0.35979062,-0.60211277
volume_sn_voxels_feature_14,-0.30901328,-0.5833911
volume_sn_voxels_feature_15,-0.0437627,-0.6992656
volume_sn_voxels_feature_16,-0.20527428,-0.66639864
volume_sn_voxels_feature_17,0.032918382,-0.8367238
volume_sn_voxels_feature_18,-0.019063774,-0.7706233
volume_sn_voxels_feature_19,0.16091035,-0.8773273
volume_sn_voxels_feature_20,0.07970178,-0.924258
volume_sn_voxels_feature_21,-0.047660682,-0.9590254
volume_sn_voxels_feature_22,-0.1618423,-0.8207373
volume_sn_voxels_feature_23,-0.2833493,-0.74280655
volume_sn_voxels_feature_24,-0.42266914,-0.8987338
volume_sn_voxels_feature_25,-0.55267423,-0.518554
volume_sn_voxels_feature_26,0.13555181,-1.0360401
volume_sn_voxels_feature_27,-0.39676657,-0.72898495
volume_sn_voxels_feature_28,-0.33036715,-0.8702613
volume_sn_voxels_feature_29,-0.27205777,-0.64322984
volume_sn_voxels_feature_30,-0.5907434,-0.83932734
volume_sn_voxels_feature_31,-0.5237265,-0.795228
volume_sn_voxels_feature_32,-0.4599516,-0.6281432
volume_sn_voxels_feature_33,-0.6689349,-0.95173955
volume_sn_voxels_feature_34,0.9025114,-0.9717077
volume_sn_voxels_feature_35,0.95185566,-0.86281455
volume_sn_voxels_feature_36,-0.5085988,-1.1292261
volume_sn_voxels_feature_37,0.113673486,-1.2470467
volume_sn_voxels_feature_38,-0.6006398,-0.84325856
volume_sn_voxels_feature_39,-0.532931,-0.8657042
volume_sn_voxels_feature_40,-0.29848915,-0.9999691
volume_sn_voxels_feature_41,-0.08342164,-1.0842615
volume_sn_voxels_feature_42,0.22097377,-1.0568166
volume_sn_voxels_feature_43,0.34546724,-1.1261528
volume_sn_voxels_feature_44,0.08896203,-1.2120812
volume_sn_voxels_feature_45,-0.44697654,-0.92345506
volume_sn_voxels_feature_46,1.3033048,-0.7664379
volume_sn_voxels_feature_47,-0.7243102,-0.9968013
volume_sn_voxels_feature_48,-0.3319385,-1.1715955
volume_sn_voxels_feature_49,1.1417758,-0.7073318
volume_sn_voxels_feature_50,-0.60243887,-0.86601317
volume_sn_voxels_feature_51,-0.6172553,-0.92228824
volume_sn_voxels_feature_52,-0.5581306,-1.0658504
volume_sn_voxels_feature_53,0.77782536,-1.093863
volume_sn_voxels_feature_54,-0.5511913,-1.038187
volume_sn_voxels_feature_55,-0.39939046,-0.9862136
volume_sn_voxels_feature_56,-0.1316286,-0.9726574
volume_sn_voxels_feature_57,-0.0032261345,-1.2242104
volume_sn_voxels_feature_58,0.44431874,-1.1173029
volume_sn_voxels_feature_59,0.8115126,-1.0014765
volume_sn_voxels_feature_60,-0.20863923,-0.79395974
volume_sn_voxels_feature_61,-0.051575884,-1.0811212
