Feature,Factor_0
volume_sn_voxels_feature_0,0.6406641602516174
volume_sn_voxels_feature_1,0.7941874861717224
volume_sn_voxels_feature_2,0.447345107793808
volume_sn_voxels_feature_3,0.5699213743209839
volume_sn_voxels_feature_4,0.42674049735069275
volume_sn_voxels_feature_5,-0.0353471003472805
volume_sn_voxels_feature_6,0.05238695815205574
volume_sn_voxels_feature_7,-0.00892158318310976
volume_sn_voxels_feature_8,0.11943140625953674
volume_sn_voxels_feature_9,0.2175687998533249
volume_sn_voxels_feature_10,0.36578118801116943
volume_sn_voxels_feature_11,0.7210982441902161
volume_sn_voxels_feature_12,0.4838130474090576
volume_sn_voxels_feature_13,0.3142831325531006
volume_sn_voxels_feature_14,0.4007855951786041
volume_sn_voxels_feature_15,0.165842667222023
volume_sn_voxels_feature_16,0.23083879053592682
volume_sn_voxels_feature_17,0.014450222253799438
volume_sn_voxels_feature_18,0.08898631483316422
volume_sn_voxels_feature_19,0.006389469373971224
volume_sn_voxels_feature_20,0.009959784336388111
volume_sn_voxels_feature_21,0.13478702306747437
volume_sn_voxels_feature_22,0.26613613963127136
volume_sn_voxels_feature_23,0.433979868888855
volume_sn_voxels_feature_24,0.6605374217033386
volume_sn_voxels_feature_25,0.6770949363708496
volume_sn_voxels_feature_26,0.011520522646605968
volume_sn_voxels_feature_27,0.42698922753334045
volume_sn_voxels_feature_28,0.4558223783969879
volume_sn_voxels_feature_29,0.5220531821250916
volume_sn_voxels_feature_30,0.5879123210906982
volume_sn_voxels_feature_31,0.6109194159507751
volume_sn_voxels_feature_32,0.5255558490753174
volume_sn_voxels_feature_33,0.7103896141052246
volume_sn_voxels_feature_34,-0.6917722225189209
volume_sn_voxels_feature_35,-0.795120894908905
volume_sn_voxels_feature_36,0.6300414204597473
volume_sn_voxels_feature_37,-0.05314883962273598
volume_sn_voxels_feature_38,0.6196228861808777
volume_sn_voxels_feature_39,0.6325583457946777
volume_sn_voxels_feature_40,0.49114441871643066
volume_sn_voxels_feature_41,0.22919313609600067
volume_sn_voxels_feature_42,-0.09039483219385147
volume_sn_voxels_feature_43,-0.23273561894893646
volume_sn_voxels_feature_44,0.09484901279211044
volume_sn_voxels_feature_45,0.7169854044914246
volume_sn_voxels_feature_46,-1.2436639070510864
volume_sn_voxels_feature_47,0.7882418632507324
volume_sn_voxels_feature_48,0.559922456741333
volume_sn_voxels_feature_49,-1.1260086297988892
volume_sn_voxels_feature_50,0.7313184142112732
volume_sn_voxels_feature_51,0.8421735763549805
volume_sn_voxels_feature_52,0.7672160267829895
volume_sn_voxels_feature_53,-0.694338321685791
volume_sn_voxels_feature_54,0.6779027581214905
volume_sn_voxels_feature_55,0.5679609775543213
volume_sn_voxels_feature_56,0.3161333501338959
volume_sn_voxels_feature_57,0.15509389340877533
volume_sn_voxels_feature_58,-0.259128212928772
volume_sn_voxels_feature_59,-0.7223653793334961
volume_sn_voxels_feature_60,0.34563446044921875
volume_sn_voxels_feature_61,0.21406660974025726
volume_sn_voxels_feature_62,-0.09252509474754333
volume_sn_voxels_feature_63,-0.4015471041202545
volume_sn_voxels_feature_64,-0.0923033356666565
volume_sn_voxels_feature_65,0.509876549243927
volume_sn_voxels_feature_66,0.4466945230960846
volume_sn_voxels_feature_67,-1.273746132850647
volume_sn_voxels_feature_68,0.7190642356872559
volume_sn_voxels_feature_69,0.5839459896087646
volume_sn_voxels_feature_70,0.30542436242103577
volume_sn_voxels_feature_71,-1.3577866554260254
volume_sn_voxels_feature_72,-1.3093093633651733
volume_sn_voxels_feature_73,0.7716180682182312
volume_sn_voxels_feature_74,0.8766841292381287
volume_sn_voxels_feature_75,0.5360490679740906
volume_sn_voxels_feature_76,0.32410866022109985
volume_sn_voxels_feature_77,-1.2410976886749268
volume_sn_voxels_feature_78,0.6463876962661743
volume_sn_voxels_feature_79,0.6030528545379639
volume_sn_voxels_feature_80,0.3990253508090973
volume_sn_voxels_feature_81,0.2584895193576813
volume_sn_voxels_feature_82,-0.8110978603363037
volume_sn_voxels_feature_83,0.4990394115447998
volume_sn_voxels_feature_84,0.2946825325489044
volume_sn_voxels_feature_85,0.10506641119718552
volume_sn_voxels_feature_86,-0.14948616921901703
volume_sn_voxels_feature_87,-0.4652136564254761
volume_sn_voxels_feature_88,-0.7011986374855042
volume_sn_voxels_feature_89,-0.06739262491464615
volume_sn_voxels_feature_90,-0.2272767275571823
volume_sn_voxels_feature_91,-0.46520018577575684
volume_sn_voxels_feature_92,-0.5936388969421387
volume_sn_voxels_feature_93,-1.5878314971923828
volume_sn_voxels_feature_94,-1.1889411211013794
volume_sn_voxels_feature_95,-1.6828664541244507
volume_sn_voxels_feature_96,-1.4857940673828125
volume_sn_voxels_feature_97,0.33697310090065
volume_sn_voxels_feature_98,-1.3868800401687622
volume_sn_voxels_feature_99,-1.4213294982910156
volume_sn_voxels_feature_100,-1.331626057624817
volume_sn_voxels_feature_101,0.6147112846374512
volume_sn_voxels_feature_102,0.39931511878967285
volume_sn_voxels_feature_103,0.08486252278089523
volume_sn_voxels_feature_104,-1.2348322868347168
volume_sn_voxels_feature_105,-1.3591176271438599
volume_sn_voxels_feature_106,-1.2169088125228882
volume_sn_voxels_feature_107,0.5653974413871765
volume_sn_voxels_feature_108,0.33248773217201233
volume_sn_voxels_feature_109,0.03759516775608063
volume_sn_voxels_feature_110,-1.0341368913650513
volume_sn_voxels_feature_111,0.3500664234161377
volume_sn_voxels_feature_112,0.18446247279644012
volume_sn_voxels_feature_113,-0.022936634719371796
volume_sn_voxels_feature_114,-0.46723827719688416
volume_sn_voxels_feature_115,-0.6997954845428467
volume_sn_voxels_feature_116,-0.9424636363983154
volume_sn_voxels_feature_117,0.49709436297416687
volume_sn_voxels_feature_118,-0.5776322484016418
volume_sn_voxels_feature_119,-1.0756628513336182
volume_sn_voxels_feature_120,-1.406003475189209
volume_sn_voxels_feature_121,-1.203909993171692
volume_sn_voxels_feature_122,-1.5417979955673218
volume_sn_voxels_feature_123,-1.2574889659881592
volume_sn_voxels_feature_124,-0.974941074848175
volume_sn_voxels_feature_125,-1.6580373048782349
volume_sn_voxels_feature_126,-1.338391661643982
volume_sn_voxels_feature_127,-0.9979259371757507
volume_sn_voxels_feature_128,-1.6951532363891602
volume_sn_voxels_feature_129,-1.638318419456482
volume_sn_voxels_feature_130,-1.347446322441101
volume_sn_voxels_feature_131,-0.9941695332527161
volume_sn_voxels_feature_132,-1.3560291528701782
volume_sn_voxels_feature_133,-1.458011269569397
volume_sn_voxels_feature_134,-1.5361248254776
volume_sn_voxels_feature_135,-1.2090941667556763
volume_sn_voxels_feature_136,-0.7072470784187317
volume_sn_voxels_feature_137,-1.2634860277175903
volume_sn_voxels_feature_138,-1.2841378450393677
volume_sn_voxels_feature_139,-0.9697843194007874
volume_sn_voxels_feature_140,0.36200812458992004
volume_sn_voxels_feature_141,0.14359153807163239
