Feature,Factor_0,Factor_1
rigidity_left,-0.7869203,-0.1499802
rigidity_right,0.89859843,0.15017141
tremor_rest_left,-0.07044198,-0.40916714
tremor_rest_right,0.9162984,-0.5208104
tremor_postural_left,0.6220242,0.2069246
tremor_postural_right,1.2376153,-0.22086571
bradykinesia_speed_left,-0.5000081,-0.255436
bradykinesia_speed_right,1.0109832,-0.061127555
bradykinesia_amplitude_left,-0.24232814,-0.57358754
bradykinesia_amplitude_right,0.92976755,0.12390445
bradykinesia_rhythm_left,0.22906242,-0.35428083
bradykinesia_rhythm_right,0.93413943,-0.39130118
mirrormovement_left,1.2524917,0.11920979
mirrormovement_right,0.20700234,-0.9257199
