Feature,Factor_0,Factor_1
rigidity_left,-0.1211236,0.07221367
rigidity_right,0.09102137,0.10857741
tremor_rest_left,0.026083566,-0.06718078
tremor_rest_right,-0.04483976,0.06184457
tremor_postural_left,-0.056830976,0.1523238
tremor_postural_right,0.010422907,-0.016068442
bradykinesia_speed_left,-0.07866269,0.06757519
bradykinesia_speed_right,0.10471491,0.0013891689
bradykinesia_amplitude_left,0.12191157,0.12401527
bradykinesia_amplitude_right,-0.03505264,0.1048805
bradykinesia_rhythm_left,-0.06054649,0.009444495
bradykinesia_rhythm_right,0.028588263,0.07281182
mirrormovement_left,-0.07137267,-0.034881838
mirrormovement_right,0.07545833,-0.011824696
