Feature,Factor_0,Factor_1
rigidity_left,4.6414832468144596e-05,-0.00020857284835074097
rigidity_right,-5.0329690566286445e-05,-0.00015506635827478021
tremor_rest_left,9.444141323911026e-05,-0.00029790407279506326
tremor_rest_right,0.0001752437965478748,-7.85912197898142e-05
tremor_postural_left,-0.0002081726852338761,-0.0005624184850603342
tremor_postural_right,7.273202936630696e-05,3.358389949426055e-05
bradykinesia_speed_left,0.0001708316121948883,5.864874765393324e-05
bradykinesia_speed_right,-4.750444531964604e-06,3.469356306595728e-05
bradykinesia_amplitude_left,0.00015724360127933323,-1.7676462448434904e-05
bradykinesia_amplitude_right,5.2561481425073e-06,-2.745138044701889e-05
bradykinesia_rhythm_left,5.959420377621427e-05,0.00014045482384972274
bradykinesia_rhythm_right,0.00014470869791693985,0.00013354892143979669
mirrormovement_left,-0.00030017938115634024,-0.00027648170362226665
mirrormovement_right,0.0001562793622724712,-3.6987530620535836e-05
