Feature,Factor_0,Factor_1
volume_sn_voxels::v0,0.00023958123,0.0006853115
volume_sn_voxels::v1,0.00032518932,0.0008556759
volume_sn_voxels::v2,0.00029133144,0.00059165375
volume_sn_voxels::v3,0.0003553703,0.00072319724
volume_sn_voxels::v4,0.0004607708,0.000894509
volume_sn_voxels::v5,0.00032501886,0.00046754905
volume_sn_voxels::v6,0.0003800036,0.00056144135
volume_sn_voxels::v7,0.00047789008,0.0007099591
volume_sn_voxels::v8,0.0005961287,0.0008833325
volume_sn_voxels::v9,0.00040272312,0.00023878326
volume_sn_voxels::v10,0.00037722904,0.00029076586
volume_sn_voxels::v11,0.00037312444,0.00035659046
volume_sn_voxels::v12,0.00045406676,0.00049094646
volume_sn_voxels::v13,0.00047545714,0.0005542154
volume_sn_voxels::v14,0.00050268474,0.00062295387
volume_sn_voxels::v15,0.0006341685,0.0008024234
volume_sn_voxels::v16,0.0004980179,0.00017077677
volume_sn_voxels::v17,0.0004677089,0.00015164349
volume_sn_voxels::v18,0.0005163857,0.00021613069
volume_sn_voxels::v19,0.00046670093,0.00027294515
volume_sn_voxels::v20,0.0004992583,0.00038439105
volume_sn_voxels::v21,0.0005486824,0.00051647594
volume_sn_voxels::v22,0.0005750354,0.00061617675
volume_sn_voxels::v23,0.0006190878,0.00069386396
volume_sn_voxels::v24,0.00070787047,0.00080178434
volume_sn_voxels::v25,0.0005429456,0.0002177614
volume_sn_voxels::v26,0.00055857864,0.00018299023
volume_sn_voxels::v27,0.0005937735,0.0002362317
volume_sn_voxels::v28,0.0005039284,0.00028103738
volume_sn_voxels::v29,0.0005545675,0.0004042801
volume_sn_voxels::v34,0.0006348868,0.0003160645
volume_sn_voxels::v35,0.0005978458,0.0003081334
volume_sn_voxels::v36,0.00059100316,0.00035348136
volume_sn_voxels::v37,0.000636655,0.00045441653
volume_sn_voxels::v41,0.00057527574,0.000457618
volume_sn_voxels::v42,0.00065144437,0.00048128093
volume_sn_voxels::v43,0.00067765126,0.0004952657
volume_sn_voxels::v44,0.0006630155,0.00048796172
volume_sn_voxels::v45,0.0007593904,0.0005952066
volume_sn_voxels::v46,0.00065124827,0.0005379384
volume_sn_voxels::v48,0.0004868549,0.000547643
volume_sn_voxels::v49,0.0005881882,0.00057101354
volume_sn_voxels::v50,0.0007099801,0.0006202505
volume_sn_voxels::v51,0.0007120641,0.0005611904
volume_sn_voxels::v52,0.0007108149,0.0005292185
volume_sn_voxels::v53,0.0006624851,0.0004824708
volume_sn_voxels::v54,0.0004836439,0.0005838713
volume_sn_voxels::v55,0.00061561406,0.00061162794
volume_sn_voxels::v56,0.00070326496,0.0005934586
volume_sn_voxels::v57,0.00065952784,0.0004805119
volume_sn_voxels::v59,0.00020953434,0.0006737053
volume_sn_voxels::v60,0.00023512624,0.0007274815
volume_sn_voxels::v62,0.00029194934,0.00068697945
volume_sn_voxels::v63,0.00036131358,0.00084279233
volume_sn_voxels::v64,0.00034902964,0.0008158693
volume_sn_voxels::v65,0.00036138715,0.0005345008
volume_sn_voxels::v66,0.00046165418,0.0007171469
volume_sn_voxels::v67,0.00058089296,0.0009365178
volume_sn_voxels::v68,0.00050583965,0.00087169616
volume_sn_voxels::v69,0.0004293761,0.00041488133
volume_sn_voxels::v70,0.0004400451,0.00046686546
volume_sn_voxels::v71,0.00053238904,0.0006015443
volume_sn_voxels::v72,0.0007021157,0.0008389563
volume_sn_voxels::v73,0.0006508747,0.0008489594
volume_sn_voxels::v74,0.0004929946,0.00021089394
volume_sn_voxels::v75,0.0005144658,0.000306827
volume_sn_voxels::v76,0.00050774723,0.00039217228
volume_sn_voxels::v77,0.00058246445,0.00052942155
volume_sn_voxels::v78,0.00064973347,0.000636272
volume_sn_voxels::v79,0.0006977026,0.00071420067
volume_sn_voxels::v80,0.0006016627,0.00013007785
volume_sn_voxels::v81,0.00056214276,0.00019558938
volume_sn_voxels::v82,0.0006452988,0.0003490533
volume_sn_voxels::v87,0.0006375562,0.0001545329
volume_sn_voxels::v88,0.0006909785,0.00017890292
volume_sn_voxels::v89,0.0007006779,0.00027692833
volume_sn_voxels::v95,0.0006324921,0.00042390713
volume_sn_voxels::v96,0.0006531528,0.00031665782
volume_sn_voxels::v97,0.00068391644,0.00030947206
volume_sn_voxels::v103,0.0005065386,0.000534829
volume_sn_voxels::v104,0.00063402276,0.0005465438
volume_sn_voxels::v105,0.00074816955,0.0005545065
volume_sn_voxels::v111,0.00048849924,0.0006921932
