Feature,Factor_0,Factor_1
volume_sn_voxels::v0,0.00022517670004162937,0.0006487813079729676
volume_sn_voxels::v1,0.00030858017271384597,0.0008050841279327869
volume_sn_voxels::v2,0.0002717303577810526,0.000561912776902318
volume_sn_voxels::v3,0.00033710640855133533,0.000679398886859417
volume_sn_voxels::v4,0.0004385502834338695,0.0008443040424026549
volume_sn_voxels::v5,0.00030860674451105297,0.0004411232366692275
volume_sn_voxels::v6,0.0003607971011660993,0.0005298454780131578
volume_sn_voxels::v7,0.0004533668980002403,0.0006716079078614712
volume_sn_voxels::v8,0.0005614953697659075,0.0008369067800231278
volume_sn_voxels::v9,0.00038056951598264277,0.0002222314360551536
volume_sn_voxels::v10,0.00035595137160271406,0.0002779149799607694
volume_sn_voxels::v11,0.0003534705610945821,0.0003346180310472846
volume_sn_voxels::v12,0.0004287338233552873,0.00046207013656385243
volume_sn_voxels::v13,0.0004496198089327663,0.0005301832570694387
volume_sn_voxels::v14,0.0004762893950100988,0.0005896678194403648
volume_sn_voxels::v15,0.0005998181877657771,0.0007573742186650634
volume_sn_voxels::v16,0.00047124509001150727,0.00016235248767770827
volume_sn_voxels::v17,0.0004426973464433104,0.00014258382725529373
volume_sn_voxels::v18,0.0004878577892668545,0.0002041204134002328
volume_sn_voxels::v19,0.00044112064642831683,0.00025860994355753064
volume_sn_voxels::v20,0.0004672498325817287,0.00036163616459816694
volume_sn_voxels::v21,0.0005209220689721406,0.0004886576207354665
volume_sn_voxels::v22,0.0005448736483231187,0.0005796050536446273
volume_sn_voxels::v23,0.0005840763333253562,0.0006569858524017036
volume_sn_voxels::v24,0.000670640030875802,0.0007551545277237892
volume_sn_voxels::v25,0.0005117352702654898,0.00020522516570053995
volume_sn_voxels::v26,0.0005309037514962256,0.00017110974295064807
volume_sn_voxels::v27,0.0005604482139460742,0.000223455426748842
volume_sn_voxels::v28,0.0004784756456501782,0.00026297717704437673
volume_sn_voxels::v29,0.0005243719206191599,0.00038007693365216255
volume_sn_voxels::v34,0.0005994576495140791,0.00029980039107613266
volume_sn_voxels::v35,0.0005632004467770457,0.0002913929056376219
volume_sn_voxels::v36,0.0005573089583776891,0.0003339226241223514
volume_sn_voxels::v37,0.0005975416861474514,0.00042903635767288506
volume_sn_voxels::v41,0.0005453653866425157,0.00043449419899843633
volume_sn_voxels::v42,0.0006174928275868297,0.00045623607002198696
volume_sn_voxels::v43,0.0006391872302629054,0.00046612939331680536
volume_sn_voxels::v44,0.0006228312849998474,0.000462607218651101
volume_sn_voxels::v45,0.0007206027512438595,0.0005614832625724375
volume_sn_voxels::v46,0.0006136026931926608,0.0005071203340776265
volume_sn_voxels::v48,0.0004622702253982425,0.0005198177532292902
volume_sn_voxels::v49,0.0005531576462090015,0.0005413735052570701
volume_sn_voxels::v50,0.0006698769284412265,0.000583438784815371
volume_sn_voxels::v51,0.0006710361922159791,0.0005285380757413805
volume_sn_voxels::v52,0.0006670438451692462,0.0004986180574633181
volume_sn_voxels::v53,0.0006279179360717535,0.0004531683516688645
volume_sn_voxels::v54,0.00045724952360615134,0.000546267896424979
volume_sn_voxels::v55,0.0005789860151708126,0.0005764960660599172
volume_sn_voxels::v56,0.0006625203532166779,0.0005590086802840233
volume_sn_voxels::v57,0.0006223974633030593,0.000453747168648988
volume_sn_voxels::v59,0.0001972705649677664,0.0006373655633069575
volume_sn_voxels::v60,0.0002227863296866417,0.000691766501404345
volume_sn_voxels::v62,0.00027754780603572726,0.0006502136238850653
volume_sn_voxels::v63,0.0003424298483878374,0.0007983838440850377
volume_sn_voxels::v64,0.00033034750958904624,0.0007669964106753469
volume_sn_voxels::v65,0.00033807390718720853,0.0005064749857410789
volume_sn_voxels::v66,0.0004380514146760106,0.0006795686203986406
volume_sn_voxels::v67,0.0005467698792926967,0.000885839865077287
volume_sn_voxels::v68,0.00047792145051062107,0.0008227387443184853
volume_sn_voxels::v69,0.00040747341699898243,0.0003905860357917845
volume_sn_voxels::v70,0.00041672203224152327,0.00044313224498182535
volume_sn_voxels::v71,0.0005018574884161353,0.0005687677767127752
volume_sn_voxels::v72,0.0006589839467778802,0.0007977017667144537
volume_sn_voxels::v73,0.0006159159820526838,0.0008043647976592183
volume_sn_voxels::v74,0.0004649007460102439,0.0001991601602640003
volume_sn_voxels::v75,0.0004865083610638976,0.0002903063141275197
volume_sn_voxels::v76,0.0004809880047105253,0.00036848388845101
volume_sn_voxels::v77,0.0005495959776453674,0.0004983380786143243
volume_sn_voxels::v78,0.0006115089636296034,0.0006001980509608984
volume_sn_voxels::v79,0.0006576827145181596,0.0006766560254618526
volume_sn_voxels::v80,0.0005676030414178967,0.00012361197150312364
volume_sn_voxels::v81,0.0005291834240779281,0.0001858337054727599
volume_sn_voxels::v82,0.0006106445798650384,0.00032985021243803203
volume_sn_voxels::v87,0.0006008816417306662,0.00014751116395927966
volume_sn_voxels::v88,0.0006497350987046957,0.00017057295190170407
volume_sn_voxels::v89,0.0006627694820053875,0.0002593482204247266
volume_sn_voxels::v95,0.0006019333959557116,0.0004013681900687516
volume_sn_voxels::v96,0.0006192151922732592,0.000301513122394681
volume_sn_voxels::v97,0.0006450925720855594,0.0002884449204429984
volume_sn_voxels::v103,0.0004812535480596125,0.0005047866725362837
volume_sn_voxels::v104,0.0006024390459060669,0.0005150444339960814
volume_sn_voxels::v105,0.0007039186311885715,0.0005241744802333415
volume_sn_voxels::v111,0.0004596143844537437,0.0006565329967997968
volume_sn_voxels::v112,0.0005296684103086591,0.0006551136029884219
volume_sn_voxels::v113,0.0006544251809827983,0.0007014890434220433
volume_sn_voxels::v114,0.0008236910798586905,0.0007252678042277694
volume_sn_voxels::v116,0.0008655410492792726,0.00047832541167736053
volume_sn_voxels::v117,0.0007457664469256997,0.00030616787262260914
volume_sn_voxels::v118,0.0007100132061168551,0.00020910226157866418
volume_sn_voxels::v119,0.0004245063755661249,0.0007411970873363316
volume_sn_voxels::v120,0.000520960078574717,0.0008132324437610805
volume_sn_voxels::v121,0.0006295291823334992,0.0008314517326653004
volume_sn_voxels::v122,0.0006878339336253703,0.0007283834274858236
volume_sn_voxels::v123,0.0008303720387630165,0.0006614924059249461
volume_sn_voxels::v124,0.0008219684823416173,0.0004415057192090899
volume_sn_voxels::v125,0.00039516412653028965,0.0007651916239410639
volume_sn_voxels::v126,0.0005372085724957287,0.0008284620707854629
volume_sn_voxels::v127,0.0005781266954727471,0.000668969820253551
volume_sn_voxels::v128,0.0006429350469261408,0.0005257005686871707
volume_sn_voxels::v131,0.0002561137662269175,0.0006894527468830347
volume_sn_voxels::v132,0.0003623545926529914,0.0006334714707918465
volume_sn_voxels::v133,0.0003923000767827034,0.0007913037552498281
volume_sn_voxels::v135,0.0005187047645449638,0.0005796405021101236
volume_sn_voxels::v136,0.0005541936261579394,0.0007205254514701664
volume_sn_voxels::v137,0.000505146395880729,0.0007776111015118659
volume_sn_voxels::v138,0.0006110007525421679,0.00044489893480204046
volume_sn_voxels::v139,0.0006161817582324147,0.0004894474986940622
volume_sn_voxels::v140,0.0006505089113488793,0.0005815228796564043
volume_sn_voxels::v141,0.0006662535015493631,0.0007126127602532506
volume_sn_voxels::v142,0.0005764630623161793,0.0003166674287058413
volume_sn_voxels::v145,0.0007543733809143305,0.0005429424345493317
volume_sn_voxels::v146,0.0007575316121801734,0.0005918858805671334
volume_sn_voxels::v147,0.0006754840142093599,0.00010223619028693065
volume_sn_voxels::v148,0.0006782256532460451,0.0001705105823930353
volume_sn_voxels::v155,0.0007221411215141416,0.00019051317940466106
volume_sn_voxels::v156,0.0008092430070973933,0.00027515209512785077
volume_sn_voxels::v162,0.000773048959672451,0.0002615549601614475
volume_sn_voxels::v163,0.0005869395681656897,0.0004663161817006767
volume_sn_voxels::v164,0.0006493908003903925,0.00038611440686509013
volume_sn_voxels::v165,0.0007280529825948179,0.0003742485132534057
volume_sn_voxels::v172,0.00041118773515336215,0.0006155973533168435
volume_sn_voxels::v173,0.0005468931049108505,0.0006702200626023114
volume_sn_voxels::v174,0.0006903420435264707,0.0007046456448733807
volume_sn_voxels::v175,0.0007864432991482317,0.0006848755292594433
volume_sn_voxels::v181,0.0007599928649142385,-5.479527317220345e-05
volume_sn_voxels::v182,0.00039460466359741986,0.0006595226004719734
volume_sn_voxels::v183,0.0005024432903155684,0.0008050312753766775
volume_sn_voxels::v184,0.000691640714649111,0.0009982989868149161
volume_sn_voxels::v185,0.0007830542745068669,0.0009675226174294949
volume_sn_voxels::v189,0.0008505855221301317,0.00010278023546561599
volume_sn_voxels::v190,0.0007643760181963444,-0.00010382933396613225
volume_sn_voxels::v191,0.0004540288937278092,0.0008375861216336489
volume_sn_voxels::v192,0.0006421374273486435,0.0011177107226103544
volume_sn_voxels::v193,0.0007471985300071537,0.0011252325493842363
volume_sn_voxels::v194,0.0008542620344087481,0.001012730412185192
volume_sn_voxels::v195,0.0008889243472367525,0.000722015043720603
volume_sn_voxels::v196,0.000916167045943439,0.0003720250097103417
volume_sn_voxels::v197,0.0007824118947610259,8.71170595928561e-06
volume_sn_voxels::v198,0.0007073524175211787,-0.00021709104476030916
volume_sn_voxels::v199,0.00038284019683487713,0.0007592705078423023
volume_sn_voxels::v200,0.0004998062504455447,0.0009665824472904205
volume_sn_voxels::v201,0.0005712087731808424,0.0009418115951120853
volume_sn_voxels::v202,0.0007022790377959609,0.0008857087232172489
volume_sn_voxels::v203,0.0007369383820332587,0.0006112928967922926
volume_sn_voxels::v204,0.0008363713277503848,0.0003109467797912657
volume_sn_voxels::v205,0.0006940547027625144,-5.927541496930644e-05
volume_sn_voxels::v208,0.0004788883379660547,0.0005906068254262209
volume_sn_voxels::v209,0.0005737202009186149,0.0004096446791663766
volume_sn_voxels::v210,0.0005626835627481341,0.00046952051343396306
volume_sn_voxels::v211,0.0005759065388701856,0.0006268046563491225
volume_sn_voxels::v212,0.0004891905700787902,0.0007151026511564851
volume_sn_voxels::v213,0.0006999942706897855,0.0003504934429656714
volume_sn_voxels::v214,0.0007667200989089906,0.0004635993973352015
volume_sn_voxels::v215,0.0007268721237778664,0.000609306211117655
volume_sn_voxels::v216,0.0007912997389212251,0.00028007064247503877
volume_sn_voxels::v217,0.0007761932210996747,0.0002630988310556859
volume_sn_voxels::v218,0.0007458691252395511,0.00024663604563102126
volume_sn_voxels::v219,0.0007578609511256218,0.0003316157963126898
volume_sn_voxels::v220,0.000731764012016356,0.00011107556929346174
volume_sn_voxels::v221,0.0007912468863651156,0.0001840470067691058
volume_sn_voxels::v226,0.0007754360558465123,9.909147047437727e-05
volume_sn_voxels::v227,0.0008399010403081775,0.00020055161439813673
volume_sn_voxels::v233,0.0008780043572187424,-0.00013055138697382063
volume_sn_voxels::v234,0.0007928278064355254,0.00039885088335722685
volume_sn_voxels::v241,0.0007653085049241781,-0.0003103348717559129
volume_sn_voxels::v242,0.0006076712743379176,0.0007875334122218192
volume_sn_voxels::v243,0.0007081778021529317,0.0007657245732843876
volume_sn_voxels::v244,0.0008426107233390212,0.0007513801101595163
volume_sn_voxels::v249,0.0008160629658959806,-0.00027852971106767654
volume_sn_voxels::v250,0.0007350521627813578,-0.0004163348930887878
volume_sn_voxels::v251,0.0006588402320630848,-0.00041286455234512687
volume_sn_voxels::v252,0.00042892215424217284,0.0007454401347786188
volume_sn_voxels::v253,0.0005353130982257426,0.0009076017886400223
volume_sn_voxels::v254,0.0007280405843630433,0.0011083553545176983
volume_sn_voxels::v255,0.0008447806467302144,0.0010782358003780246
volume_sn_voxels::v256,0.0008640374289825559,0.0008403169922530651
volume_sn_voxels::v257,0.0008998545235954225,0.0005394872277975082
volume_sn_voxels::v258,0.0009370875195600092,0.00018463072774466127
volume_sn_voxels::v259,0.0008780420175753534,-0.0001714957325020805
volume_sn_voxels::v260,0.0007574223564006388,-0.0004046633548568934
volume_sn_voxels::v261,0.0006467826315201819,-0.0004945233813486993
volume_sn_voxels::v262,0.0005505781155079603,0.0010499674826860428
volume_sn_voxels::v263,0.0006326687289401889,0.0011422764509916306
volume_sn_voxels::v264,0.0006491857348009944,0.0010074347956106067
volume_sn_voxels::v265,0.0007826899527572095,0.0009282815735787153
volume_sn_voxels::v266,0.0008939035469666123,0.0006526770303025842
volume_sn_voxels::v267,0.0010620055254548788,0.00024145180941559374
volume_sn_voxels::v268,0.0008341018692590296,-0.00022180248924996704
volume_sn_voxels::v269,0.000721322896424681,-0.0004911090363748372
volume_sn_voxels::v270,0.0004583000554703176,0.0008885187562555075
volume_sn_voxels::v271,0.0005524287698790431,0.0010555367916822433
volume_sn_voxels::v272,0.0006054341793060303,0.0009961415780708194
volume_sn_voxels::v273,0.0006737014045938849,0.0008405374828726053
volume_sn_voxels::v274,0.0008051247568801045,0.0006098031299188733
volume_sn_voxels::v275,0.0008592949598096311,0.0001812709670048207
volume_sn_voxels::v276,0.0007494930177927017,-0.0002630594826769084
volume_sn_voxels::v277,0.0006362787098623812,-0.0005272789858281612
volume_sn_voxels::v278,0.0004332427051849663,0.0008263089112006128
volume_sn_voxels::v279,0.0005025470163673162,0.0008130032802000642
volume_sn_voxels::v280,0.0005678976303897798,0.0006573215941898525
volume_sn_voxels::v281,0.0006888990174047649,0.00044152664486318827
volume_sn_voxels::v282,0.000728512357454747,4.8870053433347493e-05
