Feature,Factor_0,Factor_1
rigidity_left,-0.003566583,0.0059347353
rigidity_right,-0.021964641,0.0054210955
tremor_rest_left,-0.00222459,-0.016714739
tremor_rest_right,0.0044649728,0.05727245
tremor_postural_left,0.017096492,0.0027733136
tremor_postural_right,0.0066568716,0.012273251
bradykinesia_speed_left,0.00077605905,-0.008956912
bradykinesia_speed_right,0.0045504174,0.0007967821
bradykinesia_amplitude_left,0.008954797,-0.05759863
bradykinesia_amplitude_right,-0.019978961,0.039807945
bradykinesia_rhythm_left,-0.0027027049,-0.0027205588
bradykinesia_rhythm_right,0.000984494,-0.002590275
mirrormovement_left,0.003556825,-0.032805216
mirrormovement_right,-0.00020916839,-0.0026398606
