Feature,Factor_0,Factor_1
rigidity_left,0.21737490594387054,0.21737490594387054
rigidity_right,0.023951387032866478,0.023951387032866478
tremor_rest_left,0.23292779922485352,0.23292779922485352
tremor_rest_right,0.19646590948104858,0.19646590948104858
tremor_postural_left,0.1271481215953827,0.1271481215953827
tremor_postural_right,0.08377472311258316,0.08377472311258316
bradykinesia_speed_left,0.11441587656736374,0.11441587656736374
bradykinesia_speed_right,0.10604768246412277,0.10604768246412277
bradykinesia_amplitude_left,0.11380775272846222,0.11380775272846222
bradykinesia_amplitude_right,0.2858244478702545,0.22780579328536987
bradykinesia_rhythm_left,0.08820174634456635,0.08820174634456635
bradykinesia_rhythm_right,0.25504767894744873,0.21069933474063873
mirrormovement_left,0.20681191980838776,0.1755288690328598
mirrormovement_right,0.1228165328502655,0.1228165328502655
