Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
rigidity_left,0.13094957,-0.119980074,0.13422748,-0.1301601,-0.079762116,-0.023621386,0.19552737,0.16537276,-0.053432923,-0.19267222,0.07620658,-0.18417968,0.1382556,0.034166858,0.1383598,0.28380913,0.07608652,0.034182653,0.009844934,0.27530655,-0.27981395,-0.17050263,-0.40730116,0.0093008755,0.097791046,-0.19865488,0.19259593,0.28294843,0.006399502,-0.025429187
rigidity_right,-0.07075935,-0.04802519,-0.01679073,-0.19805732,-0.20965913,-0.17453963,0.22001101,0.19780019,0.12925705,0.19382544,0.17176925,-0.085151225,0.033380106,0.058776002,-0.12777622,-0.005884754,0.22931714,-0.009561119,-0.20920189,0.3709438,0.1206488,0.17709659,0.12035679,0.08374789,-0.15762788,-0.06478809,0.024983115,-0.056377754,-0.06627684,-0.013201915
tremor_rest_left,-0.12569036,-0.14467053,-0.403292,-0.042010494,0.3229075,0.05044239,0.11544653,-0.3270097,-0.0011123029,0.032124348,-0.010643266,-0.103472926,-0.012871074,0.014476169,0.17563127,0.052913826,-0.2921458,-0.38038087,0.27720743,0.17715134,-0.097913,0.030007696,-0.10720393,0.30163774,0.013978287,0.024420373,-0.09374672,0.40419602,-0.22141983,0.19208889
tremor_rest_right,-0.26005745,-0.2228774,-0.34469983,-0.078599624,0.15693285,-0.28885326,0.16119942,-0.0032459607,0.21236838,0.3033468,0.18392996,-0.0152723035,0.0054537314,-0.16977337,0.09590478,0.016078552,0.032492753,0.07841907,-0.10780327,-0.09328719,0.0775677,0.11334091,-0.26705423,0.26421896,0.005396232,-0.035543103,-0.27298364,0.23354402,0.13914272,0.13036901
tremor_postural_left,0.0013804091,-0.01430783,-0.2197863,0.09040362,0.2583477,0.014237368,0.32671678,0.041408192,0.012535704,-0.007435556,-0.05030951,-0.19825499,0.065364406,0.13653271,0.00068533124,0.12205315,-0.10527279,0.3579792,-0.16474034,-0.17880656,-0.038611125,0.0055435114,0.19896291,0.1499139,0.22441882,0.10163851,-0.069338836,-0.103100345,0.013870706,-0.176038
tremor_postural_right,0.062337928,-0.10144553,-0.5577067,0.1965385,0.4404085,-0.013157187,-0.42281154,0.3703917,-0.0050780736,0.04273374,-0.14669485,-0.16838032,0.20089388,-0.053426374,-0.063717104,-0.2963522,-0.081433274,-0.021531545,0.07946526,-0.11328515,0.25187418,-0.0259716,-0.29816622,-0.12099885,-0.008481802,-0.078326784,0.031194707,0.19671221,-0.0843061,-0.041210663
bradykinesia_speed_left,0.14315197,-0.07681402,0.2756647,-0.08205153,0.24725495,0.06879835,-0.14727497,0.07140732,-0.12656078,-0.0999997,0.13358594,0.024613304,0.10548193,0.26216874,-0.04860329,0.22320183,0.15053466,0.23065954,0.20308638,0.103319176,0.18745697,-0.30027065,-0.08539003,0.08040624,0.4607274,-0.0017874154,0.49218023,0.039461993,0.12719168,0.04722265
bradykinesia_speed_right,-0.08960575,-0.13645919,-0.20795791,0.13639332,-0.025300229,-0.12730709,0.1524038,0.35556644,0.07770476,0.032653462,-0.11483111,0.13374253,0.10949755,0.06152807,0.087,-0.09963313,-0.112672865,-0.0010686171,-0.020977544,0.3057568,-0.12432307,0.027586672,-0.0468523,-0.08241556,0.11071431,0.015112494,-0.002037917,-0.039666276,0.14114004,-0.05560196
bradykinesia_amplitude_left,-0.4089039,0.12314472,0.026224457,-0.21544175,-0.036095217,-0.022370622,-0.32786363,0.08254236,0.100847535,-0.31471708,0.0021159053,-0.14149679,0.04910083,0.10961294,0.1924943,0.11297367,0.047055002,-0.19156797,-0.2288288,0.06668684,0.2740621,-0.11088857,-0.5006828,0.35237548,0.20292373,0.0032191055,0.29769424,0.4294348,0.20561546,0.145705
bradykinesia_amplitude_right,-0.16938214,0.15809745,-0.16671148,-0.030547626,0.11073638,0.10067167,0.11729885,0.32080328,-0.036505613,-0.0139330095,0.39617956,0.17425175,0.09521571,0.087521866,0.024326758,-0.06119634,-0.013419244,-0.06798815,0.1761683,0.04658281,-0.051552355,0.059891846,-0.11643871,-0.10719598,-0.24108297,-0.1657776,0.07556271,-0.2379896,0.15151697,-0.17731526
bradykinesia_rhythm_left,0.1548729,0.17829037,0.27400127,0.02891899,-0.079112045,0.0946337,-0.013992723,-0.04838696,0.028759362,0.3400214,0.19622487,-0.14239235,0.021534039,0.13675343,-0.0156002445,-0.14111903,-0.1867747,-0.036844205,-0.09478573,-0.28776962,-0.0340079,0.24073938,-0.21840115,0.07165452,0.41287002,0.12633993,0.12386445,0.24638796,0.16905864,0.097982265
bradykinesia_rhythm_right,0.18430063,0.020091154,0.00078621914,-0.13038294,-0.21621834,-0.11503329,-0.4319471,0.3882789,-0.074889526,-0.013077289,0.56653464,0.26107714,0.09658217,-0.04092693,-0.2443552,-0.23128584,0.027772019,0.27833351,-0.13970247,-0.07943972,-0.21148176,0.009590936,0.31649467,-0.5674017,-0.21341924,0.004920394,0.3245183,-0.15241116,0.30708238,0.1468038
mirrormovement_left,-0.04364077,0.025551125,-0.27625796,-0.18195845,-0.328733,-0.15664095,0.49199146,1.4359262,0.05524826,-0.10967729,-0.04656897,1.4034734,0.2913843,0.13946624,0.12619765,-0.421073,-0.19651814,-0.29830468,-0.13067263,-0.19860898,0.1680814,0.06694151,-0.14535514,-0.41479477,-0.28807196,1.0322244,-0.45501634,0.13528197,0.27304727,0.22432075
mirrormovement_right,0.029978132,0.2730187,0.40813684,-0.33088636,0.14880422,-0.0066094366,-0.3048238,0.0729938,-0.107467845,-0.082643434,0.3865029,-0.8967138,0.18782108,0.22617081,-0.18835512,1.4044719,-0.106702976,-0.00050218427,0.14442638,0.18200153,-0.094161496,-0.054044884,-0.47786045,0.1284238,0.25615636,-0.25250924,0.3954641,-0.0070737666,0.16359743,-0.04236626
