Feature,Factor_1,Factor_6,Factor_7,Factor_8,Factor_16,Factor_28
volume_sn_voxels_feature_0,-0.32583457231521606,0.26998448371887207,-0.6085255146026611,0.49286675453186035,0.15502725541591644,-0.051186319440603256
volume_sn_voxels_feature_1,-0.3181406557559967,0.28085857629776,-0.26809102296829224,-0.13056500256061554,-0.038227926939725876,-0.24533288180828094
volume_sn_voxels_feature_2,0.2945989966392517,-0.17414577305316925,-0.47380197048187256,0.41364243626594543,0.2328377515077591,-0.057340461760759354
volume_sn_voxels_feature_3,0.4270671308040619,-0.4449752867221832,-0.0840093195438385,-0.25918248295783997,0.04919752851128578,-0.0967031791806221
volume_sn_voxels_feature_4,0.9417427182197571,-0.9570032954216003,-0.09469795972108841,-0.4114256799221039,-0.12116356939077377,-0.3452080190181732
volume_sn_voxels_feature_5,0.9035584926605225,-0.6285274624824524,-0.3849698603153229,0.5127747058868408,0.18045182526111603,0.16468030214309692
volume_sn_voxels_feature_6,0.15270893275737762,0.34258317947387695,-0.3793378174304962,0.473518043756485,-0.03070066124200821,0.28211748600006104
volume_sn_voxels_feature_7,0.18703363835811615,-0.22798387706279755,-0.03203429654240608,0.5961306691169739,-0.6795530915260315,-0.434386670589447
volume_sn_voxels_feature_8,-0.6722350120544434,0.13837411999702454,0.14320126175880432,0.11072679609060287,-1.025511622428894,0.03205954283475876
volume_sn_voxels_feature_9,-0.29930591583251953,0.06077823415398598,0.3901256024837494,-0.534641444683075,-0.9131417274475098,0.039393533021211624
volume_sn_voxels_feature_10,-0.04130792245268822,0.24318508803844452,0.24363194406032562,-1.021652340888977,-0.4356416165828705,0.23929007351398468
volume_sn_voxels_feature_11,-1.005146861076355,1.0196342468261719,0.16250860691070557,0.6571536064147949,-0.35837969183921814,0.1298055499792099
volume_sn_voxels_feature_12,-0.4253261983394623,0.4420924186706543,0.42082157731056213,0.383899450302124,0.08964789658784866,-0.04729340970516205
volume_sn_voxels_feature_13,-0.08856303244829178,-0.3075160086154938,0.4061877429485321,-0.009941373020410538,0.08749768137931824,-0.25842010974884033
volume_sn_voxels_feature_14,0.3133334219455719,-0.5671873688697815,0.8846058249473572,-0.697951078414917,0.06034424528479576,0.14811593294143677
volume_sn_voxels_feature_15,-0.22626948356628418,0.12890571355819702,-0.02902093343436718,-0.06814894080162048,0.24510176479816437,-0.05501078441739082
volume_sn_voxels_feature_16,0.2777472734451294,-0.7833166122436523,0.23090176284313202,-0.40366312861442566,0.009561993181705475,-0.33086928725242615
volume_sn_voxels_feature_17,-0.14547199010849,0.19272418320178986,-0.18047364056110382,-0.18435782194137573,0.06105564162135124,0.23240597546100616
volume_sn_voxels_feature_18,0.27422961592674255,-0.7953484654426575,0.12999285757541656,-0.7377763986587524,-0.01852898858487606,0.02368239313364029
volume_sn_voxels_feature_19,-0.48659268021583557,0.027364304289221764,0.16444218158721924,0.003463038243353367,-0.6064749360084534,-0.15601955354213715
volume_sn_voxels_feature_20,-0.49651074409484863,-0.4603409469127655,0.22819232940673828,-0.22194480895996094,-0.3065885603427887,0.03793049231171608
volume_sn_voxels_feature_21,-0.023529618978500366,-0.48850253224372864,0.08560075610876083,0.5435948371887207,-0.7458043098449707,-0.45496416091918945
volume_sn_voxels_feature_22,-0.175795316696167,-0.24532343447208405,-0.01969895511865616,0.08011777698993683,-0.5923094153404236,-0.07021021097898483
volume_sn_voxels_feature_23,-0.0022215545177459717,-0.21065165102481842,-0.2602560818195343,-0.31456702947616577,0.1391332596540451,-0.023211881518363953
volume_sn_voxels_feature_24,0.2724725306034088,0.008009175769984722,0.1799262911081314,-1.059636116027832,0.13979236781597137,0.1550530195236206
volume_sn_voxels_feature_25,-1.1599791049957275,1.0518417358398438,1.0512105226516724,0.29783743619918823,-0.49137189984321594,0.5715819597244263
