Feature,Factor_0,Factor_1,Factor_2,Factor_6,Factor_8,Factor_9,Factor_12,Factor_14,Factor_20,Factor_23,Factor_26,Factor_28,Factor_29
volume_sn_voxels_feature_0,-0.13467365503311157,0.16244371235370636,-0.2018500119447708,1.336974024772644,-0.3378433883190155,-0.4469188153743744,0.09146998077630997,0.25949811935424805,0.11024340242147446,1.1335524320602417,-0.030970649793744087,-0.7100396156311035,0.6308228969573975
volume_sn_voxels_feature_1,-0.07295570522546768,1.1044594049453735,0.27604997158050537,1.3267885446548462,0.10581499338150024,-0.11077085882425308,-0.266207754611969,0.25010213255882263,0.013063420541584492,1.2189621925354004,0.2586456537246704,0.06305480748414993,0.23283632099628448
volume_sn_voxels_feature_2,-0.21991224586963654,-1.2244564294815063,-0.8504707217216492,0.551118791103363,-0.13927564024925232,-0.244241401553154,1.0355616807937622,-0.274753212928772,-0.17544059455394745,-0.19377195835113525,-0.2150149941444397,-0.29316458106040955,0.14055071771144867
volume_sn_voxels_feature_3,-0.514690101146698,-0.9319797158241272,-0.36370649933815,0.6810348629951477,0.1623251587152481,0.16256622970104218,0.3887968063354492,-0.3633640706539154,-0.09100205451250076,0.010718760080635548,-0.06391552090644836,0.2937052547931671,0.04347863420844078
volume_sn_voxels_feature_4,-0.6343267560005188,-1.4913017749786377,-0.8497152328491211,-0.987241804599762,0.35136881470680237,0.22588126361370087,0.755922257900238,-1.0084460973739624,0.22523778676986694,-0.5151311755180359,-0.5837457180023193,0.48127129673957825,-0.13094647228717804
volume_sn_voxels_feature_5,-0.22182288765907288,-1.315234899520874,-0.9839097857475281,0.6093794703483582,-0.4567279517650604,-0.9518440365791321,0.512993335723877,-0.7140811085700989,-0.46292853355407715,-0.13944661617279053,0.01762162707746029,-0.4744624197483063,0.48653826117515564
volume_sn_voxels_feature_6,-0.38893890380859375,-1.3301879167556763,-0.40743938088417053,0.17354780435562134,-0.28518152236938477,-0.06443144381046295,0.4998399019241333,-0.4448032081127167,-0.5055223703384399,-0.3382855951786041,-0.00039764741086401045,-0.24981914460659027,0.4955873191356659
volume_sn_voxels_feature_7,-0.47015267610549927,-1.1645197868347168,-0.7167612910270691,0.7387296557426453,0.6927291750907898,-0.6958453059196472,-0.1718459129333496,-0.11809458583593369,0.09181535989046097,0.007103532552719116,0.6391540765762329,-0.8337852358818054,0.42803916335105896
volume_sn_voxels_feature_8,0.03980474919080734,-1.4128906726837158,1.1269235610961914,0.2276119440793991,1.0221806764602661,0.014452041126787663,-1.366629958152771,0.44315481185913086,0.03457533195614815,-0.08543702960014343,0.3163692057132721,-0.1877458095550537,-0.5187902450561523
volume_sn_voxels_feature_9,0.7016241550445557,-1.3242570161819458,1.117390751838684,0.17359434068202972,0.7226917743682861,0.0679820105433464,-1.249376893043518,0.29615214467048645,-0.060057222843170166,-0.46842148900032043,0.0014513656497001648,0.2297055870294571,-0.9264709949493408
