Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
volume_sn_voxels_feature_0,-0.060138576,0.10102948,0.96800673,1.4555541,-0.023488197,0.28398222,1.8189859,-0.4165722,0.3213942,0.35216415,-0.27969056,-0.08695181,-0.100121304,-0.3818666,-0.69470686,0.6719771,-0.985002,-0.24262217,0.65011257,0.67547554,-1.2556436,-1.2451638,-0.45453995,0.49760333,-0.42509258,-0.46438438,0.51216877,0.25011283,-0.37353656,-0.19229636,1.4335595,-0.2941953,-0.043614306,-0.12341477,-0.114611045,0.32579207,0.5918991,-0.7331191,-0.19629471,-0.40188637,0.6902164,-1.6709797,-0.25007328,0.46352008,-1.183054,0.9184453,-0.043208815,-0.053193733,-0.30373532,0.6963552
volume_sn_voxels_feature_1,1.2827052,0.30440354,-1.0309225,1.6558582,-0.15297262,0.29825595,1.4485594,0.18898822,0.12267854,-0.998326,-0.7000257,-0.9421745,0.11797671,0.770701,0.6180181,0.24601357,0.3481554,-1.0941563,0.51535016,-0.101185635,-1.1801664,-0.5713505,0.9891475,0.6708601,-0.91814363,0.22103472,1.1892115,0.10945095,-0.056586742,-0.61672527,1.1351087,-0.23986624,-0.6153235,0.6701752,-1.2471243,0.53835154,0.008025245,0.6285059,-0.28065842,-0.31636673,0.20379204,-1.3757278,0.32990637,0.327049,-1.203252,0.49175903,-0.9289026,0.035425622,-0.8614944,-0.25251654
volume_sn_voxels_feature_2,-0.26682645,1.0743566,0.12145447,-0.26358348,0.116196744,-0.61468875,1.6981975,-0.18486719,-0.082842365,0.74396104,1.096378,-0.5040003,0.81937575,-0.24623452,-0.14188208,0.28008917,-0.7788082,0.3400561,0.14766143,0.50939316,-0.5339685,-0.3583481,-0.52391964,-0.04015601,0.06943788,0.43504986,-0.06282951,-0.18780445,-0.44339404,-0.44259673,0.67691165,0.32712534,-0.00096468756,0.08574883,2.032659,0.32607728,-0.2402593,-0.8314916,-0.624324,-0.037549075,0.861542,0.31919017,-0.5286355,-0.038924806,0.17134245,0.832386,0.058389533,0.43555284,-0.26915747,0.5603499
volume_sn_voxels_feature_3,0.32953307,0.9168878,-0.25656527,0.7934215,0.28917465,-0.25995988,1.816316,0.6486119,-0.17741424,-0.24716045,0.05843111,-0.92102575,0.82862264,0.8354746,1.0435574,-0.0022101502,0.22303352,-0.33037415,0.061583795,-0.21535532,0.20200975,0.44711074,-0.042652596,0.06125531,0.6265241,0.32170397,0.42323336,-0.46487382,0.64522165,-0.19191612,-0.051289856,-0.31260917,-0.04924647,-0.08239918,0.95949036,0.4043519,-0.371462,0.30191305,-0.15999235,1.0615788,-0.36857972,-0.59934103,-0.23266923,-0.3539729,-0.11789904,0.6701087,-0.15267535,0.37944558,-0.010541015,-0.8628987
volume_sn_voxels_feature_4,0.93825275,0.90624905,-0.34013137,-1.259883,1.2962465,-1.2638164,1.3859575,0.23472717,-0.16581358,-0.14961483,1.1255336,0.006514921,1.2298107,0.13249278,1.4351466,0.5066281,0.7440938,-0.4940063,0.086020336,-0.904566,0.73271394,0.9921886,0.3757494,0.14773257,0.3707243,0.097886056,-0.059362877,-0.465033,0.9061628,0.13469774,-0.33303773,0.41964892,0.5734809,-0.42488155,2.5793204,-0.17088732,-0.063799165,-0.22817855,0.54852325,0.5542457,0.47995108,1.4266087,-0.83604074,0.38386932,1.4814585,0.6367109,0.2537759,0.8866164,0.4047408,-0.42607626
volume_sn_voxels_feature_5,-1.2986366,-0.6851762,-1.8317701,0.08897184,-0.028957186,-0.050462566,0.9979736,-1.1906582,-1.1425204,-0.7817222,0.87583894,-0.35557225,0.71298045,-0.23362614,-0.26884693,0.27671877,-0.56501645,-0.8944419,-0.61659974,-0.30040336,0.08825313,0.46477988,-0.42319652,0.7133653,-0.4899022,0.41362774,-0.6627766,-1.2031292,0.18159834,-1.2772868,0.26047647,-0.29102352,-1.0014452,-0.24755041,1.6528608,-0.48201948,0.005016392,1.0923226,-0.29061717,1.0688123,0.44895604,-0.13580841,-0.4733169,-1.6690947,0.40601686,-0.054346796,0.34292558,1.1484396,-0.058572687,0.24139623
volume_sn_voxels_feature_6,-1.4689597,0.6945456,-1.625804,0.09819508,0.16677435,-0.25438407,1.6086037,0.32279408,0.062633075,-0.7522769,0.8550712,-0.6297549,0.62351954,-0.39482924,-0.9728649,0.42569795,-0.3109029,-1.2310445,-0.010143016,0.040335827,0.005431596,-0.15427987,0.13819513,-0.028501764,-0.23545039,0.09120173,-0.87283653,-0.18720593,-0.614554,-0.8662962,-0.060681812,-0.6422096,-1.4873766,-0.38686657,1.1256571,0.16935252,-0.69434065,-0.10427423,-0.160901,0.8971248,0.45542672,-0.10748079,-0.30142042,-0.54062265,-0.025043795,0.1719544,-0.9730579,0.28585756,-0.3674567,0.791691
volume_sn_voxels_feature_7,-1.6787355,0.12885694,-0.7316564,1.3754416,0.45000678,-1.0954337,0.46799985,-0.8748138,-0.38838324,0.7942355,0.2784786,0.08105944,0.3980526,-0.249574,0.3988345,-0.06990788,0.5961326,-1.3912984,-0.3390963,-0.12554392,0.53457814,0.30025923,-0.3644811,0.22228938,-0.12680346,-0.23170279,-1.1255609,-0.74792755,0.7184684,-0.6927769,-0.57401764,0.6670997,-0.3082372,-0.21165827,1.5991886,0.6871866,0.48528022,0.6159368,0.15317595,1.5589501,-0.18724284,-0.003045466,-0.05442262,-1.060879,-0.43789488,-0.0036790401,0.08085808,-0.028630072,0.31549326,-0.2067548
volume_sn_voxels_feature_8,-0.43258613,0.91835624,2.0291467,1.2444435,1.1128349,-0.31682336,0.44390553,0.42435673,0.7068307,0.4333941,-0.8099878,1.0595312,-0.16196705,-0.082976,0.2795172,-0.21154404,0.25960284,0.07884484,0.102332845,-0.1993875,0.11316836,-0.043959122,-0.1849719,-0.5376054,0.066909716,0.49083394,-0.20397656,-0.047747944,-0.24940935,-0.023988297,-0.12701413,0.39803055,-0.030936314,0.43733734,1.3351476,-0.0062781954,-0.33742636,-0.83346486,0.25517172,1.2764114,-0.07174791,1.046623,0.12875772,0.8139061,0.20087917,0.5045966,-0.50743127,-0.303438,-0.1250688,0.42083433
volume_sn_voxels_feature_9,1.5795461,-0.76122624,2.4789026,1.3339957,1.4768099,0.33933908,-0.39282632,0.09263572,0.1291469,0.1329641,-0.27107885,0.9907997,0.12159286,-0.23415679,0.23100454,-0.2696608,-0.5598773,0.07661379,-0.8665098,-0.15498249,0.11780022,0.53267175,-0.3266788,-0.75713986,-0.12358975,1.0980861,0.12674022,0.2163663,-0.08326267,0.16456835,-0.55168384,0.60592675,0.24641326,0.351577,1.5066241,-0.46807763,-0.07512202,0.11621721,0.3508226,0.90514094,-0.049474776,0.6132426,0.044463605,1.2635908,0.5461461,-0.3942725,0.2432955,0.30311137,-0.6837856,0.5950871
