Feature,Factor_15
volume_sn_voxels_feature_0,-0.9654684066772461
volume_sn_voxels_feature_1,-0.02129259705543518
volume_sn_voxels_feature_2,-0.435115784406662
volume_sn_voxels_feature_3,0.4944065809249878
volume_sn_voxels_feature_4,0.5062733292579651
volume_sn_voxels_feature_5,0.015755176544189453
volume_sn_voxels_feature_6,-0.25542977452278137
volume_sn_voxels_feature_7,0.08092620223760605
volume_sn_voxels_feature_8,0.28560754656791687
volume_sn_voxels_feature_9,0.14257855713367462
volume_sn_voxels_feature_10,-0.45516669750213623
volume_sn_voxels_feature_11,-0.29278838634490967
volume_sn_voxels_feature_12,0.25976064801216125
volume_sn_voxels_feature_13,0.15207354724407196
volume_sn_voxels_feature_14,1.1148780584335327
volume_sn_voxels_feature_15,-0.48593905568122864
volume_sn_voxels_feature_16,0.3606879413127899
volume_sn_voxels_feature_17,-0.3600802719593048
volume_sn_voxels_feature_18,0.2396276593208313
volume_sn_voxels_feature_19,0.1512415111064911
volume_sn_voxels_feature_20,0.451730340719223
volume_sn_voxels_feature_21,0.21096277236938477
volume_sn_voxels_feature_22,0.31900036334991455
volume_sn_voxels_feature_23,-0.4758615493774414
volume_sn_voxels_feature_24,-0.24590712785720825
volume_sn_voxels_feature_25,0.6374043822288513
volume_sn_voxels_feature_26,0.20628589391708374
volume_sn_voxels_feature_27,-0.060773447155952454
volume_sn_voxels_feature_28,0.5166929960250854
volume_sn_voxels_feature_29,-0.2487599104642868
volume_sn_voxels_feature_30,0.0408126525580883
volume_sn_voxels_feature_31,-0.5436714291572571
volume_sn_voxels_feature_32,-1.2158374786376953
volume_sn_voxels_feature_33,0.6111430525779724
volume_sn_voxels_feature_34,-0.4354744851589203
volume_sn_voxels_feature_35,0.36222758889198303
volume_sn_voxels_feature_36,0.7566981315612793
volume_sn_voxels_feature_37,-0.26322153210639954
volume_sn_voxels_feature_38,-0.3077498972415924
volume_sn_voxels_feature_39,0.23302018642425537
volume_sn_voxels_feature_40,0.2151707410812378
volume_sn_voxels_feature_41,0.29751846194267273
volume_sn_voxels_feature_42,0.397998571395874
volume_sn_voxels_feature_43,0.022327423095703125
volume_sn_voxels_feature_44,-0.721380889415741
volume_sn_voxels_feature_45,0.2244940996170044
volume_sn_voxels_feature_46,-0.18192017078399658
volume_sn_voxels_feature_47,0.1886664628982544
volume_sn_voxels_feature_48,0.0681726485490799
volume_sn_voxels_feature_49,0.24735544621944427
volume_sn_voxels_feature_50,-0.10602875798940659
volume_sn_voxels_feature_51,0.6131579875946045
volume_sn_voxels_feature_52,0.5228037238121033
volume_sn_voxels_feature_53,-0.3168569803237915
volume_sn_voxels_feature_54,0.039025094360113144
volume_sn_voxels_feature_55,0.1118333637714386
volume_sn_voxels_feature_56,0.04465755820274353
volume_sn_voxels_feature_57,-0.01173623651266098
volume_sn_voxels_feature_58,0.06614300608634949
volume_sn_voxels_feature_59,0.38664308190345764
volume_sn_voxels_feature_60,-0.46705183386802673
volume_sn_voxels_feature_61,-0.1241297498345375
volume_sn_voxels_feature_62,0.017163872718811035
