Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
rigidity_left,0.14514576,0.17731993,0.15953317,0.07937741,0.023283472,0.25070426,0.02613039,0.12389939,0.043542396,-0.14501308,-0.061888568,0.16284901,-0.0013599364,0.15185621,-0.034659877,0.0037118613,-0.08327228,0.023508776,-0.025232581,-0.05067036,0.32259738,-0.12444973,0.2861868,0.25471705,-0.08846302,-0.014066306,0.16311291,-0.12736365,-0.21449958,-0.1578619,0.006940751,0.044349656,0.15569188,-0.054412134,-0.0038769387,-0.12818247,-0.13233778,-0.22144377,-0.07890217,-0.06740603,0.19933265,0.109454185,-0.0822821,-0.08090727,-0.15501846,-0.22820608,0.06258318,0.11907152,-0.21348962,0.09320234
rigidity_right,0.19114253,0.113324374,-0.04175999,0.15774783,-0.43837944,0.41427183,0.06547774,0.088846184,0.15216589,-0.10559053,0.1027192,0.064415276,-0.13640474,0.17216702,0.15912218,0.007551461,-0.05073893,0.13289422,-0.23085546,-0.042350724,-0.077464685,-0.054878198,-0.03969884,0.027882501,0.071797006,-0.1087653,0.114288576,0.07817758,0.06692345,-0.160912,-0.09186254,-0.07343953,-0.044989306,0.0039859605,0.22763684,-0.03881939,0.024148157,0.066404924,-0.10627018,0.07117721,-0.2294447,-0.07633405,-0.08531162,-0.18453087,0.2908515,-0.084847495,0.08461789,-0.079946496,0.103807144,0.07093342
tremor_rest_left,-0.10989204,0.070201576,-0.052605774,0.2895597,0.04442812,0.24105842,-0.08410162,-0.24166387,0.037416838,-0.09055207,0.08677547,0.11691454,0.06275465,0.008929992,0.14316604,0.08257857,-0.030017942,0.20748661,0.20663004,0.01898765,-0.16440316,0.033539206,0.1251097,0.011752245,-0.1621337,-0.15342318,-0.074555926,-0.09513727,-0.15409924,-0.023942985,0.04778744,0.2314314,-0.09253414,-0.10136291,-0.20266716,0.03942957,-0.01839022,0.0528195,-0.08974812,0.20803493,0.26427853,0.037482355,0.15808305,0.15341619,-0.23257034,-0.34476498,-0.19533329,0.22575007,0.06999912,0.12819797
tremor_rest_right,-0.015852105,0.11498789,-0.10288086,0.0486678,-0.0061430167,0.11598248,-0.042329703,0.13383521,-0.07739489,-0.090445906,0.017016502,-0.091857485,-0.049436342,0.08068882,-0.13678467,-0.038932182,0.1912355,0.22564988,-0.2043541,0.1007516,0.011913596,-0.20848672,-0.0042359876,-0.083896816,-0.0021065162,-0.022847816,-0.21097708,-0.08713658,-0.19835897,-0.15664025,0.10279192,-0.22063313,0.08049473,-0.12714763,-0.019745609,-0.1238188,0.20678565,0.12107494,0.29449198,-0.03515461,0.057340186,-0.073345594,0.18946978,-0.07523169,-0.051387586,0.063699596,-0.19549038,0.058068182,0.25732452,0.13265179
tremor_postural_left,-0.058888294,-0.0038521786,-0.104580045,-0.06216076,0.10170599,-0.22667225,-0.05109408,-0.14170036,0.040869247,-0.07519469,-0.09735553,-0.022885727,0.15415633,-0.14408371,-0.15581462,-0.26865083,0.26733276,-0.05608781,0.031449586,-0.41956455,0.07813225,-0.108959146,0.13838336,-0.090450756,-0.13743775,-0.10782406,-0.22365236,0.21164235,-0.23371421,-0.012761242,0.06711193,0.13979827,-0.030943274,0.04081674,-0.17881626,0.049890947,0.047433227,0.1820057,-0.010352922,0.12335385,0.18624295,-0.15938698,-0.14209838,-0.05785347,0.0790272,-0.05041648,-0.21673255,-0.1417581,-0.15391888,-0.0673407
tremor_postural_right,0.10369091,-0.13499597,0.011315757,-0.013952907,-0.09346046,-0.039691612,0.34648746,-0.07113371,0.035758253,0.2459269,0.13193865,0.15181917,0.12155366,-0.02707238,-0.27276322,-0.011444273,0.06437843,-0.12220994,0.01844134,0.06192251,-0.21058273,-0.19945309,0.056462847,-0.17393436,0.4335268,0.11334597,-0.027160937,0.20797017,0.14970097,0.021972438,-0.66433054,0.005673054,0.12551583,-0.42755213,-0.0018742578,-0.028693076,-0.12839915,0.2107339,-0.13788687,0.28210926,0.2818116,-0.028560486,0.16831076,0.06561533,-0.0153610855,0.04992082,-0.1928838,0.18232787,0.12301854,-0.0971822
bradykinesia_speed_left,-0.12573576,0.10333092,0.27323344,0.10370638,0.016891796,0.058699932,0.035920728,0.15124267,0.121757865,0.18741281,-0.020036038,-0.09147882,0.0870059,-0.077200934,-0.13791335,0.057658844,-0.05915523,0.112932876,0.1466026,0.16734946,-0.20570405,-0.030118532,-0.05739214,0.06717188,-0.10189934,-0.09533094,0.10245111,-0.17647882,0.07209418,-0.1939177,0.04715081,0.1774339,0.079391174,-0.29497477,-0.032520153,0.1128876,0.23226917,-0.26754227,0.10729466,-0.2663536,0.07481074,0.18647222,-0.034177184,-0.004294046,-0.13247561,-0.13984516,0.19052461,-0.04861736,-0.16706945,0.10637456
bradykinesia_speed_right,0.12680517,0.0020275183,0.17737798,-0.07270011,0.13321352,-0.036529068,-0.24044773,0.05925394,-0.02339685,0.19743596,0.09467037,-0.033589266,-0.06525886,-0.083795495,0.11290888,-0.22788034,-0.11643464,0.018368611,0.24534966,0.0089651365,-0.26134822,0.14540344,-0.3524496,-0.09466327,0.3440962,0.12811898,-0.11647577,0.040176924,-0.004597502,0.10649617,-0.079209834,-0.07451249,-0.25849563,-0.1120911,0.20024848,0.23742503,-0.18907857,0.049857877,0.1482268,-0.08086114,-0.15681684,-0.03758587,0.04790287,-0.028556103,0.2046278,-0.012166209,-0.08810802,0.12978803,0.21395776,0.0024401066
bradykinesia_amplitude_left,-0.19037643,-0.20814529,-0.15004581,-0.013812479,-0.020087188,-0.065543644,-0.14703892,-0.005598403,0.2685586,0.08573557,-0.25731558,0.087357976,0.06059026,0.041045457,0.09542958,0.0087474445,-0.011577891,0.05212123,-0.008295791,0.0811291,0.0501696,-0.2265916,0.106412135,0.29602984,-0.34267393,-0.010548982,0.113134,-0.001493134,-0.15640771,-0.090233,0.1729853,-0.090466,0.13728829,-0.16525008,0.053076282,-0.23162508,0.03625392,0.044096366,0.020659434,-0.12655741,0.3213523,0.0050308215,0.13905396,-0.18812466,-0.2790092,-0.038439464,0.10522564,0.22713833,-0.38434708,-0.045971297
bradykinesia_amplitude_right,0.31087396,-0.16688761,0.2462918,0.11194595,-0.14970638,-0.05901152,0.14979301,0.20267476,-0.029029302,-0.10567108,0.05853421,0.019216575,-0.0035302497,-0.020700485,-0.2562313,0.058453143,-0.15681769,-0.1823848,-0.19412787,0.16329323,0.060910217,0.0048973407,0.13854036,0.031586397,0.055196453,0.11753084,-0.12206131,-0.045693778,0.15534885,0.05589342,0.15003991,-0.07758974,0.0822148,-0.025699696,0.116070084,0.18816534,-0.13635297,-0.040604267,-0.29127386,-0.30843824,-0.027726926,0.08902036,-0.16362374,-0.18404533,0.032241393,-0.13619721,-0.15901196,0.019526176,0.1911369,0.05371219
