Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.58693373,-0.03527688,0.0014226624,0.026691137,0.18148962
rigidity_right,0.073433354,0.0026143563,0.0050409283,0.012766701,-0.078142166
tremor_rest_left,0.0051778764,-0.003331728,0.00075994676,-0.0012158669,0.004396554
tremor_rest_right,0.007500308,0.07984304,0.0017486486,0.047295667,-0.0505423
tremor_postural_left,0.008000874,0.15726793,-0.002804091,0.0014063778,-1.3698977
tremor_postural_right,-0.014382767,0.14217001,-0.03060809,0.0035263505,-0.033044375
bradykinesia_speed_left,0.042794723,-0.008628875,-0.0053685224,-0.014481829,0.07792452
bradykinesia_speed_right,0.006084616,3.315762,0.10834329,-0.030267127,0.057554536
bradykinesia_amplitude_left,-0.021019062,-0.04780232,0.015055214,0.045870464,-0.085067175
bradykinesia_amplitude_right,0.007213946,-0.08887514,-0.005902608,0.0029950663,-0.0053359354
bradykinesia_rhythm_left,0.20094192,-0.11260498,0.015579783,0.01433754,-0.0025588966
bradykinesia_rhythm_right,0.14614464,0.31047037,-0.3349371,0.019554188,0.0018412479
mirrormovement_left,-0.018902935,-1.6590904,-0.03530709,-2.6618833e-05,0.011215022
mirrormovement_right,0.010537753,0.0199294,0.0009054253,0.0027097263,-0.061824054
