Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v0,0.23347024619579315,0.24208402633666992,-2.3248696327209473,1.7886570692062378,2.5820837020874023
volume_sn_voxels::v1,0.24409699440002441,0.30297473073005676,1.968966007232666,1.5011311769485474,-1.1091042757034302
volume_sn_voxels::v2,0.27020618319511414,0.17560666799545288,-0.39763179421424866,0.7452342510223389,-0.19941721856594086
volume_sn_voxels::v3,0.4064691364765167,0.4229080379009247,15.052906036376953,-0.9363120198249817,-7.550940036773682
volume_sn_voxels::v4,0.42327749729156494,0.4609830379486084,2.387981653213501,0.48225536942481995,-5.85786771774292
volume_sn_voxels::v5,0.446113258600235,0.599644124507904,-53.913856506347656,2.4630348682403564,-9.895177841186523
volume_sn_voxels::v6,0.3976001739501953,0.4780859053134918,-1.020998477935791,0.46818026900291443,3.901843309402466
volume_sn_voxels::v7,0.47608932852745056,0.7603598237037659,-23.70929527282715,0.7016443610191345,4.910472869873047
volume_sn_voxels::v8,0.6576033234596252,0.6187033653259277,1.260979413986206,0.3205485939979553,-2.128213882446289
volume_sn_voxels::v9,0.40078461170196533,0.4885958731174469,26.761592864990234,2.041168689727783,-12.797271728515625
volume_sn_voxels::v10,0.35804247856140137,0.34504643082618713,3.224400043487549,1.680277705192566,-9.840341567993164
volume_sn_voxels::v11,0.33079302310943604,0.4421437978744507,-24.359745025634766,2.913341522216797,4.230976104736328
volume_sn_voxels::v12,0.3584975302219391,0.6877222657203674,-11.444852828979492,0.6753827929496765,-1.9658591747283936
volume_sn_voxels::v13,0.5175264477729797,0.49759432673454285,3.484787940979004,1.055000901222229,1.6633468866348267
volume_sn_voxels::v14,0.616811990737915,0.58273845911026,-11.621920585632324,1.9733035564422607,1.6400773525238037
volume_sn_voxels::v15,0.7819450497627258,0.7915634512901306,9.346622467041016,2.4879376888275146,-4.784831523895264
volume_sn_voxels::v16,0.5633350610733032,0.4826357364654541,-21.112049102783203,-0.5290874242782593,5.712127685546875
volume_sn_voxels::v17,0.4531964361667633,0.4771246016025543,-12.567302703857422,1.3829656839370728,3.4792063236236572
volume_sn_voxels::v18,0.5539454817771912,0.9824070930480957,-21.9437313079834,0.9344165921211243,-6.745581150054932
volume_sn_voxels::v19,0.3958366811275482,0.5866858959197998,16.767375946044922,1.611319899559021,-2.3038809299468994
volume_sn_voxels::v20,0.6076404452323914,0.5161347985267639,-3.945340156555176,0.912394642829895,2.2324764728546143
volume_sn_voxels::v21,0.541878879070282,0.5172945857048035,-6.016251564025879,1.9947221279144287,-13.176185607910156
volume_sn_voxels::v22,0.6616411805152893,0.6168078780174255,-6.142096996307373,1.209446907043457,-8.0109224319458
volume_sn_voxels::v23,0.69241863489151,0.7338139414787292,-16.23177719116211,0.17144906520843506,0.9175629019737244
volume_sn_voxels::v24,0.7093505859375,0.8261736035346985,-8.124902725219727,1.979404330253601,-0.7607865929603577
volume_sn_voxels::v25,0.6540017127990723,0.594089925289154,-6.313200950622559,-1.586356520652771,0.08119308203458786
volume_sn_voxels::v26,0.4864879548549652,0.4798263609409332,0.8721609115600586,1.8257445096969604,-2.5700716972351074
volume_sn_voxels::v27,0.7143459320068359,0.7506704330444336,-8.736589431762695,2.0459165573120117,-0.0778777226805687
volume_sn_voxels::v28,0.5540406703948975,0.5893278121948242,-27.53427505493164,1.6824427843093872,2.2046706676483154
volume_sn_voxels::v29,0.6908116340637207,0.5408404469490051,2.9838054180145264,3.500399589538574,-7.360487461090088
volume_sn_voxels::v30,0.5748975872993469,0.9243550300598145,-18.99494171142578,0.12884071469306946,3.7330148220062256
volume_sn_voxels::v31,0.7906578183174133,0.6990108489990234,1.0686464309692383,2.180722951889038,-12.009231567382812
volume_sn_voxels::v32,0.645557165145874,0.9340257048606873,-4.99717378616333,2.212972640991211,-7.070084571838379
volume_sn_voxels::v33,0.6254896521568298,1.1868890523910522,-5.600658416748047,3.94638991355896,-8.955909729003906
volume_sn_voxels::v34,0.7184445261955261,0.9673355221748352,-1.0934849977493286,0.7456261515617371,1.957265019416809
volume_sn_voxels::v35,0.5557969212532043,0.4868535101413727,-0.11973332613706589,0.5491479635238647,-6.7468743324279785
volume_sn_voxels::v36,0.4996267855167389,0.5443425178527832,6.996245861053467,2.7712109088897705,9.86793327331543
volume_sn_voxels::v37,0.7609262466430664,0.738305389881134,-32.46900177001953,0.439699649810791,-1.0815706253051758
volume_sn_voxels::v38,0.7028665542602539,0.8821308016777039,4.183093547821045,3.895237922668457,-9.93301773071289
volume_sn_voxels::v39,0.8507087826728821,1.0039891004562378,-17.453596115112305,1.0155833959579468,-12.40847396850586
volume_sn_voxels::v40,0.7337518334388733,1.0941147804260254,-26.236186981201172,-0.7255409359931946,-8.507745742797852
volume_sn_voxels::v41,0.3483678996562958,0.5012418031692505,-14.1688232421875,1.498420000076294,-7.398861885070801
volume_sn_voxels::v42,0.48731541633605957,0.6947956085205078,-8.842388153076172,0.19448363780975342,-3.44050931930542
volume_sn_voxels::v43,0.6585254073143005,0.41273269057273865,-19.646451950073242,1.7788970470428467,-8.716691017150879
volume_sn_voxels::v44,0.6839261054992676,0.607974648475647,7.059155464172363,2.358085870742798,-0.011099678464233875
volume_sn_voxels::v45,0.9650488495826721,0.8437488675117493,1.4642198085784912,0.2630171775817871,-10.73892879486084
volume_sn_voxels::v46,0.6356936097145081,0.49531659483909607,-8.961071968078613,0.4059964418411255,8.482588768005371
volume_sn_voxels::v47,0.6895656585693359,0.7426900863647461,-4.071694850921631,0.7582957744598389,-0.34238559007644653
volume_sn_voxels::v48,0.4317440688610077,0.6074253916740417,-4.756049633026123,0.24289847910404205,-8.318227767944336
volume_sn_voxels::v49,0.5742588639259338,0.54461270570755,-26.226533889770508,2.340709686279297,10.960082054138184
volume_sn_voxels::v50,0.6876116394996643,0.8762009143829346,-27.74239730834961,2.7551674842834473,-11.05458927154541
volume_sn_voxels::v51,0.7487950325012207,0.934820830821991,-11.926797866821289,0.9652870297431946,0.3920852243900299
volume_sn_voxels::v52,0.5937608480453491,1.1813887357711792,11.898741722106934,-0.6504446268081665,-0.8750495314598083
volume_sn_voxels::v53,0.7291114926338196,1.287363886833191,11.051976203918457,0.6402524709701538,-13.336806297302246
volume_sn_voxels::v54,0.48902201652526855,0.5028350949287415,-13.640287399291992,-0.5966542363166809,4.02302360534668
volume_sn_voxels::v55,0.6791248917579651,0.641376256942749,-7.595834255218506,-1.7709357738494873,-9.747474670410156
volume_sn_voxels::v56,0.7016221880912781,0.7799592018127441,0.37061452865600586,-0.3621384799480438,3.598661422729492
volume_sn_voxels::v57,0.6341325640678406,0.9238737225532532,-41.986270904541016,2.006237030029297,2.752696990966797
volume_sn_voxels::v58,0.48352494835853577,0.37719225883483887,4.519022464752197,-3.8018112182617188,1.0374486446380615
volume_sn_voxels::v59,0.16311009228229523,0.07438724488019943,-4.809519290924072,-0.4962157607078552,5.724005222320557
volume_sn_voxels::v60,0.31033650040626526,0.25158390402793884,-37.370601654052734,-0.5151694416999817,-2.0693092346191406
volume_sn_voxels::v61,0.30581462383270264,0.4273912012577057,-23.21837043762207,0.3984483480453491,-4.045988082885742
volume_sn_voxels::v62,0.27165088057518005,0.5739696025848389,10.12500286102295,0.8949817419052124,4.30883264541626
volume_sn_voxels::v63,0.328840047121048,0.5499761700630188,1.5577934980392456,2.041928768157959,-5.536937713623047
volume_sn_voxels::v64,0.37133586406707764,0.23382870852947235,10.679727554321289,0.9949734210968018,5.260481834411621
volume_sn_voxels::v65,0.4021749198436737,0.431618332862854,-2.9074788093566895,0.8713807463645935,0.5897806882858276
volume_sn_voxels::v66,0.6108191609382629,0.5656251907348633,-17.814186096191406,0.3651235103607178,6.517127513885498
volume_sn_voxels::v67,0.5521911382675171,0.6788606643676758,-36.37571716308594,1.2406885623931885,-4.627375602722168
volume_sn_voxels::v68,0.5136713981628418,0.46169009804725647,-10.48660659790039,0.970969021320343,-3.4373457431793213
volume_sn_voxels::v69,0.4776110351085663,0.5428125262260437,-0.19936782121658325,2.6114914417266846,4.585470199584961
volume_sn_voxels::v70,0.4494687616825104,0.3622516393661499,28.559816360473633,1.14899742603302,-9.388635635375977
volume_sn_voxels::v71,0.5225276350975037,0.5239812731742859,-11.604942321777344,0.5305139422416687,-3.2757699489593506
volume_sn_voxels::v72,0.7969855666160583,0.796583354473114,14.225093841552734,0.7001211643218994,-9.25716781616211
volume_sn_voxels::v73,0.6687874794006348,0.6227289438247681,-10.592841148376465,1.7563023567199707,6.360726833343506
volume_sn_voxels::v74,0.5314357876777649,0.7363150715827942,-12.327561378479004,1.4259592294692993,0.7225914001464844
volume_sn_voxels::v75,0.5023190975189209,0.4438742697238922,9.3008394241333,1.8808320760726929,-1.5843136310577393
volume_sn_voxels::v76,0.5093050599098206,0.3035072386264801,-3.6592278480529785,0.037442974746227264,-0.9895266890525818
volume_sn_voxels::v77,0.541130006313324,0.5705016851425171,-6.909560203552246,1.2331663370132446,-6.091343402862549
volume_sn_voxels::v78,0.6328082084655762,0.5892383456230164,-23.391311645507812,0.005015579052269459,-9.614136695861816
volume_sn_voxels::v79,0.6289816498756409,0.7494936585426331,-1.1416034698486328,1.8773789405822754,4.496515274047852
volume_sn_voxels::v80,0.6100441217422485,0.6687213778495789,-18.538818359375,0.30237728357315063,-2.9448204040527344
volume_sn_voxels::v81,0.4591720402240753,0.5303377509117126,-7.418322563171387,2.3475115299224854,-0.36234697699546814
volume_sn_voxels::v82,0.5773971676826477,0.717114269733429,22.154062271118164,2.579498291015625,3.5584418773651123
volume_sn_voxels::v83,0.6480305790901184,0.7989990711212158,22.817394256591797,-0.29378315806388855,-7.568935871124268
volume_sn_voxels::v84,0.8851591944694519,0.8164224028587341,4.467513084411621,2.89595627784729,-3.716621160507202
volume_sn_voxels::v85,0.7359315752983093,0.8825289607048035,-8.103310585021973,1.796688437461853,-1.5981675386428833
volume_sn_voxels::v86,0.6597651839256287,1.3756300210952759,0.5590267777442932,2.816276788711548,-15.172401428222656
volume_sn_voxels::v87,0.62972491979599,0.518485426902771,-7.785682201385498,-0.25540804862976074,0.6049646139144897
volume_sn_voxels::v88,0.7581422924995422,0.7881218791007996,1.7788724899291992,4.462653160095215,1.560130000114441
volume_sn_voxels::v89,0.7361858487129211,0.8755373358726501,44.69467544555664,1.1787710189819336,14.44248104095459
volume_sn_voxels::v90,0.7555771470069885,0.9411086440086365,4.891716003417969,2.7666101455688477,11.549032211303711
volume_sn_voxels::v91,0.7877090573310852,1.3846392631530762,-1.738279104232788,1.3877005577087402,-11.205008506774902
volume_sn_voxels::v92,1.2487796545028687,0.8108143210411072,-33.5326042175293,2.301356554031372,-7.469153881072998
volume_sn_voxels::v93,0.803076446056366,1.2436091899871826,15.224528312683105,0.9059352278709412,0.38426488637924194
volume_sn_voxels::v94,0.7475318908691406,1.0164166688919067,20.659141540527344,0.9100046157836914,-6.33083963394165
volume_sn_voxels::v95,0.6358900666236877,0.8465616703033447,-6.66233491897583,0.48466891050338745,-12.454798698425293
volume_sn_voxels::v96,0.6448559761047363,0.7333146929740906,17.826745986938477,2.398554801940918,10.596048355102539
