Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,-0.00560237979516387,-0.0416787825524807,0.010739718563854694,0.00014789482520427555,-0.0021961743477731943
rigidity_right,0.006624208763241768,0.006068261805921793,0.00974341668188572,-0.014927850104868412,-0.12817412614822388
tremor_rest_left,0.02052045613527298,0.015608060173690319,-0.007116897497326136,-0.004366468172520399,-0.0019798530265688896
tremor_rest_right,0.026853671297430992,0.012174230068922043,0.007739190477877855,-0.0003573921858333051,-0.004143913742154837
tremor_postural_left,-0.029667794704437256,-0.025608835741877556,-0.00023390805290546268,-0.0004741029697470367,0.008827295154333115
tremor_postural_right,-0.00018638519395608455,0.002539436100050807,0.016973499208688736,0.0013739601708948612,-0.002071017399430275
bradykinesia_speed_left,0.003521205158904195,0.0009157719905488193,-0.0006755586946383119,0.005348171107470989,0.001953917322680354
bradykinesia_speed_right,-0.01136709749698639,-0.0048141516745090485,-0.0054320078343153,-0.00527697429060936,-0.015781322494149208
bradykinesia_amplitude_left,0.00174732378218323,0.004618608858436346,0.004713570233434439,0.0092368358746171,0.004053608048707247
bradykinesia_amplitude_right,0.00034203226095996797,-0.00832344125956297,0.00012667664850596339,0.0024670870043337345,-0.011039700359106064
bradykinesia_rhythm_left,0.0010976515477523208,0.0020772090647369623,0.18691550195217133,-0.9853008985519409,0.0028724258299916983
bradykinesia_rhythm_right,0.003666689619421959,0.009516867808997631,-0.002691813977435231,-9.54873175942339e-05,-0.0038122402038425207
mirrormovement_left,-0.06768917292356491,-0.06828144937753677,0.0019889401737600565,-0.002454204950481653,0.0006415930693037808
mirrormovement_right,0.006698835641145706,0.005286273080855608,0.0007197196246124804,-0.00778601597994566,0.016225069761276245
