Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.02890663,0.31659722,0.09833122,-0.2530707,0.0380111
rigidity_right,0.47858793,-0.06434904,-0.07723928,0.059467185,0.13469535
tremor_rest_left,-0.21234567,-0.004623346,-0.09372689,-0.37117735,-0.107298434
tremor_rest_right,-0.03414558,-0.37692547,-0.0532738,-0.28323448,0.32108283
tremor_postural_left,-0.015877683,0.11241667,-0.367767,-0.05121915,-0.18880166
tremor_postural_right,-0.15932257,-0.45830962,-0.10821645,0.26004535,0.48211426
bradykinesia_speed_left,-0.12529114,0.17013271,0.19632047,-0.13324714,-0.002253058
bradykinesia_speed_right,0.33845907,-0.04950925,0.07681471,0.05386439,0.25113308
bradykinesia_amplitude_left,-0.21098994,0.19250847,0.2442481,-0.33884066,-0.2133687
bradykinesia_amplitude_right,0.36194998,-0.08288886,0.028405035,0.22061093,0.14684908
bradykinesia_rhythm_left,-0.041457467,0.047114696,0.25904718,-0.15474062,0.12893207
bradykinesia_rhythm_right,0.2213299,-0.1448288,0.3452076,0.110963926,0.52397555
mirrormovement_left,1.8925765,-0.097624496,0.11039619,1.0837547,1.9121957
mirrormovement_right,-0.89675975,0.79909676,0.6885323,-0.71170264,-0.23111953
