Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.17399327,0.5048795,0.12493262,-1.0438409,-0.9814703
rigidity_right,-0.7729448,-0.7315534,-0.12818095,0.80779356,0.7966112
tremor_rest_left,1.1775659,0.08111824,0.46723464,-0.7620764,0.64909196
tremor_rest_right,0.9611946,-0.6491536,0.60480815,-0.015064544,1.1933753
tremor_postural_left,0.9917574,-0.5621379,-0.8596418,-1.1522591,0.9761328
tremor_postural_right,-0.23896798,-0.94028056,0.24420664,-0.20000276,1.1545985
bradykinesia_speed_left,-0.061700802,0.57266057,0.27840877,-1.0694021,-0.7457553
bradykinesia_speed_right,-0.9818758,-0.95610684,0.05278046,0.6891915,0.81910914
bradykinesia_amplitude_left,-0.087813415,0.28390628,0.35581976,-1.1929697,-0.49105912
bradykinesia_amplitude_right,-1.0709686,-0.94006425,-0.057707474,0.68101764,0.91746736
bradykinesia_rhythm_left,-0.76340467,-0.23145998,0.1315988,-1.0818359,0.12109328
bradykinesia_rhythm_right,-1.2043992,-0.47695994,0.2909314,0.03833612,0.85932535
mirrormovement_left,-0.2687035,-1.5155193,-0.04423817,-0.089040995,0.83174235
mirrormovement_right,0.24592197,-0.41386855,-0.28430077,-1.1836636,-0.081134535
