Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.00020787651,-0.000804565,-0.0012467315,-0.0002547916,0.004021654
rigidity_right,-0.00027193123,-0.000217094,-0.00028672226,0.0012238388,-0.0058729695
tremor_rest_left,0.0003110608,-0.0011449681,0.00013713929,-0.0021835428,0.0017636972
tremor_rest_right,0.00054503843,-0.00036874908,8.231203e-05,-0.0008572661,-0.0031438016
tremor_postural_left,-2.9815432e-05,-0.0015390891,-0.00060057524,-0.0022478509,0.0041348524
tremor_postural_right,-0.00031876928,3.0605617e-05,0.001563472,2.5931979e-05,-0.0075016227
bradykinesia_speed_left,0.00020396688,0.00049206073,0.00018896292,0.0009630699,0.004782697
bradykinesia_speed_right,-0.00023984315,0.00022360923,-0.00045255403,0.002285576,-0.0049874447
bradykinesia_amplitude_left,0.0004926134,8.341402e-05,8.5397113e-07,-0.000573084,0.0056800474
bradykinesia_amplitude_right,-6.442262e-05,6.836246e-05,-0.00054002,0.0020907102,-0.0044985893
bradykinesia_rhythm_left,5.7664023e-05,-3.9626026e-05,-0.00037480955,0.0005864835,0.0024232261
bradykinesia_rhythm_right,4.7568745e-05,-5.6482393e-05,0.00038998734,0.0013017767,-0.004909467
mirrormovement_left,-0.0005856076,-0.00057239545,-0.00084318017,0.0057778647,-0.010768901
mirrormovement_right,0.0004249363,0.00045776853,0.0011028018,0.0026488728,0.009704368
