Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v0,0.0003899831499438733,-0.0008001099340617657,0.0004147913714405149,0.0007199682295322418,0.00016252599016297609
volume_sn_voxels::v1,0.000508094672113657,-0.0006608630064874887,0.0009051049710251391,0.0009127763914875686,0.0004233235667925328
volume_sn_voxels::v2,0.00042353617027401924,-0.0010403948836028576,9.409820631844923e-05,0.0007962229428812861,0.00020358127949293703
volume_sn_voxels::v3,0.0005568680353462696,-0.0010494050802662969,0.00032220419961959124,0.0008942187996581197,0.0004406093212310225
volume_sn_voxels::v4,0.0006980751059018075,-0.0009193107252940536,0.0008506919257342815,0.0009536167490296066,0.0006294365739449859
volume_sn_voxels::v5,0.0005258091841824353,-0.0009856187971308827,-0.00026798972976394,0.0007620352553203702,0.0003300786775071174
volume_sn_voxels::v6,0.0006276489584706724,-0.0011209959629923105,-0.00010159163502976298,0.0008339757332578301,0.0005339249619282782
volume_sn_voxels::v7,0.0007014539442025125,-0.0012134333373978734,0.00020290128304623067,0.0010916109895333648,0.0007985036936588585
volume_sn_voxels::v8,0.0008682995685376227,-0.0011446938151493669,0.0005918270326219499,0.001077149179764092,0.0009391469066031277
volume_sn_voxels::v9,0.0005885728169232607,-0.0008881238754838705,-0.0005457812803797424,0.0007141708629205823,0.00016906547534745187
volume_sn_voxels::v10,0.0005891058244742453,-0.0010746782645583153,-0.000602465239353478,0.0006924964254721999,0.00027248330297879875
volume_sn_voxels::v11,0.0006019507418386638,-0.0011547555914148688,-0.0005241010221652687,0.000788117409683764,0.0004260844143573195
volume_sn_voxels::v12,0.0007096863118931651,-0.0012677182676270604,-0.0004240266280248761,0.0009047994972206652,0.0006630912539549172
volume_sn_voxels::v13,0.0008519000839442015,-0.0012699977960437536,-0.00019673786300700158,0.0009605378727428615,0.0008374355384148657
volume_sn_voxels::v14,0.0008280895999632776,-0.0011728277895599604,1.5158293535932899e-05,0.0009529234375804663,0.0009761594119481742
volume_sn_voxels::v15,0.0009289386216551065,-0.001236128737218678,0.00040825805626809597,0.0010228825267404318,0.0011170977959409356
volume_sn_voxels::v16,0.00075573252979666,-0.000443612749222666,-0.0002755877503659576,0.0005941386334598064,0.0004208021273370832
volume_sn_voxels::v17,0.0007170118624344468,-0.0006768275634385645,-0.0005214842385612428,0.0005412122700363398,0.0003607825783547014
volume_sn_voxels::v18,0.0008112742216326296,-0.0010242665885016322,-0.000729115679860115,0.0006371443741954863,0.00046131250564940274
volume_sn_voxels::v19,0.0006931156385689974,-0.0011816663900390267,-0.0007666514138691127,0.000637394841760397,0.0005112470244057477
volume_sn_voxels::v20,0.0007883799262344837,-0.0013208503369241953,-0.0006953763659112155,0.0008687985246069729,0.0006771059706807137
volume_sn_voxels::v21,0.0008589618373662233,-0.0015354634961113334,-0.00041513843461871147,0.0009956759167835116,0.0009353027562610805
volume_sn_voxels::v22,0.0008791417931206524,-0.0015382342971861362,-0.00024182512424886227,0.0010398479644209146,0.0011175676481798291
volume_sn_voxels::v23,0.0010506135877221823,-0.0015459742862731218,-5.390428123064339e-05,0.001082542585209012,0.0012323640985414386
volume_sn_voxels::v24,0.0011009842855855823,-0.0013858609599992633,0.0002739267947617918,0.0010789923835545778,0.0013625285355374217
volume_sn_voxels::v25,0.0008966755121946335,-0.0005002619000151753,-0.0001263801532331854,0.00031950316042639315,0.0005819808575324714
volume_sn_voxels::v26,0.0008425221894867718,-0.0007153663318604231,-0.00047178423847071826,0.00041328713996335864,0.0005471935146488249
volume_sn_voxels::v27,0.0009635004680603743,-0.0011084596626460552,-0.000662781298160553,0.00044527300633490086,0.0006168053951114416
volume_sn_voxels::v28,0.0008066536393016577,-0.0011848562862724066,-0.0006109919049777091,0.0005337009206414223,0.0006282089161686599
volume_sn_voxels::v29,0.0009231198346242309,-0.0013758386485278606,-0.0005866555729880929,0.0007356652058660984,0.0008334799204021692
volume_sn_voxels::v30,0.001025461358949542,-0.0016552750021219254,-0.00048080019769258797,0.0009549004607833922,0.0011234418489038944
volume_sn_voxels::v31,0.0012063445756211877,-0.0017289650859311223,-0.00035955850034952164,0.0012134495191276073,0.001443594112060964
volume_sn_voxels::v32,0.0011960509000346065,-0.0018114990089088678,-7.106591510819271e-05,0.0013013865100219846,0.0015977645525708795
volume_sn_voxels::v33,0.0012859735870733857,-0.0014869938604533672,0.000212111059227027,0.0011845891131088138,0.001555497758090496
volume_sn_voxels::v34,0.0010747617343440652,-0.0009778818348422647,-0.0002152947272406891,0.00016522285295650363,0.0006843297160230577
volume_sn_voxels::v35,0.0008953881915658712,-0.0010897894389927387,-0.00038863022928126156,0.00025219100643880665,0.0006787146558053792
volume_sn_voxels::v36,0.0008778152987360954,-0.0013070744462311268,-0.0005074745859019458,0.0004135709605179727,0.0007461191271431744
volume_sn_voxels::v37,0.0009642547811381519,-0.0015367856249213219,-0.0004934009630233049,0.0007039342890493572,0.001002820092253387
volume_sn_voxels::v38,0.0010855533182621002,-0.0016571212327107787,-0.00042613170808181167,0.0009520222083665431,0.0012212771689519286
volume_sn_voxels::v39,0.0012227118713781238,-0.0018412083154544234,-0.0003275217313785106,0.0011613245587795973,0.0015474228421226144
volume_sn_voxels::v40,0.0011940166587010026,-0.0016144331311807036,-0.00019436086586210877,0.001195068471133709,0.0015557873994112015
volume_sn_voxels::v41,0.0009069605730473995,-0.0009202847722917795,0.00020852804300375283,2.168355422327295e-05,0.000735609617549926
volume_sn_voxels::v42,0.000989918364211917,-0.0012222921941429377,-4.943041494698264e-05,0.00022273501963354647,0.0008320288616232574
volume_sn_voxels::v43,0.0010342334862798452,-0.0013241104315966368,-0.00020925336866639555,0.0004867171810474247,0.000916004239115864
volume_sn_voxels::v44,0.0010236883535981178,-0.0013616655487567186,-0.00033988611539825797,0.000640283222310245,0.0009932745015248656
volume_sn_voxels::v45,0.0012141773477196693,-0.0017298676539212465,-0.00048384920228272676,0.001043597818352282,0.0013995958724990487
volume_sn_voxels::v46,0.0009866157779470086,-0.0014791280264034867,-0.00043649692088365555,0.0010785418562591076,0.0013488015392795205
volume_sn_voxels::v47,0.0010094379540532827,-0.0013195975916460156,-0.00025312075740657747,0.0011469415621832013,0.0013728155754506588
volume_sn_voxels::v48,0.0007690094644203782,-0.0007644796860404313,0.0004760712035931647,0.0001370174140902236,0.0007304192986339331
volume_sn_voxels::v49,0.0009394336957484484,-0.0009952959371730685,0.0002863266272470355,0.0003168302937410772,0.0008096196106635034
volume_sn_voxels::v50,0.0010160785168409348,-0.0012930547818541527,3.453471072134562e-05,0.0005950597696937621,0.0010020834160968661
volume_sn_voxels::v51,0.0011349812848493457,-0.0013854065909981728,-0.0001753807155182585,0.0008404742693528533,0.0011010211892426014
volume_sn_voxels::v52,0.001145862741395831,-0.001319394912570715,-0.00040282285772264004,0.001090369769372046,0.0012681205989792943
volume_sn_voxels::v53,0.0009963179472833872,-0.001213831827044487,-0.0003932517720386386,0.0012456525582820177,0.0014455378986895084
volume_sn_voxels::v54,0.000770138984080404,-0.00058104342315346,0.000423982972279191,0.0006953717092983425,0.0008827212150208652
volume_sn_voxels::v55,0.0009157952154055238,-0.0007711037760600448,0.0002468935854267329,0.000991199747659266,0.0010189141612499952
volume_sn_voxels::v56,0.0011191670782864094,-0.0009517755825072527,1.9618644728325307e-05,0.0013023070059716702,0.001246103667654097
volume_sn_voxels::v57,0.0010026078671216965,-0.0009522002073936164,-0.00022755387180950493,0.0014125923626124859,0.001303629600442946
volume_sn_voxels::v58,0.0006551022524945438,0.00010867027594940737,0.00033362925751134753,0.0022346137557178736,0.0012913107639178634
volume_sn_voxels::v59,0.0003361962444614619,-0.00017473527987021953,0.001081877271644771,0.0007245757151395082,0.000387564447009936
volume_sn_voxels::v60,0.00036647141678258777,-0.00035706808557733893,0.0009921404998749495,0.000758528767619282,0.00041119675734080374
volume_sn_voxels::v61,0.0004547469434328377,9.73497299128212e-06,0.0017345348605886102,0.000925737083889544,0.0006400488200597465
volume_sn_voxels::v62,0.0004263281589373946,-0.0009210867574438453,0.0004294790851417929,0.0008419367950409651,0.00031236978247761726
volume_sn_voxels::v63,0.0005677244625985622,-0.0007087371777743101,0.0008793908637017012,0.0009288633009418845,0.0005753316800110042
volume_sn_voxels::v64,0.0004888214753009379,-0.00027852237690240145,0.0013501655776053667,0.0007756848353892565,0.0005939085967838764
volume_sn_voxels::v65,0.000547511619515717,-0.0010620536049827933,-1.5694664398324676e-05,0.0007668976322747767,0.0003975250292569399
volume_sn_voxels::v66,0.000741994590498507,-0.0011143138399347663,0.00025921332417055964,0.0010569954756647348,0.0007238909602165222
volume_sn_voxels::v67,0.0009148708777502179,-0.0011055971262976527,0.0008258494199253619,0.00119764544069767,0.0009892849484458566
volume_sn_voxels::v68,0.0007034933660179377,-0.0006325632566586137,0.0011611341033130884,0.000791406724601984,0.000799105444457382
volume_sn_voxels::v69,0.0006983557250350714,-0.0010271572973579168,-0.000367157714208588,0.0007255916716530919,0.0004710044013336301
volume_sn_voxels::v70,0.0007082626689225435,-0.0011672121472656727,-0.00018841965356841683,0.000822520989459008,0.0007222646381705999
volume_sn_voxels::v71,0.0008698566816747189,-0.0011136503890156746,6.517926522064954e-05,0.0010059523629024625,0.0010003173956647515
volume_sn_voxels::v72,0.0010496574686840177,-0.0011626423802226782,0.00048550506471656263,0.0012251244625076652,0.0013531683944165707
volume_sn_voxels::v73,0.0009940629824995995,-0.000788841163739562,0.0009938681032508612,0.0008434303454123437,0.0010043244110420346
volume_sn_voxels::v74,0.0007674056105315685,-0.0009240169310942292,-0.0006307400763034821,0.0005231415270827711,0.00022365053882822394
volume_sn_voxels::v75,0.0008178852731361985,-0.0011674879351630807,-0.0006202568765729666,0.0007221888517960906,0.0005376693443395197
volume_sn_voxels::v76,0.0008049557218328118,-0.0011732166167348623,-0.00043808104237541556,0.0007951356237754226,0.0007187403389252722
volume_sn_voxels::v77,0.0010441011982038617,-0.0014405462425202131,-0.0003259803052060306,0.0009630278800614178,0.001092454418540001
volume_sn_voxels::v78,0.0009874977404251695,-0.0014287058729678392,-9.488812065683305e-05,0.0011390913277864456,0.0013079039053991437
