Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v0,-0.12049319,0.32954192,10.924859,5.307509,0.50994176
volume_sn_voxels::v1,-0.4791617,0.9916836,4.824536,-9.118652,0.84683955
volume_sn_voxels::v2,-0.70990825,0.49338868,11.345993,-1.934718,0.44962054
volume_sn_voxels::v3,1.2343317,1.0421398,1.8968875,1.0824585,0.7877697
volume_sn_voxels::v4,0.48368275,0.81187487,9.732916,1.7432338,0.97863036
volume_sn_voxels::v5,-3.2094195,0.12201174,11.047044,3.6412222,0.5214205
volume_sn_voxels::v6,1.1988957,0.2404633,9.16888,3.969559,0.59535134
volume_sn_voxels::v7,1.0329394,0.48328134,7.1536937,-0.34275088,0.800292
volume_sn_voxels::v8,1.8390135,0.5442128,-3.9091828,2.1939747,0.7988664
volume_sn_voxels::v9,0.3670825,-0.15528047,8.913559,-5.1170783,0.461735
volume_sn_voxels::v10,-1.1080018,0.16623864,6.3016057,0.7674102,0.53740346
volume_sn_voxels::v11,0.2671184,0.29958466,4.308974,12.151417,0.6116461
volume_sn_voxels::v12,0.7486838,0.5248117,5.552763,-17.200869,0.8438011
volume_sn_voxels::v13,1.3287427,0.32403165,14.389211,-4.905503,0.65083313
volume_sn_voxels::v14,-0.29000622,0.49370542,5.266989,9.693073,0.7377972
volume_sn_voxels::v15,2.5627124,0.7812319,6.685313,-11.343671,0.94849324
volume_sn_voxels::v16,-0.8787063,-0.24942942,-4.2559986,3.585114,0.5492566
volume_sn_voxels::v17,3.5257418,0.11202319,11.820612,-0.020060321,0.64307207
volume_sn_voxels::v18,0.10639884,-0.22661993,5.8582115,1.9585001,0.58453244
volume_sn_voxels::v19,0.7735737,-0.0039450885,5.7442575,-7.29969,0.61798227
volume_sn_voxels::v20,0.42020753,-0.23707436,15.549854,0.4987835,0.4664257
volume_sn_voxels::v21,-1.8827707,0.08042469,-6.539365,1.3240862,0.6231969
volume_sn_voxels::v22,2.1944878,0.54182,12.940577,-2.6342897,0.86643255
volume_sn_voxels::v23,-0.26499715,0.15681365,2.179612,-5.1290703,0.58602786
volume_sn_voxels::v24,-0.98567784,0.48243374,-5.090618,-6.94286,0.9535966
volume_sn_voxels::v25,-0.59550035,0.08830135,-2.0169067,-0.47919625,0.72359914
volume_sn_voxels::v26,0.81689644,-0.15602165,9.098958,-3.7242124,0.6157425
volume_sn_voxels::v27,-0.6329048,-0.31246537,-0.15881847,-3.745336,0.52255374
volume_sn_voxels::v28,-1.7300315,0.04587829,8.183089,4.8322864,0.6999187
volume_sn_voxels::v29,0.32532227,-0.005654454,8.567385,-1.7138966,0.71870166
volume_sn_voxels::v30,-4.354215,0.037900593,7.2890344,1.9996032,0.7267909
volume_sn_voxels::v31,0.6392333,0.37286475,9.415452,9.965844,0.857188
volume_sn_voxels::v32,0.9257782,0.40652257,5.504123,-4.6221967,0.8628555
volume_sn_voxels::v33,2.5390086,0.48841596,8.718685,8.604386,0.9194047
volume_sn_voxels::v34,-0.72763497,0.318847,3.7850661,2.1646092,0.69654816
volume_sn_voxels::v35,0.30646542,-0.14563474,-0.3113868,7.372785,0.63794535
