Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.09874674677848816,0.09517262876033783,0.0920194461941719,0.09874674677848816,0.17269134521484375
rigidity_right,0.05363503843545914,0.07513535767793655,0.05363524705171585,0.2309139221906662,0.03387428820133209
tremor_rest_left,0.05200418829917908,0.024047711864113808,0.013066465966403484,0.012573640793561935,0.013449489139020443
tremor_rest_right,0.06019332632422447,0.019008535891771317,0.13931527733802795,0.0023885415866971016,0.027252541854977608
tremor_postural_left,0.008909568190574646,0.05149907246232033,-0.005760961212217808,0.04954823851585388,0.12500548362731934
tremor_postural_right,0.062154531478881836,0.06885380297899246,0.25552356243133545,0.28124693036079407,0.062229447066783905
bradykinesia_speed_left,0.18729591369628906,0.014786863699555397,0.11530987173318863,-0.0031609719153493643,0.022138826549053192
bradykinesia_speed_right,0.02661585621535778,0.0012198142940178514,0.04790705814957619,0.008590932004153728,-0.0011612179223448038
bradykinesia_amplitude_left,0.002693561604246497,0.0032371734268963337,0.2941175699234009,0.002693561604246497,0.07928377389907837
bradykinesia_amplitude_right,0.04170495644211769,0.0161461029201746,0.04400712251663208,0.01726430654525757,0.03575004264712334
bradykinesia_rhythm_left,0.018362658098340034,0.06830278784036636,0.032861851155757904,0.18941043317317963,0.08589982986450195
bradykinesia_rhythm_right,0.03349912911653519,0.10845150053501129,0.10273435711860657,0.1783723682165146,0.07535218447446823
mirrormovement_left,0.012625087052583694,0.015067942440509796,-0.01814260520040989,0.03581933304667473,0.0005744582158513367
mirrormovement_right,0.15483617782592773,0.15466246008872986,0.2307170033454895,0.15362133085727692,0.1940324455499649
