Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v0,2.0846853256225586,2.0846853256225586,2.0846853256225586,2.0846853256225586,2.0846853256225586
volume_sn_voxels::v1,2.730876922607422,2.730876922607422,2.730876922607422,2.730876922607422,2.730876922607422
volume_sn_voxels::v2,2.524876356124878,2.524876356124878,2.524876356124878,2.524876356124878,2.524876356124878
volume_sn_voxels::v3,2.7130544185638428,2.7130544185638428,2.7130544185638428,2.7130544185638428,2.7130544185638428
volume_sn_voxels::v4,2.725508213043213,2.725508213043213,2.725508213043213,2.725508213043213,2.725508213043213
volume_sn_voxels::v5,2.658637046813965,2.658637046813965,2.658637046813965,2.658637046813965,2.658637046813965
volume_sn_voxels::v6,2.7268052101135254,2.7268052101135254,2.7268052101135254,2.7268052101135254,2.7268052101135254
volume_sn_voxels::v7,2.4673376083374023,2.4673376083374023,2.4673376083374023,2.4673376083374023,2.4673376083374023
volume_sn_voxels::v8,2.7314181327819824,2.7314181327819824,2.7314181327819824,2.7314181327819824,2.7314181327819824
volume_sn_voxels::v9,2.557654857635498,2.557654857635498,2.557654857635498,2.557654857635498,2.557654857635498
volume_sn_voxels::v10,2.4506096839904785,2.4506096839904785,2.4506096839904785,2.4506096839904785,2.4506096839904785
volume_sn_voxels::v11,2.2630550861358643,2.2630550861358643,2.2630550861358643,2.2630550861358643,2.2630550861358643
volume_sn_voxels::v12,2.7295753955841064,2.7295753955841064,2.7295753955841064,2.7295753955841064,2.7295753955841064
volume_sn_voxels::v13,2.726236343383789,2.726236343383789,2.726236343383789,2.726236343383789,2.726236343383789
volume_sn_voxels::v14,2.7233939170837402,2.7233939170837402,2.7233939170837402,2.7233939170837402,2.7233939170837402
volume_sn_voxels::v15,2.7292227745056152,2.7292227745056152,2.7292227745056152,2.7292227745056152,2.7292227745056152
volume_sn_voxels::v16,2.729409694671631,2.729409694671631,2.729409694671631,2.729409694671631,2.729409694671631
volume_sn_voxels::v17,2.729708194732666,2.729708194732666,2.729708194732666,2.729708194732666,2.729708194732666
volume_sn_voxels::v18,2.72952938079834,2.72952938079834,2.72952938079834,2.72952938079834,2.72952938079834
volume_sn_voxels::v19,2.728727340698242,2.728727340698242,2.728727340698242,2.728727340698242,2.728727340698242
volume_sn_voxels::v20,2.7308530807495117,2.7308530807495117,2.7308530807495117,2.7308530807495117,2.7308530807495117
volume_sn_voxels::v21,2.712982654571533,2.712982654571533,2.712982654571533,2.712982654571533,2.712982654571533
volume_sn_voxels::v22,2.609755277633667,2.609755277633667,2.609755277633667,2.609755277633667,2.609755277633667
volume_sn_voxels::v23,2.7184712886810303,2.7184712886810303,2.7184712886810303,2.7184712886810303,2.7184712886810303
volume_sn_voxels::v24,2.7265567779541016,2.7265567779541016,2.7265567779541016,2.7265567779541016,2.7265567779541016
volume_sn_voxels::v25,2.7205984592437744,2.7205984592437744,2.7205984592437744,2.7205984592437744,2.7205984592437744
volume_sn_voxels::v26,2.6940252780914307,2.6940252780914307,2.6940252780914307,2.6940252780914307,2.6940252780914307
volume_sn_voxels::v27,2.6247339248657227,2.6247339248657227,2.6247339248657227,2.6247339248657227,2.6247339248657227
volume_sn_voxels::v28,2.7304205894470215,2.7304205894470215,2.7304205894470215,2.7304205894470215,2.7304205894470215
volume_sn_voxels::v29,2.721107244491577,2.721107244491577,2.721107244491577,2.721107244491577,2.721107244491577
volume_sn_voxels::v30,2.731192111968994,2.731192111968994,2.731192111968994,2.731192111968994,2.731192111968994
volume_sn_voxels::v31,2.675765037536621,2.675765037536621,2.675765037536621,2.675765037536621,2.675765037536621
volume_sn_voxels::v32,2.6208155155181885,2.6208155155181885,2.6208155155181885,2.6208155155181885,2.6208155155181885
volume_sn_voxels::v33,2.7108380794525146,2.7108380794525146,2.7108380794525146,2.7108380794525146,2.7108380794525146
volume_sn_voxels::v34,2.7306032180786133,2.7306032180786133,2.7306032180786133,2.7306032180786133,2.7306032180786133
volume_sn_voxels::v35,2.582047939300537,2.582047939300537,2.582047939300537,2.582047939300537,2.582047939300537
volume_sn_voxels::v36,2.730229377746582,2.730229377746582,2.730229377746582,2.730229377746582,2.730229377746582
volume_sn_voxels::v37,2.6486246585845947,2.6486246585845947,2.6486246585845947,2.6486246585845947,2.6486246585845947
volume_sn_voxels::v38,2.7310566902160645,2.7310566902160645,2.7310566902160645,2.7310566902160645,2.7310566902160645
volume_sn_voxels::v39,2.7312817573547363,2.7312817573547363,2.7312817573547363,2.7312817573547363,2.7312817573547363
volume_sn_voxels::v40,2.4838123321533203,2.4838123321533203,2.4838123321533203,2.4838123321533203,2.4838123321533203
volume_sn_voxels::v41,2.723391532897949,2.723391532897949,2.723391532897949,2.723391532897949,2.723391532897949
volume_sn_voxels::v42,2.730943202972412,2.730943202972412,2.730943202972412,2.730943202972412,2.730943202972412
volume_sn_voxels::v43,2.6318984031677246,2.6318984031677246,2.6318984031677246,2.6318984031677246,2.6318984031677246
volume_sn_voxels::v44,2.7005770206451416,2.7005770206451416,2.7005770206451416,2.7005770206451416,2.7005770206451416
volume_sn_voxels::v45,2.6856422424316406,2.6856422424316406,2.6856422424316406,2.6856422424316406,2.6856422424316406
volume_sn_voxels::v46,2.6669094562530518,2.6669094562530518,2.6669094562530518,2.6669094562530518,2.6669094562530518
volume_sn_voxels::v47,2.6503491401672363,2.6503491401672363,2.6503491401672363,2.6503491401672363,2.6503491401672363
volume_sn_voxels::v48,2.7228341102600098,2.7228341102600098,2.7228341102600098,2.7228341102600098,2.7228341102600098
volume_sn_voxels::v49,2.6915273666381836,2.6915273666381836,2.6915273666381836,2.6915273666381836,2.6915273666381836
volume_sn_voxels::v50,2.4694948196411133,2.4694948196411133,2.4694948196411133,2.4694948196411133,2.4694948196411133
volume_sn_voxels::v51,2.719761610031128,2.719761610031128,2.719761610031128,2.719761610031128,2.719761610031128
volume_sn_voxels::v52,2.658923625946045,2.658923625946045,2.658923625946045,2.658923625946045,2.658923625946045
volume_sn_voxels::v53,2.710286855697632,2.710286855697632,2.710286855697632,2.710286855697632,2.710286855697632
volume_sn_voxels::v54,2.716085195541382,2.716085195541382,2.716085195541382,2.716085195541382,2.716085195541382
volume_sn_voxels::v55,2.7254903316497803,2.7254903316497803,2.7254903316497803,2.7254903316497803,2.7254903316497803
volume_sn_voxels::v56,2.727811813354492,2.727811813354492,2.727811813354492,2.727811813354492,2.727811813354492
volume_sn_voxels::v57,2.7293171882629395,2.7293171882629395,2.7293171882629395,2.7293171882629395,2.7293171882629395
volume_sn_voxels::v58,2.730856418609619,2.730856418609619,2.730856418609619,2.730856418609619,2.730856418609619
volume_sn_voxels::v59,2.5029296875,2.5029296875,2.5029296875,2.5029296875,2.5029296875
volume_sn_voxels::v60,2.7309353351593018,2.7309353351593018,2.7309353351593018,2.7309353351593018,2.7309353351593018
volume_sn_voxels::v61,2.7204132080078125,2.7204132080078125,2.7204132080078125,2.7204132080078125,2.7204132080078125
volume_sn_voxels::v62,2.1559438705444336,2.1559438705444336,2.1559438705444336,2.1559438705444336,2.1559438705444336
volume_sn_voxels::v63,2.5869393348693848,2.5869393348693848,2.5869393348693848,2.5869393348693848,2.5869393348693848
volume_sn_voxels::v64,2.728156089782715,2.728156089782715,2.728156089782715,2.728156089782715,2.728156089782715
volume_sn_voxels::v65,2.48591685295105,2.48591685295105,2.48591685295105,2.48591685295105,2.48591685295105
volume_sn_voxels::v66,2.69266939163208,2.69266939163208,2.69266939163208,2.69266939163208,2.69266939163208
volume_sn_voxels::v67,2.7311644554138184,2.7311644554138184,2.7311644554138184,2.7311644554138184,2.7311644554138184
volume_sn_voxels::v68,2.7266483306884766,2.7266483306884766,2.7266483306884766,2.7266483306884766,2.7266483306884766
volume_sn_voxels::v69,2.679011583328247,2.679011583328247,2.679011583328247,2.679011583328247,2.679011583328247
volume_sn_voxels::v70,2.7254514694213867,2.7254514694213867,2.7254514694213867,2.7254514694213867,2.7254514694213867
volume_sn_voxels::v71,2.7300710678100586,2.7300710678100586,2.7300710678100586,2.7300710678100586,2.7300710678100586
volume_sn_voxels::v72,2.723494529724121,2.723494529724121,2.723494529724121,2.723494529724121,2.723494529724121
volume_sn_voxels::v73,2.7143125534057617,2.7143125534057617,2.7143125534057617,2.7143125534057617,2.7143125534057617
volume_sn_voxels::v74,2.3411898612976074,2.3411898612976074,2.3411898612976074,2.3411898612976074,2.3411898612976074
volume_sn_voxels::v75,2.5575263500213623,2.5575263500213623,2.5575263500213623,2.5575263500213623,2.5575263500213623
volume_sn_voxels::v76,2.467517614364624,2.467517614364624,2.467517614364624,2.467517614364624,2.467517614364624
volume_sn_voxels::v77,2.7314021587371826,2.7314021587371826,2.7314021587371826,2.7314021587371826,2.7314021587371826
volume_sn_voxels::v78,2.5814733505249023,2.5814733505249023,2.5814733505249023,2.5814733505249023,2.5814733505249023
volume_sn_voxels::v79,2.727926254272461,2.727926254272461,2.727926254272461,2.727926254272461,2.727926254272461
volume_sn_voxels::v80,2.47674560546875,2.47674560546875,2.47674560546875,2.47674560546875,2.47674560546875
volume_sn_voxels::v81,2.4624392986297607,2.4624392986297607,2.4624392986297607,2.4624392986297607,2.4624392986297607
volume_sn_voxels::v82,2.729658603668213,2.729658603668213,2.729658603668213,2.729658603668213,2.729658603668213
volume_sn_voxels::v83,2.725188732147217,2.725188732147217,2.725188732147217,2.725188732147217,2.725188732147217
volume_sn_voxels::v84,2.681384563446045,2.681384563446045,2.681384563446045,2.681384563446045,2.681384563446045
volume_sn_voxels::v85,2.7092368602752686,2.7092368602752686,2.7092368602752686,2.7092368602752686,2.7092368602752686
volume_sn_voxels::v86,2.727802276611328,2.727802276611328,2.727802276611328,2.727802276611328,2.727802276611328
volume_sn_voxels::v87,2.627163887023926,2.627163887023926,2.627163887023926,2.627163887023926,2.627163887023926
volume_sn_voxels::v88,2.727311611175537,2.727311611175537,2.727311611175537,2.727311611175537,2.727311611175537
volume_sn_voxels::v89,2.654592990875244,2.654592990875244,2.654592990875244,2.654592990875244,2.654592990875244
volume_sn_voxels::v90,2.504162311553955,2.504162311553955,2.504162311553955,2.504162311553955,2.504162311553955
volume_sn_voxels::v91,2.7139787673950195,2.7139787673950195,2.7139787673950195,2.7139787673950195,2.7139787673950195
volume_sn_voxels::v92,2.7222414016723633,2.7222414016723633,2.7222414016723633,2.7222414016723633,2.7222414016723633
volume_sn_voxels::v93,2.6024765968322754,2.6024765968322754,2.6024765968322754,2.6024765968322754,2.6024765968322754
volume_sn_voxels::v94,2.725861072540283,2.725861072540283,2.725861072540283,2.725861072540283,2.725861072540283
volume_sn_voxels::v95,2.7278316020965576,2.7278316020965576,2.7278316020965576,2.7278316020965576,2.7278316020965576
volume_sn_voxels::v96,2.729827404022217,2.729827404022217,2.729827404022217,2.729827404022217,2.729827404022217
volume_sn_voxels::v97,2.7293782234191895,2.7293782234191895,2.7293782234191895,2.7293782234191895,2.7293782234191895
volume_sn_voxels::v98,2.6846060752868652,2.6846060752868652,2.6846060752868652,2.6846060752868652,2.6846060752868652
volume_sn_voxels::v99,2.724943161010742,2.724943161010742,2.724943161010742,2.724943161010742,2.724943161010742
volume_sn_voxels::v100,2.7154150009155273,2.7154150009155273,2.7154150009155273,2.7154150009155273,2.7154150009155273
volume_sn_voxels::v101,2.660797119140625,2.660797119140625,2.660797119140625,2.660797119140625,2.660797119140625
volume_sn_voxels::v102,2.7264888286590576,2.7264888286590576,2.7264888286590576,2.7264888286590576,2.7264888286590576
volume_sn_voxels::v103,2.7282164096832275,2.7282164096832275,2.7282164096832275,2.7282164096832275,2.7282164096832275
volume_sn_voxels::v104,2.717703342437744,2.717703342437744,2.717703342437744,2.717703342437744,2.717703342437744
volume_sn_voxels::v105,2.67250394821167,2.67250394821167,2.67250394821167,2.67250394821167,2.67250394821167
volume_sn_voxels::v106,2.722564220428467,2.722564220428467,2.722564220428467,2.722564220428467,2.722564220428467
