Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
rigidity_left,0.0010433325078338385,-0.004380630794912577,0.0012377967359498143,0.0008010821184143424,0.0009711658931337297
rigidity_right,0.03351513296365738,0.03308062255382538,0.03351021185517311,0.03315872699022293,0.03049815446138382
tremor_rest_left,0.0006339884712360799,0.00047606194857507944,-0.013471991755068302,0.0007900489727035165,0.0006423708982765675
tremor_rest_right,0.003230285132303834,0.00424372311681509,0.003310225438326597,0.002333665732294321,0.00327569548971951
tremor_postural_left,0.0029399890918284655,0.0007016765885055065,0.0030807345174252987,0.003634742461144924,0.003661743365228176
tremor_postural_right,0.09520085901021957,0.09520085901021957,0.09520085901021957,0.09520085901021957,0.09520085901021957
bradykinesia_speed_left,0.004485718440264463,0.005108934361487627,0.005049325060099363,0.004826633725315332,0.00480708759278059
bradykinesia_speed_right,0.048268161714076996,0.048268161714076996,0.048268161714076996,0.048268161714076996,0.048268161714076996
bradykinesia_amplitude_left,0.003215526230633259,0.0034562686923891306,0.003544637467712164,0.004654254764318466,0.0034120690543204546
bradykinesia_amplitude_right,0.007850169204175472,0.007292610593140125,0.008072196505963802,0.007993528619408607,0.00809255987405777
bradykinesia_rhythm_left,0.025310643017292023,0.025310643017292023,0.025310643017292023,0.025310643017292023,0.025310643017292023
bradykinesia_rhythm_right,0.014297096990048885,0.014297096990048885,0.014297096990048885,0.014297096990048885,0.014297096990048885
mirrormovement_left,0.09813486039638519,0.09813486039638519,0.09813486039638519,0.09813486039638519,0.09813486039638519
mirrormovement_right,0.018957383930683136,0.01875469461083412,0.018930673599243164,0.018725818023085594,0.017713554203510284
