Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
volume_sn_voxels::v0,0.00023828747,-0.00043418244,0.00022360051,0.0003718676,0.000137438,-0.00034004368,0.0010088055,0.0003386322
volume_sn_voxels::v1,0.0003012062,-0.00046432606,0.00047990293,0.00051430054,0.00033502554,-0.0001780408,0.0013670939,0.00034732066
volume_sn_voxels::v2,0.00031936757,-0.00051428215,0.00010871895,0.00026455478,0.00024639745,-0.0002754744,0.0008945495,0.0008021618
volume_sn_voxels::v3,0.00034434957,-0.00050256535,0.00025549272,0.000368868,0.0003029496,-0.00037914334,0.0008531763,0.00048194343
volume_sn_voxels::v4,0.00034902667,-0.0006264437,0.0004658439,0.0006237296,0.00048392668,-0.00038960823,0.0012970567,0.00086740014
volume_sn_voxels::v5,0.00024626133,-0.00060016016,-0.00017421752,0.00039304784,0.00029775352,-0.00025490494,0.0005783207,0.0005258093
volume_sn_voxels::v6,0.00032482465,-0.00070118887,-4.2634347e-05,0.00044268512,0.00051305996,-0.00021842138,0.0006644124,0.000550041
volume_sn_voxels::v7,0.00044964362,-0.0006719069,-1.3387293e-05,0.0005584505,0.0006231153,-0.0003079953,0.0007137269,0.00089895213
volume_sn_voxels::v8,0.00046020013,-0.00063540624,0.00033743904,0.0006244897,0.0007268231,-0.00044358626,0.00076471065,0.0011399973
volume_sn_voxels::v9,0.00029142757,-0.00046018843,-0.00041397786,0.00041782326,0.00023538651,7.563766e-05,0.0004432156,-0.0003027637
volume_sn_voxels::v10,0.0003010006,-0.0005867918,-0.00036485674,0.0003121588,0.00024499596,-0.00012825576,0.0006340482,-0.00025455738
volume_sn_voxels::v11,0.00034324537,-0.00057604245,-0.00022764652,0.0004243174,0.00028026573,-0.00023840897,0.00044875516,8.89958e-05
volume_sn_voxels::v12,0.00039734627,-0.00068957516,-0.00018622815,0.0005013013,0.0006377387,-0.000416191,0.00036639938,0.00034996594
volume_sn_voxels::v13,0.0003823581,-0.00073026086,-0.000112774505,0.0005655792,0.00075984804,-0.00028710708,0.00037931366,0.00051256997
volume_sn_voxels::v14,0.00038751826,-0.00056947354,0.00010071202,0.0005037156,0.00073190546,-0.00030575658,0.00030708854,0.0007542169
