Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
rigidity_left,0.00013697368558496237,-0.000448276026872918,-0.0007553874747827649,-0.00013838756422046572,0.0013400836614891887,-0.0014163373271003366,0.0022520271595567465,-0.0007696897373534739
rigidity_right,-0.00010065539390780032,-0.0003047017380595207,-0.0003548675449565053,0.0006886277114972472,-0.002055346965789795,-0.0012518706498667598,-0.00012005322787445039,-0.0012059625005349517
tremor_rest_left,0.00010210082109551877,-0.0007554991752840579,2.0151292119408026e-06,-0.0008852569153532386,0.0006308915326371789,0.0014081652043387294,0.002324099186807871,0.0014407805865630507
tremor_rest_right,0.00028012486291117966,-0.00046597496839240193,0.00011402172094676644,-0.0004287626943551004,-0.0011095466325059533,0.0007550424779765308,0.0005288877873681486,0.0009991945698857307
tremor_postural_left,-0.00024829295580275357,-0.000821964698843658,-0.0004343308974057436,-0.0009323303820565343,0.0013680203119292855,0.0012110756943002343,0.0007362221949733794,0.0005456706276163459
tremor_postural_right,4.607515438692644e-05,-2.0713814592454582e-05,0.0009339806856587529,3.603958975872956e-05,-0.0024051819927990437,0.0006616691825911403,-0.002015146892517805,0.0009084015619009733
bradykinesia_speed_left,0.0002309023548150435,0.00018742133397608995,3.8536323700100183e-05,0.0004639353137463331,0.0015732271131128073,-0.0009660363430157304,0.0017689679516479373,-0.0004197023226879537
bradykinesia_speed_right,-1.3960609066998586e-05,7.237440877361223e-05,-0.00033395460923202336,0.0010233124485239387,-0.0015803345013409853,-0.00016090713324956596,-0.001682653441093862,0.0010315983090549707
bradykinesia_amplitude_left,0.00030779230291955173,4.6583318180637434e-05,-1.267694551643217e-05,-0.00010599962843116373,0.0019793095998466015,-0.0011859906371682882,0.001502650324255228,-0.001064375275745988
bradykinesia_amplitude_right,-4.724697646452114e-05,8.507097663823515e-05,-0.0002787308767437935,0.0009319672826677561,-0.0014248592779040337,-0.0005596380215138197,-0.001717670471407473,0.000719716539606452
bradykinesia_rhythm_left,0.00018213747534900904,0.0001861236960394308,-4.346327841631137e-05,0.00016258274263236672,0.0008050972246564925,-0.0012295955093577504,-0.00033566629281267524,-0.001552834757603705
bradykinesia_rhythm_right,0.00016620974929537624,0.0001225931046064943,8.35779937915504e-05,0.0005621238960884511,-0.001576563692651689,-0.002441123826429248,-0.0029865270480513573,-0.00048619144945405424
mirrormovement_left,-0.0005246468354016542,-0.0004315225232858211,-0.0005192664684727788,0.00257081538438797,-0.0040144664235413074,-0.0017036155331879854,0.0003740744141396135,0.001384382601827383
mirrormovement_right,0.0003746887668967247,4.266052565071732e-05,0.0006944541237317026,0.00121566210873425,0.0035209322813898325,-0.0014608841156587005,0.003237658180296421,-0.00011628573702182621
