Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
volume_sn_voxels::v0,0.00019327615154907107,-0.0003721658431459218,0.00022086271201260388,0.0003562367055565119,0.00011728641402442008,-0.0002296904567629099,0.0009499172447249293,0.00031291868072003126
volume_sn_voxels::v1,0.00024744687834754586,-0.00036695966264232993,0.0004347530484665185,0.00044248407357372344,0.00028966041281819344,-0.00023726606741547585,0.001172484364360571,0.0003159363695885986
volume_sn_voxels::v2,0.0002459947718307376,-0.00047521753003820777,4.332114986027591e-05,0.000333905394654721,0.0001728220231598243,-0.00022214275668375194,0.0008195032714866102,0.00054848229046911
volume_sn_voxels::v3,0.0002844696573447436,-0.00048532866640016437,0.0001931738806888461,0.00042356050107628107,0.00032117616501636803,-0.0003038670402020216,0.0008470634929835796,0.0005397953209467232
volume_sn_voxels::v4,0.0003473504912108183,-0.0004780615563504398,0.00041065108962357044,0.0004995726048946381,0.00046343234134837985,-0.00035123503766953945,0.001046714372932911,0.000686223094817251
volume_sn_voxels::v5,0.00023479392984881997,-0.0005400735535658896,-0.0001392213744111359,0.00038513122126460075,0.00025386581546626985,-0.00022714328952133656,0.0005459535168483853,0.0004026956739835441
volume_sn_voxels::v6,0.0002852283068932593,-0.0005676589789800346,-3.733293851837516e-05,0.0004304697213228792,0.00042543146992102265,-0.00023229575890582055,0.0005889104213565588,0.0005439502419903874
volume_sn_voxels::v7,0.00037678502849303186,-0.0006177208852022886,5.8804092986974865e-05,0.0005016445647925138,0.0005818217759951949,-0.0002850628807209432,0.0006589811528101563,0.0007696060929447412
volume_sn_voxels::v8,0.00044042806257493794,-0.000576693273615092,0.0003092162951361388,0.0005452170153148472,0.0006714648334309459,-0.00037780796992592514,0.0007564090774394572,0.0009287265129387379
volume_sn_voxels::v9,0.0002758508489932865,-0.00041783880442380905,-0.0003084036288782954,0.0003278970834799111,0.00014176129479892552,1.2757735930790659e-05,0.0004285300674382597,-0.0002691933768801391
volume_sn_voxels::v10,0.0002805553958751261,-0.0005196422571316361,-0.00030809780582785606,0.00033478179830126464,0.00020541052799671888,-0.0001249180204467848,0.00046433904208242893,-0.00018260467913933098
volume_sn_voxels::v11,0.00030058249831199646,-0.0005461822729557753,-0.00023279161541722715,0.000394191563827917,0.0002803150855470449,-0.00019598205108195543,0.00037806376349180937,5.5969139793887734e-05
volume_sn_voxels::v12,0.00036186492070555687,-0.0006512572872452438,-0.00018083695613313466,0.0004584097769111395,0.0005185859045013785,-0.0003063989570364356,0.0003524049825500697,0.0003078874433413148
