Subject_ID,Factor_1,Factor_2
Subject_1,0.2800993,-0.43050975
Subject_2,0.5317264,1.204998
Subject_3,-0.515718,1.3494778
Subject_4,-1.0326513,0.6616151
Subject_5,1.0166187,1.9389358
Subject_6,0.024762454,-1.6411074
Subject_7,1.2478753,-0.8256839
Subject_8,-0.21338879,0.17486806
Subject_9,0.6112337,0.41365027
Subject_10,0.53579354,0.6549091
Subject_11,0.57258767,-1.216192
Subject_12,-0.1358011,-0.92781407
Subject_13,-0.4533663,-0.91383487
Subject_14,-1.3309689,-0.16100056
Subject_15,1.0589073,-1.0093547
Subject_16,1.355161,0.3808806
Subject_17,0.60043657,0.39163244
Subject_18,-0.7095971,-0.22210513
Subject_19,-0.19908983,-0.42429918
Subject_20,1.6371523,-1.1413227
Subject_21,0.9511514,-1.163227
Subject_22,-0.23976184,-1.8511018
Subject_23,-0.54483867,-0.2590846
Subject_24,0.33779305,-2.0972345
Subject_25,0.5696327,-1.7243177
Subject_26,-0.89024305,-1.1228113
Subject_27,0.6538692,0.6285653
Subject_28,-0.40904284,2.0340135
Subject_29,-0.20603512,1.9282931
Subject_30,-1.7737169,1.2164315
Subject_31,-0.9105776,0.2266444
Subject_32,0.37523293,1.1930232
Subject_33,-1.1753527,-0.21503516
Subject_34,-1.2808584,2.1973455
Subject_35,0.6770501,0.23164497
Subject_36,1.1669931,0.30520728
Subject_37,0.84990084,0.03590635
Subject_38,0.72454184,-1.3869711
Subject_39,0.64224696,-1.3648084
Subject_40,-0.055967268,-0.08719747
Subject_41,-0.3761692,-0.15440497
Subject_42,0.45161697,0.06458645
Subject_43,0.83097017,0.342368
Subject_44,-1.2696202,0.8644393
Subject_45,0.8691135,0.6957881
Subject_46,1.4909501,0.5281865
Subject_47,-0.3071815,-0.74268365
Subject_48,0.028706962,-1.3895407
Subject_49,0.11562214,0.8799625
Subject_50,0.089109346,0.5058123
Subject_51,-0.001590731,0.8891489
Subject_52,-0.30883408,1.122127
Subject_53,-0.8570775,1.2614378
Subject_54,-0.21018103,0.9831161
Subject_55,1.9505005,-1.5475006
Subject_56,0.79256135,1.4664292
Subject_57,-0.50327986,-1.2817222
Subject_58,1.8914002,-1.0871983
Subject_59,0.6035017,2.4886923
Subject_60,-0.30785367,0.48793754
Subject_61,-0.14865883,0.13052721
Subject_62,-0.98133487,0.5413412
Subject_63,0.46350637,1.5156261
Subject_64,2.5508616,-1.6909552
Subject_65,0.4498461,-0.5302432
Subject_66,0.436314,-2.0978303
Subject_67,0.89309615,-1.4536207
Subject_68,-1.8195633,0.82924026
Subject_69,-0.9807605,0.7818796
Subject_70,0.3826496,-0.16182238
Subject_71,0.09037204,1.3985901
Subject_72,1.1736406,-1.3124748
Subject_73,-0.7033649,1.3457083
Subject_74,0.59998554,2.0263348
Subject_75,0.13873653,0.39478767
Subject_76,-1.5932485,-0.28582743
Subject_77,1.182214,-1.1230946
Subject_78,-0.40026775,1.6135417
Subject_79,-1.9187961,1.8143301
Subject_80,2.0289779,-0.97010845
Subject_81,0.1027309,-0.020339163
Subject_82,-0.77441543,-0.40652767
Subject_83,-1.1618508,-0.14899977
Subject_84,-0.31767985,0.8303814
Subject_85,1.3502833,-1.5117916
Subject_86,-0.5221575,-1.4111919
