Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,1.7103829,0.22903988,1.28533,-0.43811017
Subject_2,0.49292135,-1.9833053,1.0113842,-0.5430602
Subject_3,0.718423,-0.91132104,-0.53010255,0.6900386
Subject_4,-1.1927526,-0.35786456,1.6428908,-0.13657783
Subject_5,0.9352185,-0.7625527,-0.7047847,-1.0512183
Subject_6,0.5288779,-0.8650405,1.039405,-1.4632823
Subject_7,0.5529559,0.4505922,0.5493397,-1.2356771
Subject_8,0.4767605,0.5525965,0.19721048,0.47671917
Subject_9,-0.3434122,-0.8039011,1.1618346,1.1997104
Subject_10,0.7632656,0.45130107,0.5254062,1.624829
Subject_11,-0.79129684,-0.9791107,0.3292535,1.3458176
Subject_12,-0.24703294,0.36515123,0.5569085,-0.9664718
Subject_13,1.559633,2.3220036,0.9367558,-2.0884387
Subject_14,-1.1728625,-0.1716086,-1.1683998,0.6898425
Subject_15,0.047635127,-0.44589043,-0.12757264,0.2532589
Subject_16,0.7374547,0.8286782,0.26084703,2.3958848
Subject_17,0.20486616,1.1612713,-0.17425077,-0.6614423
Subject_18,-0.9516276,-0.20244849,-1.0808742,0.6118446
Subject_19,2.3371046,2.1579382,-0.919421,0.26749206
Subject_20,0.7740281,0.8681354,1.6841209,0.2296511
Subject_21,-2.2674794,-0.60504174,-1.3778929,-1.7528657
Subject_22,-2.00837,-1.2623653,0.26033795,1.3160926
Subject_23,-0.12234101,0.42840403,-1.2832394,-0.30923384
Subject_24,0.35393435,-0.6257848,0.4180019,1.0637922
Subject_25,0.66185397,-1.5752918,0.6125383,-0.6158978
Subject_26,-0.71179426,1.8347256,0.5964048,-0.6202914
Subject_27,1.0780319,-0.4513201,-1.089168,0.91618186
Subject_28,-1.1580931,0.03357242,-0.6488444,2.4983864
Subject_29,1.4950786,-0.76391655,0.049323406,-1.6833049
Subject_30,0.7905591,1.7454497,0.82843477,-0.09206034
Subject_31,-0.7729788,-1.1078336,0.22393939,1.5766066
Subject_32,0.9800092,1.9988192,-0.5312589,0.8484966
Subject_33,-0.6637969,-1.6262347,-1.4122384,2.2631881
Subject_34,-1.0738585,1.2934431,-1.028502,0.34993824
Subject_35,1.0644813,-1.1134566,-0.3709276,-0.6668802
Subject_36,1.5803508,0.76793563,-0.78755516,2.2532618
Subject_37,1.879824,0.53879595,0.18293142,0.8226524
Subject_38,-0.15275712,-0.8258628,0.84863895,-1.4229699
Subject_39,1.3245363,-0.18380676,0.65276915,0.76610225
Subject_40,-0.25989202,0.31045163,-1.1079216,-1.0950547
Subject_41,-0.912889,-0.09031675,1.2458551,-0.7233976
Subject_42,0.5669363,0.31310597,0.58653355,1.2415255
Subject_43,0.6171451,-0.60361177,-0.5447413,0.61313176
Subject_44,-0.05901455,-0.5943579,0.08121152,-0.88102823
Subject_45,0.8901072,-1.2542566,1.0639856,0.69395036
Subject_46,-0.93998384,0.16015026,1.4007816,1.5310093
Subject_47,-0.92423385,1.190461,1.6263094,0.72318494
Subject_48,1.2668005,-0.49952385,0.94629115,0.28089905
Subject_49,0.050418764,-1.1448963,0.5145675,-0.3664264
Subject_50,-1.6446648,-1.6822883,-1.8123558,-1.5567538
Subject_51,0.5525603,-0.8231241,-1.2949736,0.20142871
Subject_52,-0.46486473,1.9515041,1.0940989,0.44002756
Subject_53,-0.6666569,-0.3013871,-0.72371686,-1.1435872
Subject_54,-1.359582,-0.6102367,-0.703603,-0.5598806
Subject_55,0.63518625,-1.318518,1.0297182,-1.4903762
Subject_56,0.8759155,-1.1633432,-0.29973608,-0.46482006
Subject_57,0.067640215,1.2519566,-0.8779769,-0.8382832
Subject_58,1.1276486,1.8595926,1.9825399,1.133992
Subject_59,-1.5883951,1.3623192,-1.2288246,-1.0411503
Subject_60,-1.3963813,0.4584583,-2.0016768,0.039737485
Subject_61,-0.6756914,1.317525,0.34384146,0.8231856
Subject_62,-0.8315035,1.8036461,-0.7400051,-0.77587485
Subject_63,-1.5562959,0.09412343,2.952155,0.28076962
Subject_64,1.8947785,0.7005114,0.929755,1.5967386
Subject_65,1.2747409,0.10631498,-0.48058474,-0.82025594
Subject_66,0.7276244,1.5774257,-1.54059,-0.665012
Subject_67,1.1691024,0.55808896,0.3014429,-0.10259841
Subject_68,2.1009169,-0.831988,-1.1134595,-0.5179949
Subject_69,-1.2950503,-0.27547163,-1.1192756,0.9528107
Subject_70,0.6846587,-0.34467602,0.69734365,-0.7760048
Subject_71,-0.06528942,0.168745,-0.29110637,-0.37537813
Subject_72,0.76251143,0.00895214,1.1230357,0.25478196
Subject_73,-1.0575255,-0.62693346,-0.28431356,0.9277558
Subject_74,-0.64805025,1.995728,0.33625522,0.619788
Subject_75,0.2834507,-0.10127587,-0.61182535,1.1089958
Subject_76,-0.8682157,1.8764836,1.3181173,-0.9528576
Subject_77,1.3832207,-1.2673776,2.0577834,-0.9959961
Subject_78,-0.77924573,0.016931308,-1.023814,-1.3384529
Subject_79,-0.45411077,-1.0957773,-2.1725585,-3.3344703
Subject_80,1.6736104,2.4207125,1.0099657,-0.35971364
Subject_81,-2.2515154,-0.51416737,1.3263812,0.07604077
Subject_82,0.034557726,0.24094991,-0.6428455,1.3582727
Subject_83,-1.1588299,-0.5237374,-1.1697447,0.5416308
Subject_84,0.13738035,-0.29263008,0.16036065,1.2366383
Subject_85,-1.8004651,1.035283,1.2212692,0.15151706
Subject_86,-1.5977885,-1.5553211,-0.35775855,-0.10592966
