Feature,Factor_0,Factor_1
volume_sn_voxels::v0,-0.3932371,0.6223936
volume_sn_voxels::v1,-0.4695703,0.54921407
volume_sn_voxels::v2,-0.48341775,0.95670134
volume_sn_voxels::v3,-0.5521081,0.9209613
volume_sn_voxels::v4,-0.824175,0.8506828
volume_sn_voxels::v5,-0.5309539,0.97211444
volume_sn_voxels::v6,-0.6775906,1.2494699
volume_sn_voxels::v7,-0.7865374,1.0159074
volume_sn_voxels::v8,-0.9388769,1.2372597
volume_sn_voxels::v9,-0.6247736,0.7576427
volume_sn_voxels::v10,-0.56198955,0.92495865
volume_sn_voxels::v11,-0.659382,0.9718861
volume_sn_voxels::v12,-0.78766763,1.2194352
volume_sn_voxels::v13,-0.7571827,1.1820945
volume_sn_voxels::v14,-0.8137556,1.0647193
volume_sn_voxels::v15,-1.0919875,1.1262422
volume_sn_voxels::v16,-0.73397523,0.35714447
volume_sn_voxels::v17,-0.71069646,0.49552122
volume_sn_voxels::v18,-0.8006716,0.9019168
volume_sn_voxels::v19,-0.7358437,1.0741969
volume_sn_voxels::v20,-0.76865,1.2078028
volume_sn_voxels::v21,-0.9281488,1.4937218
volume_sn_voxels::v22,-0.89551073,1.5063248
volume_sn_voxels::v23,-1.0319575,1.4838547
volume_sn_voxels::v24,-1.2099751,1.3753139
volume_sn_voxels::v25,-0.7856693,0.42202207
volume_sn_voxels::v26,-0.8618961,0.65128154
volume_sn_voxels::v27,-0.94960576,1.098377
volume_sn_voxels::v28,-0.79231423,1.0864962
volume_sn_voxels::v29,-0.92520106,1.4590652
volume_sn_voxels::v30,-1.0706224,1.3676057
volume_sn_voxels::v31,-1.2123569,1.6903945
volume_sn_voxels::v32,-1.2896602,1.7252656
volume_sn_voxels::v33,-1.3101268,1.247333
volume_sn_voxels::v34,-0.94347143,0.798686
volume_sn_voxels::v35,-0.9001855,1.0521364
volume_sn_voxels::v36,-0.9865746,1.2977109
volume_sn_voxels::v37,-0.991572,1.5433598
volume_sn_voxels::v38,-1.1335661,1.50586
volume_sn_voxels::v39,-1.2433597,1.6997956
volume_sn_voxels::v40,-1.1823115,1.629273
volume_sn_voxels::v41,-0.8750724,0.86135113
volume_sn_voxels::v42,-1.1082879,1.1014092
volume_sn_voxels::v43,-1.0653821,1.2727878
volume_sn_voxels::v44,-1.0830985,1.286624
volume_sn_voxels::v45,-1.2599455,1.6507478
volume_sn_voxels::v46,-1.0890113,1.4047366
volume_sn_voxels::v47,-0.9761199,1.2317244
volume_sn_voxels::v48,-0.7830773,0.7494497
volume_sn_voxels::v49,-0.90448105,0.9017478
volume_sn_voxels::v50,-1.1485764,1.203616
volume_sn_voxels::v51,-1.0932361,1.2392361
volume_sn_voxels::v52,-1.1292627,1.2766297
volume_sn_voxels::v53,-1.076734,1.1374794
volume_sn_voxels::v54,-0.7821527,0.5277883
volume_sn_voxels::v55,-0.92448837,0.6124693
volume_sn_voxels::v56,-1.1486639,0.91836053
volume_sn_voxels::v57,-1.0176072,0.8200776
volume_sn_voxels::v58,-0.69547355,-0.09615339
volume_sn_voxels::v59,-0.29817605,0.074029975
volume_sn_voxels::v60,-0.3654535,0.28606766
volume_sn_voxels::v61,-0.466279,-0.022307362
volume_sn_voxels::v62,-0.49459678,0.7525907
volume_sn_voxels::v63,-0.5731804,0.69741637
volume_sn_voxels::v64,-0.4981367,0.34643936
volume_sn_voxels::v65,-0.68795645,0.8325868
volume_sn_voxels::v66,-0.7700556,0.9619777
volume_sn_voxels::v67,-0.9251434,0.9827381
volume_sn_voxels::v68,-0.7975864,0.58145857
volume_sn_voxels::v69,-0.7015981,1.0123104
volume_sn_voxels::v70,-0.72645646,0.9908328
volume_sn_voxels::v71,-0.825342,1.0219939
volume_sn_voxels::v72,-1.1149441,1.1993952
volume_sn_voxels::v73,-1.0612334,0.7440314
volume_sn_voxels::v74,-0.77027667,0.7519373
volume_sn_voxels::v75,-0.8803832,1.0487757
volume_sn_voxels::v76,-0.85940623,1.1983334
volume_sn_voxels::v77,-0.97284275,1.3572989
volume_sn_voxels::v78,-1.0445986,1.3679131
volume_sn_voxels::v79,-1.187971,1.23169
volume_sn_voxels::v80,-0.8842033,0.64597744
volume_sn_voxels::v81,-0.87499195,0.8742948
volume_sn_voxels::v82,-1.0605012,1.290015
volume_sn_voxels::v83,-1.0607738,1.3615664
volume_sn_voxels::v84,-1.3129958,1.7532247
volume_sn_voxels::v85,-1.1414336,1.5673994
volume_sn_voxels::v86,-1.277699,1.5240984
volume_sn_voxels::v87,-0.91183084,0.6872371
volume_sn_voxels::v88,-1.0412961,0.7248411
volume_sn_voxels::v89,-1.1046544,1.1436532
volume_sn_voxels::v90,-1.4967406,1.523143
volume_sn_voxels::v91,-1.5284091,1.9631367
volume_sn_voxels::v92,-1.6511816,2.1959128
volume_sn_voxels::v93,-1.4770336,1.876005
volume_sn_voxels::v94,-1.6065185,1.6181949
volume_sn_voxels::v95,-0.9497037,0.60421854
volume_sn_voxels::v96,-0.9820737,0.71442384
volume_sn_voxels::v97,-1.1020976,1.1052713
volume_sn_voxels::v98,-1.2392904,1.2725898
volume_sn_voxels::v99,-1.3723491,1.4610076
volume_sn_voxels::v100,-1.7859194,2.089333
volume_sn_voxels::v101,-1.7401388,2.2555823
volume_sn_voxels::v102,-1.6823877,2.0951786
volume_sn_voxels::v103,-0.7511626,0.44976258
volume_sn_voxels::v104,-0.9266144,0.6500486
volume_sn_voxels::v105,-1.1923722,1.1157521
volume_sn_voxels::v106,-1.3619926,1.4261367
volume_sn_voxels::v107,-1.2957183,1.4696772
volume_sn_voxels::v108,-1.5839882,1.8715476
volume_sn_voxels::v109,-1.5784566,1.6761237
volume_sn_voxels::v110,-1.4494058,1.476759
volume_sn_voxels::v111,-0.7232756,0.5542511
volume_sn_voxels::v112,-0.85670245,0.81739765
volume_sn_voxels::v113,-1.0240371,1.087347
volume_sn_voxels::v114,-1.4167519,1.3537874
volume_sn_voxels::v115,-1.4428463,1.5159806
volume_sn_voxels::v116,-1.4298213,1.3660121
volume_sn_voxels::v117,-1.2577213,1.3200467
volume_sn_voxels::v118,-1.2943474,1.1237028
volume_sn_voxels::v119,-0.6502375,0.3699765
volume_sn_voxels::v120,-0.8262013,0.6521242
volume_sn_voxels::v121,-1.0304482,0.92406785
volume_sn_voxels::v122,-1.1153201,0.897842
volume_sn_voxels::v123,-1.4371531,1.2152814
volume_sn_voxels::v124,-1.3151073,1.083002
volume_sn_voxels::v125,-0.6376206,-0.23382702
volume_sn_voxels::v126,-0.8849867,0.22534594
volume_sn_voxels::v127,-0.9020749,0.2169097
volume_sn_voxels::v128,-1.0509275,0.37842748
volume_sn_voxels::v129,-0.17000891,-1.546101
volume_sn_voxels::v130,-0.41983905,-0.93544304
volume_sn_voxels::v131,-0.4331851,0.30751717
volume_sn_voxels::v132,-0.594353,0.8523269
volume_sn_voxels::v133,-0.6900408,0.5373608
volume_sn_voxels::v134,-0.52728224,0.21520106
volume_sn_voxels::v135,-0.9137699,1.0176822
volume_sn_voxels::v136,-0.9757412,0.7587021
volume_sn_voxels::v137,-0.7983795,0.45665672
volume_sn_voxels::v138,-1.1045895,0.98653686
volume_sn_voxels::v139,-1.0201439,1.025952
volume_sn_voxels::v140,-1.0297111,0.874416
volume_sn_voxels::v141,-1.039279,0.5605799
volume_sn_voxels::v142,-0.87443846,1.1756804
volume_sn_voxels::v143,-1.1217906,1.2591892
volume_sn_voxels::v144,-1.242566,1.2496344
volume_sn_voxels::v145,-1.2779474,1.0042092
volume_sn_voxels::v146,-1.2526869,0.73463005
volume_sn_voxels::v147,-1.1450185,0.62006223
volume_sn_voxels::v148,-1.1247189,0.83252966
volume_sn_voxels::v149,-1.2552916,1.2867475
volume_sn_voxels::v150,-1.3966304,1.643522
volume_sn_voxels::v151,-1.4175271,1.7477089
volume_sn_voxels::v152,-1.3869351,1.5701728
volume_sn_voxels::v153,-1.4905348,1.2675242
volume_sn_voxels::v154,-1.2574797,0.8408148
volume_sn_voxels::v155,-1.1619788,0.81732535
volume_sn_voxels::v156,-1.3597842,1.2415757
volume_sn_voxels::v157,-1.6656543,1.7699814
volume_sn_voxels::v158,-1.5635527,1.7916465
volume_sn_voxels::v159,-1.6389455,2.085965
volume_sn_voxels::v160,-1.5390824,1.8025066
volume_sn_voxels::v161,-1.4962652,1.4742843
volume_sn_voxels::v162,-1.2757813,0.77152735
volume_sn_voxels::v163,-0.9411978,0.3424111
volume_sn_voxels::v164,-1.0407441,0.666982
volume_sn_voxels::v165,-1.222261,0.9676219
volume_sn_voxels::v166,-1.3788998,1.2952596
volume_sn_voxels::v167,-1.8402843,1.941174
volume_sn_voxels::v168,-1.7045137,1.8511233
volume_sn_voxels::v169,-1.7423987,2.1031573
volume_sn_voxels::v170,-1.6825517,1.6724058
volume_sn_voxels::v171,-1.5364467,1.2714664
volume_sn_voxels::v172,-0.67369986,0.18948615
volume_sn_voxels::v173,-0.88792646,0.4049302
volume_sn_voxels::v174,-1.0628314,0.89562106
volume_sn_voxels::v175,-1.2479154,1.160071
volume_sn_voxels::v176,-1.4416006,1.42941
volume_sn_voxels::v177,-1.7568468,1.790738
volume_sn_voxels::v178,-1.791809,1.8493265
volume_sn_voxels::v179,-1.5440652,1.5392927
volume_sn_voxels::v180,-1.4530193,1.4000052
volume_sn_voxels::v181,-1.2507346,0.9158781
volume_sn_voxels::v182,-0.63839436,0.28234643
volume_sn_voxels::v183,-0.8173828,0.52258545
volume_sn_voxels::v184,-1.1165054,0.9456875
volume_sn_voxels::v185,-1.1521355,1.2375854
volume_sn_voxels::v186,-1.270792,1.1859074
volume_sn_voxels::v187,-1.7035042,1.657814
volume_sn_voxels::v188,-1.6443539,1.4823399
volume_sn_voxels::v189,-1.3881102,1.3269502
volume_sn_voxels::v190,-1.2704161,1.0031654
volume_sn_voxels::v191,-0.74702126,0.48077303
volume_sn_voxels::v192,-1.0928589,0.7493594
volume_sn_voxels::v193,-1.2532941,1.0187488
volume_sn_voxels::v194,-1.3307937,1.1874871
volume_sn_voxels::v195,-1.4207208,1.2719299
volume_sn_voxels::v196,-1.5241238,1.2461079
volume_sn_voxels::v197,-1.2174512,0.8613277
volume_sn_voxels::v198,-1.1301168,0.50120234
