Feature,Factor_0
volume_sn_voxels::v0,-0.4375106990337372
volume_sn_voxels::v1,-0.5536595582962036
volume_sn_voxels::v2,-0.5259023904800415
volume_sn_voxels::v3,-0.5983184576034546
volume_sn_voxels::v4,-0.7855685949325562
volume_sn_voxels::v5,-0.5945203900337219
volume_sn_voxels::v6,-0.7169535756111145
volume_sn_voxels::v7,-0.8284760117530823
volume_sn_voxels::v8,-0.9776589870452881
volume_sn_voxels::v9,-0.6663088202476501
volume_sn_voxels::v10,-0.6544381976127625
volume_sn_voxels::v11,-0.6741378903388977
volume_sn_voxels::v12,-0.8380789756774902
volume_sn_voxels::v13,-0.8375686407089233
volume_sn_voxels::v14,-0.8699010610580444
volume_sn_voxels::v15,-1.1062620878219604
volume_sn_voxels::v16,-0.7257174849510193
volume_sn_voxels::v17,-0.7463700771331787
volume_sn_voxels::v18,-0.8573795557022095
volume_sn_voxels::v19,-0.7883731722831726
volume_sn_voxels::v20,-0.8529241681098938
volume_sn_voxels::v21,-0.9870812892913818
volume_sn_voxels::v22,-1.0301029682159424
volume_sn_voxels::v23,-1.0866514444351196
volume_sn_voxels::v24,-1.1935888528823853
volume_sn_voxels::v25,-0.811942458152771
volume_sn_voxels::v26,-0.8721879124641418
volume_sn_voxels::v27,-0.9788195490837097
volume_sn_voxels::v28,-0.8736733198165894
volume_sn_voxels::v29,-0.9965841770172119
volume_sn_voxels::v30,-1.1296350955963135
volume_sn_voxels::v31,-1.2968298196792603
volume_sn_voxels::v32,-1.3627480268478394
volume_sn_voxels::v33,-1.2976667881011963
volume_sn_voxels::v34,-0.973931610584259
volume_sn_voxels::v35,-0.9618567228317261
volume_sn_voxels::v36,-1.046391487121582
volume_sn_voxels::v37,-1.0874911546707153
volume_sn_voxels::v38,-1.1840723752975464
volume_sn_voxels::v39,-1.3579306602478027
volume_sn_voxels::v40,-1.2999169826507568
volume_sn_voxels::v41,-0.897026002407074
volume_sn_voxels::v42,-1.103945255279541
volume_sn_voxels::v43,-1.1227376461029053
volume_sn_voxels::v44,-1.1758677959442139
volume_sn_voxels::v45,-1.3428648710250854
volume_sn_voxels::v46,-1.1554354429244995
volume_sn_voxels::v47,-1.0409913063049316
volume_sn_voxels::v48,-0.7945498824119568
volume_sn_voxels::v49,-0.9284438490867615
volume_sn_voxels::v50,-1.1727180480957031
volume_sn_voxels::v51,-1.176076889038086
volume_sn_voxels::v52,-1.1992321014404297
volume_sn_voxels::v53,-1.1334969997406006
volume_sn_voxels::v54,-0.7539613246917725
volume_sn_voxels::v55,-1.002269983291626
volume_sn_voxels::v56,-1.1460216045379639
volume_sn_voxels::v57,-1.0967748165130615
volume_sn_voxels::v58,-0.6835360527038574
volume_sn_voxels::v59,-0.3023001253604889
volume_sn_voxels::v60,-0.3826541602611542
volume_sn_voxels::v61,-0.4239773750305176
volume_sn_voxels::v62,-0.518645167350769
volume_sn_voxels::v63,-0.5920645594596863
volume_sn_voxels::v64,-0.514772355556488
volume_sn_voxels::v65,-0.6573328971862793
volume_sn_voxels::v66,-0.8201000094413757
volume_sn_voxels::v67,-0.9391398429870605
volume_sn_voxels::v68,-0.8088418841362
volume_sn_voxels::v69,-0.7768750786781311
volume_sn_voxels::v70,-0.7830506563186646
volume_sn_voxels::v71,-0.891724169254303
volume_sn_voxels::v72,-1.1603971719741821
volume_sn_voxels::v73,-1.0582633018493652
volume_sn_voxels::v74,-0.7999565601348877
volume_sn_voxels::v75,-0.8859293460845947
volume_sn_voxels::v76,-0.8958011269569397
volume_sn_voxels::v77,-1.0379301309585571
volume_sn_voxels::v78,-1.131770372390747
volume_sn_voxels::v79,-1.187580943107605
volume_sn_voxels::v80,-0.9549039006233215
volume_sn_voxels::v81,-0.9266548156738281
volume_sn_voxels::v82,-1.1167784929275513
volume_sn_voxels::v83,-1.1197869777679443
volume_sn_voxels::v84,-1.4186625480651855
volume_sn_voxels::v85,-1.2744110822677612
volume_sn_voxels::v86,-1.3909461498260498
volume_sn_voxels::v87,-0.9500448703765869
volume_sn_voxels::v88,-1.1033709049224854
volume_sn_voxels::v89,-1.177945613861084
volume_sn_voxels::v90,-1.2995034456253052
volume_sn_voxels::v91,-1.5970728397369385
volume_sn_voxels::v92,-1.7430340051651
volume_sn_voxels::v93,-1.6197031736373901
volume_sn_voxels::v94,-1.6234999895095825
volume_sn_voxels::v95,-0.9508470892906189
volume_sn_voxels::v96,-1.0163180828094482
volume_sn_voxels::v97,-1.1052316427230835
volume_sn_voxels::v98,-1.2668876647949219
volume_sn_voxels::v99,-1.41719651222229
volume_sn_voxels::v100,-1.816957712173462
volume_sn_voxels::v101,-1.8300487995147705
volume_sn_voxels::v102,-1.7284440994262695
volume_sn_voxels::v103,-0.7677674889564514
volume_sn_voxels::v104,-0.957897961139679
volume_sn_voxels::v105,-1.188826322555542
volume_sn_voxels::v106,-1.4086390733718872
volume_sn_voxels::v107,-1.3879475593566895
volume_sn_voxels::v108,-1.712169885635376
volume_sn_voxels::v109,-1.6267738342285156
volume_sn_voxels::v110,-1.4625051021575928
volume_sn_voxels::v111,-0.7098073959350586
volume_sn_voxels::v112,-0.8681492805480957
volume_sn_voxels::v113,-1.1007542610168457
volume_sn_voxels::v114,-1.4197146892547607
volume_sn_voxels::v115,-1.4888794422149658
volume_sn_voxels::v116,-1.4915797710418701
volume_sn_voxels::v117,-1.298594355583191
volume_sn_voxels::v118,-1.237013339996338
volume_sn_voxels::v119,-0.6430836319923401
volume_sn_voxels::v120,-0.8209535479545593
volume_sn_voxels::v121,-1.020280361175537
volume_sn_voxels::v122,-1.1563458442687988
volume_sn_voxels::v123,-1.4052822589874268
volume_sn_voxels::v124,-1.4035139083862305
volume_sn_voxels::v125,-0.5878161191940308
volume_sn_voxels::v126,-0.8414254784584045
volume_sn_voxels::v127,-0.9487720131874084
volume_sn_voxels::v128,-1.0321356058120728
volume_sn_voxels::v129,-0.10887172818183899
volume_sn_voxels::v130,-0.3260607421398163
volume_sn_voxels::v131,-0.417898029088974
volume_sn_voxels::v132,-0.6500999331474304
volume_sn_voxels::v133,-0.6834214925765991
volume_sn_voxels::v134,-0.5406805276870728
volume_sn_voxels::v135,-0.9198516607284546
volume_sn_voxels::v136,-0.9699863791465759
volume_sn_voxels::v137,-0.8044471144676208
volume_sn_voxels::v138,-1.1460483074188232
volume_sn_voxels::v139,-1.0918869972229004
volume_sn_voxels::v140,-1.1071689128875732
volume_sn_voxels::v141,-1.0850645303726196
volume_sn_voxels::v142,-1.0145139694213867
volume_sn_voxels::v143,-1.1621273756027222
volume_sn_voxels::v144,-1.2752792835235596
volume_sn_voxels::v145,-1.3265841007232666
volume_sn_voxels::v146,-1.2607437372207642
volume_sn_voxels::v147,-1.1093465089797974
volume_sn_voxels::v148,-1.1364320516586304
volume_sn_voxels::v149,-1.32041335105896
volume_sn_voxels::v150,-1.5123317241668701
volume_sn_voxels::v151,-1.4964776039123535
volume_sn_voxels::v152,-1.4846844673156738
volume_sn_voxels::v153,-1.4588899612426758
volume_sn_voxels::v154,-1.2686153650283813
volume_sn_voxels::v155,-1.1719626188278198
volume_sn_voxels::v156,-1.4124979972839355
volume_sn_voxels::v157,-1.724603295326233
volume_sn_voxels::v158,-1.6405137777328491
volume_sn_voxels::v159,-1.7407128810882568
volume_sn_voxels::v160,-1.6024484634399414
volume_sn_voxels::v161,-1.5572683811187744
volume_sn_voxels::v162,-1.2886395454406738
volume_sn_voxels::v163,-0.9460009336471558
volume_sn_voxels::v164,-1.0235384702682495
volume_sn_voxels::v165,-1.2056310176849365
volume_sn_voxels::v166,-1.5147590637207031
volume_sn_voxels::v167,-1.8768651485443115
volume_sn_voxels::v168,-1.7661833763122559
volume_sn_voxels::v169,-1.832019329071045
volume_sn_voxels::v170,-1.6794466972351074
volume_sn_voxels::v171,-1.5637311935424805
volume_sn_voxels::v172,-0.6709187626838684
volume_sn_voxels::v173,-0.8800992965698242
volume_sn_voxels::v174,-1.1408205032348633
volume_sn_voxels::v175,-1.312657356262207
volume_sn_voxels::v176,-1.485746145248413
volume_sn_voxels::v177,-1.7876980304718018
volume_sn_voxels::v178,-1.8239184617996216
volume_sn_voxels::v179,-1.5545912981033325
volume_sn_voxels::v180,-1.5422873497009277
volume_sn_voxels::v181,-1.2839370965957642
volume_sn_voxels::v182,-0.6145177483558655
volume_sn_voxels::v183,-0.8084515333175659
volume_sn_voxels::v184,-1.1156309843063354
volume_sn_voxels::v185,-1.2838716506958008
volume_sn_voxels::v186,-1.385345220565796
volume_sn_voxels::v187,-1.7647987604141235
volume_sn_voxels::v188,-1.6937834024429321
volume_sn_voxels::v189,-1.4398201704025269
volume_sn_voxels::v190,-1.2894593477249146
volume_sn_voxels::v191,-0.7186142206192017
volume_sn_voxels::v192,-1.0362296104431152
volume_sn_voxels::v193,-1.2400375604629517
volume_sn_voxels::v194,-1.3947937488555908
volume_sn_voxels::v195,-1.4618726968765259
volume_sn_voxels::v196,-1.532235026359558
volume_sn_voxels::v197,-1.3236230611801147
volume_sn_voxels::v198,-1.1223772764205933
volume_sn_voxels::v199,-0.5741032958030701
volume_sn_voxels::v200,-0.7740630507469177
volume_sn_voxels::v201,-0.8645312786102295
volume_sn_voxels::v202,-1.1231034994125366
volume_sn_voxels::v203,-1.1803077459335327
volume_sn_voxels::v204,-1.3360470533370972
volume_sn_voxels::v205,-1.0869765281677246
volume_sn_voxels::v206,-0.36280131340026855
volume_sn_voxels::v207,-0.5039539337158203
volume_sn_voxels::v208,-0.6796636581420898
volume_sn_voxels::v209,-0.8121312260627747
volume_sn_voxels::v210,-0.9440708756446838
volume_sn_voxels::v211,-0.9575058221817017
volume_sn_voxels::v212,-0.8158524632453918
volume_sn_voxels::v213,-1.2261565923690796
volume_sn_voxels::v214,-1.2870644330978394
volume_sn_voxels::v215,-1.1656084060668945
volume_sn_voxels::v216,-1.3781943321228027
volume_sn_voxels::v217,-1.3979382514953613
volume_sn_voxels::v218,-1.234142780303955
volume_sn_voxels::v219,-1.2492071390151978
volume_sn_voxels::v220,-1.1619068384170532
volume_sn_voxels::v221,-1.3498001098632812
