Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v0,-1.0960898,-0.3427893,-1.0375906,1.5192969,-1.317102,-0.2767595,0.5048589,-0.5141109,-0.74506396,-0.045917034,-1.7013289,-0.85017496,0.5801243,-0.2865069,-0.9523348,-0.42638397,0.038844626,-1.1352221,0.9269914,0.30555844
volume_sn_voxels::v1,-1.084458,-0.5965522,-1.1276722,1.9715085,-1.8708812,-0.015461282,0.5830119,-0.8402748,-0.3480838,-0.5605841,-1.6206855,-0.95448613,0.32612517,0.13535243,-0.11683469,-0.5067495,0.31642342,-0.49705693,1.0539438,-0.027215682
volume_sn_voxels::v2,-0.8811193,-0.15346105,-0.50033456,1.0399615,-1.0647016,-0.09275328,0.5881695,-0.25156865,-0.65036064,0.19127059,-2.0731199,-0.9754825,0.5341181,-0.6332001,-1.3128625,-0.35390347,-0.21781093,-1.3497802,0.9058139,0.09004431
volume_sn_voxels::v3,-1.1136107,-0.31826493,-0.8072545,1.8855525,-1.1657014,-0.22595453,0.7969741,-0.33478183,-0.49736214,-0.029292865,-1.668101,-0.98445547,0.30728936,-0.1272987,-1.0319513,-0.24612837,0.21333623,-0.88143545,0.9924122,-0.042141303
volume_sn_voxels::v4,-1.2044057,-0.5318859,-1.0413424,1.56816,-1.5102097,-0.072563596,0.750915,-0.38192487,0.10359229,-0.41035908,-1.8890921,-0.950905,-0.002701628,0.07531926,-0.2417531,-0.015655637,0.49944863,-0.22190641,1.3207834,-0.263458
volume_sn_voxels::v5,-0.66981393,0.08600633,0.4732017,1.2206625,-0.20601152,0.096467696,0.18445857,0.045730572,-0.2991614,0.3727316,-1.9425535,-0.7196827,0.6033896,-0.6576359,-1.420965,-0.3028755,0.048424397,-1.3322082,0.32659608,-0.018522998
volume_sn_voxels::v6,-0.72433776,-0.38649872,0.32289708,1.7861874,-0.73626953,-0.25004575,0.46444932,-0.10959919,-0.069968075,0.40595755,-1.7551956,-0.70277584,0.34115022,-0.36636975,-1.2968001,-0.22730942,0.25114945,-1.1027688,0.5263797,-0.111014746
volume_sn_voxels::v7,-0.94876677,-0.6099115,0.11846417,1.5898689,-1.207315,-0.07621877,0.6602282,0.13917692,-0.040410772,-0.05505996,-1.7299722,-0.8640209,0.1128851,0.07295206,-1.0528548,-0.10713039,-0.027321523,-0.8414367,0.665891,-0.19231758
volume_sn_voxels::v8,-0.95444727,-0.46512005,-0.30126065,1.7711093,-1.3074898,0.12074741,0.9194662,0.046938505,0.36747688,-0.32382387,-1.2937868,-1.1077526,-0.31610447,0.33448413,-0.5884576,0.3807219,0.12255498,0.1650546,1.2988918,-0.36033118
volume_sn_voxels::v9,-0.22412509,0.5739318,0.86069316,1.201221,0.25040102,0.3802668,0.10069181,-0.11975073,-0.97606295,0.37137875,-1.6235548,-0.2304776,-0.75295085,-0.10683711,-1.9098418,-0.09813652,-0.35854352,-1.3687168,0.035826907,0.77673066
